cost,resolution,n_rungs,n_pass,g_lo,g_hi,width,level_width,sharpe_ok,contiguous
0.0,RECORD8,8.0,2.0,0.6,0.75,0.15000000000000002,,True,True
0.0,STEP05,30.0,5.0,0.6,0.8,0.20000000000000007,,True,True
0.0,STEP01,150.0,27.0,0.57,0.83,0.26,,True,True
0.0,STEP002,750.0,134.0,0.57,0.836,0.266,,True,True
0.0,EXACT,,,0.5698529424667358,0.837906564163208,0.2680536216964722,0.2680536216964722,True,True
10.0,RECORD8,8.0,1.0,0.75,0.75,0.0,,True,True
10.0,STEP05,30.0,4.0,0.65,0.8,0.15000000000000002,,True,True
10.0,STEP01,150.0,21.0,0.63,0.83,0.19999999999999996,,True,True
10.0,STEP002,750.0,104.0,0.626,0.832,0.20599999999999996,,True,True
10.0,EXACT,,,0.6241399173736571,0.8336898226013182,0.20954990522766104,0.20954990522766104,True,True
25.0,RECORD8,8.0,0.0,,,,,False,True
25.0,STEP05,30.0,0.0,,,,,False,True
25.0,STEP01,150.0,0.0,,,,,False,True
25.0,STEP002,750.0,0.0,,,,,False,True
25.0,EXACT,,,,,,0.09792820207977293,False,True
50.0,RECORD8,8.0,0.0,,,,,False,True
50.0,STEP05,30.0,0.0,,,,,False,True
50.0,STEP01,150.0,0.0,,,,,False,True
50.0,STEP002,750.0,0.0,,,,,False,True
50.0,EXACT,,,,,,0.0,False,True
