ladder,panel,signal,cost,i_anchor,K,d_anchor,d_low,d_high
GROSS,u56,COMP,10.0,3,7,-0.0008310390716506078,-0.001748906132776229,0.002281441334400336
GROSS,u56,COMP,25.0,3,7,-0.0009274900719316026,-0.0010703377961157612,0.0022943890633581043
COUNT,u56,COMP,10.0,3,5,0.003549941344278773,0.2861361534969624,-0.22211307710939132
COUNT,u56,COMP,25.0,3,5,-0.02085572799752755,0.45221333465048835,-0.32781397486850494
CADENCE,u56,COMP,10.0,2,4,-0.0749061741351218,-0.010287770908812721,0.18446273581566375
CADENCE,u56,COMP,25.0,2,4,-0.07600033097128212,0.20714258425446974,0.05809114720101527
VOLCAP,u56,COMP,10.0,3,5,-0.010877824574028416,0.08430083273539735,-0.06433722459215496
VOLCAP,u56,COMP,25.0,3,5,-0.016704633798210966,0.11274871451710577,-0.07558420059537241
VOLPOW,u56,COMP,10.0,3,5,-0.01233872542216008,-0.15067991238474732,0.12131591438768441
VOLPOW,u56,COMP,25.0,3,5,-0.011234366412181673,-0.18852511618187495,0.15960697557320613
GROSS,u56,MOM,10.0,3,7,-6.722230169664556e-05,0.0004936203478071999,-1.0941874538206164e-05
GROSS,u56,MOM,25.0,3,7,-0.00021473422204087989,0.0010589386491848263,0.00012324085803849805
COUNT,u56,MOM,10.0,3,5,0.08770627980606038,0.07996567577241498,-0.11933920166299261
COUNT,u56,MOM,25.0,3,5,0.09871949658554313,0.10490982128844739,-0.1532445134491709
CADENCE,u56,MOM,10.0,2,4,-0.0418351242827979,0.031222907240497033,0.11692723391321225
CADENCE,u56,MOM,25.0,2,4,-0.0425642981876434,0.19717516161704973,0.01972470203299692
VOLCAP,u56,MOM,10.0,3,5,0.015519557992688782,0.03005603201444962,-0.01996769853616054
VOLCAP,u56,MOM,25.0,3,5,0.006011360070080629,0.07878869649688791,-0.04542234742929696
VOLPOW,u56,MOM,10.0,3,5,-0.009097457586002333,-0.001661917932417989,0.016815070844449664
VOLPOW,u56,MOM,25.0,3,5,-0.011884327746637502,-0.012399785033047062,0.032782150692539425
GROSS,u56,R6,10.0,3,7,-0.0002361061991316138,4.928545937676887e-05,0.0004890427343589021
GROSS,u56,R6,25.0,3,7,-0.000353301851215293,0.0006639619403698838,0.0005593568611940158
COUNT,u56,R6,10.0,3,5,0.030413878755695345,0.15843293164240335,-0.1413755086173818
COUNT,u56,R6,25.0,3,5,0.04119449466561875,0.19773593415093826,-0.1916171880556372
CADENCE,u56,R6,10.0,2,4,-0.0281793370521235,0.11195695623029356,0.03300310875390888
CADENCE,u56,R6,25.0,2,4,-0.027199511175985513,0.2960351396287918,-0.07517319876023654
VOLCAP,u56,R6,10.0,3,5,-0.013100682405356112,0.05717651014255476,-0.05965999900814056
VOLCAP,u56,R6,25.0,3,5,-0.020870408696185172,0.10478152096031701,-0.0867069012546009
VOLPOW,u56,R6,10.0,3,5,-0.0029831475633455007,-0.03881141796881438,0.04453279167942337
VOLPOW,u56,R6,25.0,3,5,-0.005964272070955845,-0.05333562640554823,0.061510969229100265
GROSS,broad,COMP,10.0,3,7,-0.0005602120794397925,-0.0010572430842678004,0.0014951332820540841
GROSS,broad,COMP,25.0,3,7,-0.00046513248558838205,5.4093710426861286e-05,0.0009616719318500389
COUNT,broad,COMP,10.0,3,5,0.019224237494891883,0.1906196073228924,-0.29600414911396355
COUNT,broad,COMP,25.0,3,5,0.015095864891404853,0.35044185373521314,-0.45101168905909605
CADENCE,broad,COMP,10.0,2,4,-0.02610812420783848,0.19738576893237925,0.03732887154846776
CADENCE,broad,COMP,25.0,2,4,-0.016934584673006958,0.5129977855084076,-0.15932900049492027
VOLCAP,broad,COMP,10.0,3,5,0.0076287937199596145,0.0038131002198275032,-0.009287623462550298
VOLCAP,broad,COMP,25.0,3,5,0.002649324163222888,0.03249770745098679,-0.02447270506634991
VOLPOW,broad,COMP,10.0,3,5,-0.016508205428200085,-0.16077883502440182,0.13238676901170687
VOLPOW,broad,COMP,25.0,3,5,-0.0019765376159075476,-0.2545992465744114,0.206601723757943
GROSS,broad,MOM,10.0,3,7,0.0006618099843466174,0.0026114487060067137,-0.0021751449471907325
GROSS,broad,MOM,25.0,3,7,0.0007015495517708192,0.003549794736951273,-0.00255128762650203
COUNT,broad,MOM,10.0,3,5,-0.024524643094934406,0.07160678458362801,-0.08298297639552199
COUNT,broad,MOM,25.0,3,5,-0.01450835085689084,0.08482370838370967,-0.1176773363455651
CADENCE,broad,MOM,10.0,2,4,-0.031491306316272616,0.039456960385189865,0.07048946679285772
CADENCE,broad,MOM,25.0,2,4,-0.029118338634507746,0.22895874650580328,-0.04159324813058507
VOLCAP,broad,MOM,10.0,3,5,-0.003158513483344394,0.14326092512000488,-0.04220763304149
VOLCAP,broad,MOM,25.0,3,5,-0.02089499967244235,0.22515683174826728,-0.07916777533517316
VOLPOW,broad,MOM,10.0,3,5,-0.009038020493678967,0.03992595681358202,-0.010040152712397998
VOLPOW,broad,MOM,25.0,3,5,-0.016658000834471998,0.010208458130705589,0.03377644317175943
GROSS,broad,R6,10.0,3,7,0.00061704039068744,0.0025247138669436398,-0.0020558898251323843
GROSS,broad,R6,25.0,3,7,0.000574280238272884,0.0032088304058999206,-0.0021780748351379886
COUNT,broad,R6,10.0,3,5,-0.00041515680279891054,0.16114343748959126,-0.14712938429575984
COUNT,broad,R6,25.0,3,5,0.013342689472899294,0.1921913398631908,-0.20621569058427835
CADENCE,broad,R6,10.0,2,4,0.0074696071506313855,0.17406743102235123,-0.018920336163233742
CADENCE,broad,R6,25.0,2,4,0.012564627258199956,0.40463269420466713,-0.1553146527086985
VOLCAP,broad,R6,10.0,3,5,-0.016225767668261115,0.08386442869285093,-0.059745835559901095
VOLCAP,broad,R6,25.0,3,5,-0.02946142638416449,0.1514097360416502,-0.09692710963835982
VOLPOW,broad,R6,10.0,3,5,0.0049450577550380626,-0.023921048302616987,0.006150062803937706
VOLPOW,broad,R6,25.0,3,5,-0.00017323110164202404,-0.05766982104033003,0.05115146611051813
GROSS,small,COMP,10.0,3,7,-0.001036850290709157,-0.0027208252673174282,0.0029849883465832283
GROSS,small,COMP,25.0,3,7,-0.0011089834269390891,-0.002372251290905056,0.0030218121316423208
COUNT,small,COMP,10.0,3,5,0.09467773740338925,-0.03431016225967631,0.024557255459980887
COUNT,small,COMP,25.0,3,5,0.11595067612204253,0.0228717834065969,-0.06960763570889508
CADENCE,small,COMP,10.0,2,4,-0.06454991431593388,0.01919747694652818,0.13520463393391302
CADENCE,small,COMP,25.0,2,4,-0.03719282880836407,0.3401581022055784,-0.07886884406650489
VOLCAP,small,COMP,10.0,3,5,-0.030491734117264024,0.04403907010957253,-0.02833150909081561
VOLCAP,small,COMP,25.0,3,5,-0.03858091461014466,0.08510942926852703,-0.047966676014307354
VOLPOW,small,COMP,10.0,3,5,0.06982282971984033,-0.05418939959421448,-0.043834154462286445
VOLPOW,small,COMP,25.0,3,5,0.090097026703349,-0.13724692932757743,0.007320066476193959
GROSS,small,MOM,10.0,3,7,0.00023060227611559903,0.001323839228240642,-0.0008877186743240228
GROSS,small,MOM,25.0,3,7,0.00013863537682090588,0.0016482029585764835,-0.0008047350180825918
COUNT,small,MOM,10.0,3,5,-0.12501023953981372,0.026267477018911967,0.03789170888878268
COUNT,small,MOM,25.0,3,5,-0.11408812405195634,0.020366597528771124,0.024763007084669497
CADENCE,small,MOM,10.0,2,4,-0.10492615888667656,0.09085193221122262,0.03271666264263662
CADENCE,small,MOM,25.0,2,4,-0.09453680515905505,0.304249309628545,-0.10395328722793734
VOLCAP,small,MOM,10.0,3,5,-0.0909881590104955,0.17963407220037347,-0.13430110630864633
VOLCAP,small,MOM,25.0,3,5,-0.11188873277001404,0.31373901294151485,-0.2213025622149174
VOLPOW,small,MOM,10.0,3,5,0.017969519400088507,-0.003213783696455308,-0.0449656611464333
VOLPOW,small,MOM,25.0,3,5,0.014496268068824036,-0.014636237045757672,-0.026445402315248168
GROSS,small,R6,10.0,3,7,-0.00037435248682499145,-0.0006663696367215644,0.0009814913787518087
GROSS,small,R6,25.0,3,7,-0.0004153435842451092,-0.00024300788499520554,0.0009368453284376854
COUNT,small,R6,10.0,3,5,0.01683775217076766,0.044894998974712885,0.08461648993868676
COUNT,small,R6,25.0,3,5,0.030359690580147924,0.04119643792913952,0.059983203296916976
CADENCE,small,R6,10.0,2,4,-0.12989844056340027,0.04549875067008757,0.22943684463187697
CADENCE,small,R6,25.0,2,4,-0.11736750780332356,0.2904548473938234,0.07372714958052673
VOLCAP,small,R6,10.0,3,5,-0.02270551597632703,0.22125448665338376,-0.19526220034557856
VOLCAP,small,R6,25.0,3,5,-0.03626234197153355,0.344340757741045,-0.2858699318288438
VOLPOW,small,R6,10.0,3,5,-0.00855826994893405,0.03741605608143439,-0.017484369187383386
VOLPOW,small,R6,25.0,3,5,-0.01282786070189773,0.027222826219100715,0.002010903403338399
