panel,direction,e,x,turn,names,Sharpe,m_e,m_x,m_turn,m_names,m_Sharpe,dS,dOOS,dturn
U56,ENTRY->exit,2,0,10.100472464894032,18.181347150259068,1.077219889112063,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,-0.009886493826015696,-0.03559009442407279,2.8797153283204393
U56,ENTRY->exit,4,0,9.30575961609217,17.126154539310654,1.0666603308474192,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,-0.020446052090659528,-0.04901380435085301,2.085002479518576
U56,ENTRY->exit,6,0,8.649449388786088,15.997071412480288,1.0531036646460994,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,-0.03400271829197932,-0.05702458949448008,1.4286922522124952
U56,ENTRY->exit,8,0,8.250107036519664,14.826988060373958,1.0597253630153165,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,-0.027381019922762206,-0.06506074085244729,1.0293498999460704
U56,ENTRY->exit,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,-0.04817974680314174,-0.06294782129224563,0.3466642091352208
U56,ENTRY->exit,16,0,7.681319181715954,7.6071187204325295,1.0882759283928185,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,0.0011695454547397954,-0.030423652370373366,0.46056204514236043
U56,EXIT->entry,0,5,7.220757136573593,19.10745663437711,1.0871063829380787,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0.04817974680314174,0.06294782129224563,-0.3466642091352208
U56,EXIT->entry,0,10,6.12613758511125,19.10745663437711,1.0883768963614435,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0.04945026022650656,0.053482834100702314,-1.441283760597564
U56,EXIT->entry,0,20,5.264804894861113,19.10745663437711,1.1115921870079182,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0.07266555087298121,0.08113439550952029,-2.302616450847701
U56,EXIT->entry,0,40,5.06915854563749,19.10745663437711,1.1269451298783495,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0.08801849374341253,0.08359039274422386,-2.4982628000713243
U56,EXIT->entry,0,80,5.06915854563749,19.10745663437711,1.1269451298783495,12,0,7.567421345708814,11.760531651272808,1.038926636134937,0.08801849374341253,0.08359039274422386,-2.4982628000713243
B136,ENTRY->exit,2,0,13.255306355442457,18.595179094390627,0.9551982752927952,0,5,9.519717108439082,19.700382969137195,0.97958345776935,-0.024385182476554745,-0.011343253661240782,3.735589247003375
B136,ENTRY->exit,4,0,12.320170366233423,17.417661635503492,0.9907878966444764,0,5,9.519717108439082,19.700382969137195,0.97958345776935,0.011204438875126455,0.010085054220002831,2.8004532577943415
B136,ENTRY->exit,6,0,11.586635362372736,16.22617706690696,0.9961519535774718,0,5,9.519717108439082,19.700382969137195,0.97958345776935,0.016568495808121808,0.001094393846704067,2.066918253933654
B136,ENTRY->exit,8,0,10.94596603773405,14.86077945483217,0.9919999108221904,0,5,9.519717108439082,19.700382969137195,0.97958345776935,0.012416453052840448,-0.04099019162755391,1.4262489292949692
B136,ENTRY->exit,12,0,10.151076475990829,11.579409776976796,0.9872170778115554,0,5,9.519717108439082,19.700382969137195,0.97958345776935,0.007633620042205469,-0.0602280846498815,0.631359367551747
B136,ENTRY->exit,16,0,10.403689067825756,7.3928812795674705,0.9490594816028124,0,5,9.519717108439082,19.700382969137195,0.97958345776935,-0.03052397616653757,-0.10905192432994937,0.8839719593866739
