lag,rho_exposure,t,total,mean,zero_share,gini
1,0.21677660845056712,5.908548371447623,325.0,0.45774647887323944,0.8971830985915493,0.9644247020585048
2,0.22740259668812657,6.213580188618682,557.0,0.7845070422535211,0.8211267605633803,0.935709409057577
3,0.30614687609554714,8.556904383517029,768.0,1.0816901408450703,0.7732394366197183,0.9158487382629108
FWD,0.3502939279060722,9.95122664965061,903.0,1.271830985915493,0.7492957746478873,0.9116232277385241
ALL,0.12284515431584397,3.293643508915654,1878.0,2.6450704225352113,0.34788732394366195,0.7353372631957882
