panel,frame,chooser,G,F,fallback,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,keep4b_full
U56,LIVE,C_SHARPE,0.25,1.0,False,0.04516215362843212,1.6185749808051981,-0.06490921986619258,False,True,False
U56,LIVE,C_MEMO,0.75,0.0,True,0.0945517936976279,1.2768823974588255,-0.12054956914840875,False,False,False
U56,LIVE,C_CAGR,1.0,1.0,False,0.12966067933284986,1.3013000337590472,-0.15641488310040064,True,False,True
U56,LIVE,C_ANCHOR,0.75,0.0,False,0.0945517936976279,1.2768823974588255,-0.12054956914840875,False,False,False
U56,INC,C_SHARPE,0.25,1.0,False,0.0703333013600771,1.415533982487759,-0.08200870354395817,False,True,False
U56,INC,C_MEMO,0.625,0.0,False,0.14390836825701725,1.1851739694858812,-0.1612154532707536,True,False,True
U56,INC,C_CAGR,0.625,1.0,False,0.151007547381931,1.2373120055479476,-0.15764390960283015,True,False,True
U56,INC,C_ANCHOR,0.75,0.0,False,0.17323365236641464,1.185677704201696,-0.19127562163086187,True,False,True
B136,LIVE,C_SHARPE,0.25,1.0,False,0.04015132312181602,1.4831777349133966,-0.07005751614741962,False,True,False
B136,LIVE,C_MEMO,1.0,0.0,False,0.10473004292318322,1.1008385728264356,-0.16158091944280473,False,False,True
B136,LIVE,C_CAGR,1.0,1.0,False,0.10824415722482716,1.13303557554048,-0.15859353790524755,True,False,True
B136,LIVE,C_ANCHOR,0.75,0.0,False,0.07847283605551292,1.1019125044197382,-0.12241069123223425,False,False,False
B136,INC,C_SHARPE,0.25,1.0,False,0.06731179641662943,1.2390171618312915,-0.07446794763083742,False,True,False
B136,INC,C_MEMO,0.5,0.0,False,0.10796848788603208,1.015478480388993,-0.14172761237675757,True,False,True
B136,INC,C_CAGR,0.625,1.0,False,0.14202069503998893,1.0653496573015082,-0.16841411818718954,True,False,True
B136,INC,C_ANCHOR,0.75,0.0,False,0.16187458516000497,1.017953764504917,-0.2074018763117904,False,False,False
SMALL,LIVE,C_SHARPE,0.25,1.0,False,0.030150535641552345,1.1010063500979483,-0.07837306444080527,False,True,False
SMALL,LIVE,C_MEMO,0.75,0.0,True,0.044142357735165616,0.6473415936678044,-0.12480015905893493,False,False,False
SMALL,LIVE,C_CAGR,1.0,1.0,False,0.06620672054837673,0.7265160968120671,-0.17363798877307146,False,False,False
SMALL,LIVE,C_ANCHOR,0.75,0.0,False,0.044142357735165616,0.6473415936678044,-0.12480015905893493,False,False,False
SMALL,INC,C_SHARPE,0.25,1.0,False,0.03864380790200905,0.6339939252665562,-0.11441146780099098,False,False,False
SMALL,INC,C_MEMO,0.75,0.0,True,0.06698806653983369,0.4398469302655508,-0.3651051671527562,False,False,False
SMALL,INC,C_CAGR,0.25,1.0,False,0.03864380790200905,0.6339939252665562,-0.11441146780099098,False,False,False
SMALL,INC,C_ANCHOR,0.75,0.0,False,0.06698806653983369,0.4398469302655508,-0.3651051671527562,False,False,False
