panel,top_best_overlap,top_worst_overlap,k,book_best_day,book_best_ret,spy_on_that_day,spy_worst_day,spy_worst_ret,book_on_that_day
U56,13,10,20,2025-04-09,0.07545870572192667,0.10501952851334528,2020-03-16,-0.10942383083004459,-0.0666128490170589
B136,8,9,20,2025-04-09,0.08459521501396385,0.10502665495618779,2020-03-16,-0.10941382541040379,-0.05208594934462996
SMALL665,9,11,20,2025-04-09,0.06827738094433784,0.10501952851334528,2020-03-16,-0.10942383083004459,-0.1196996286139522
