panel,n_i,n_j,dEDGE_pp,abs_dEDGE_pp,boot_sd_pp,sign_agreement
U56,5,8,0.5994752659606357,0.5994752659606357,1.842406737900044,0.659
U56,5,10,-0.2550469135098714,0.2550469135098714,2.1610706224658123,0.459
U56,5,12,-0.8697950031335226,0.8697950031335226,2.6733994919055495,0.55
U56,5,15,0.735186279996114,0.735186279996114,2.9032865763808062,0.638
U56,5,20,0.8322647700773951,0.8322647700773951,3.1784172005589277,0.648
U56,5,25,2.997786824173443,2.997786824173443,3.3678740860711565,0.845
U56,5,30,4.404736104082286,4.404736104082286,3.4127991504939628,0.926
U56,5,40,5.536852669862691,5.536852669862691,3.5682167675224625,0.961
U56,8,10,-0.8545221794705071,0.8545221794705071,1.160841557506937,0.69
U56,8,12,-1.4692702690941584,1.4692702690941584,1.6909883351907735,0.752
U56,8,15,0.13571101403547825,0.13571101403547825,1.9518658645858027,0.556
U56,8,20,0.23278950411675936,0.23278950411675936,2.133161817322667,0.572
U56,8,25,2.398311558212807,2.398311558212807,2.35990493291903,0.887
U56,8,30,3.8052608381216495,3.8052608381216495,2.470265869860082,0.955
U56,8,40,4.937377403902055,4.937377403902055,2.665149136312651,0.981
U56,10,12,-0.6147480896236512,0.6147480896236512,1.176323794678882,0.679
U56,10,15,0.9902331935059854,0.9902331935059854,1.5116593780996306,0.72
U56,10,20,1.0873116835872665,1.0873116835872665,1.7492402368386823,0.731
U56,10,25,3.2528337376833143,3.2528337376833143,1.9412229211178926,0.947
U56,10,30,4.659783017592156,4.659783017592156,2.050872439504184,0.983
U56,10,40,5.791899583372562,5.791899583372562,2.247603857900542,0.995
U56,12,15,1.6049812831296366,1.6049812831296366,0.8881588444158371,0.949
U56,12,20,1.7020597732109177,1.7020597732109177,1.1642176833044946,0.909
U56,12,25,3.8675818273069655,3.8675818273069655,1.377264997282426,0.996
U56,12,30,5.274531107215807,5.274531107215807,1.5494463936106488,0.999
U56,12,40,6.406647672996213,6.406647672996213,1.7638524967881193,0.999
U56,15,20,0.09707849008128111,0.09707849008128111,0.8003572334935001,0.561
U56,15,25,2.262600544177329,2.262600544177329,1.021703375489194,0.99
U56,15,30,3.6695498240861713,3.6695498240861713,1.1621830259201549,0.999
U56,15,40,4.801666389866577,4.801666389866577,1.3470047034085406,1.0
U56,20,25,2.165522054096048,2.165522054096048,0.6732323377404734,0.999
U56,20,30,3.57247133400489,3.57247133400489,0.9325836440610691,1.0
U56,20,40,4.704587899785295,4.704587899785295,1.140719899620784,1.0
U56,25,30,1.4069492799088423,1.4069492799088423,0.5635788916432658,0.991
U56,25,40,2.539065845689248,2.539065845689248,0.8030022916431778,1.0
U56,30,40,1.1321165657804055,1.1321165657804055,0.5041844496288027,0.988
U56_2010,5,8,-0.11595544328780694,0.11595544328780694,1.7422060206002452,0.484
U56_2010,5,10,1.5959676697404728,1.5959676697404728,2.101716228429373,0.769
U56_2010,5,12,0.761156492620719,0.761156492620719,2.232059478909037,0.675
U56_2010,5,15,2.7778867559040914,2.7778867559040914,2.5822151540909712,0.873
U56_2010,5,20,1.9223590267042905,1.9223590267042905,2.8008529570225758,0.773
