panel,cadence,scope,leg_set,leg,n_rows,n_all5,n_other4,n_binding,R,leg_pass_rate
U56,D,panel_cadence,LS_REC,L1_H1,10,1,3,2,0.3333333333333333,0.4
U56,D,panel_cadence,LS_REC,L2_H2,10,1,1,0,1.0,1.0
U56,D,panel_cadence,LS_REC,L3_OOS,10,1,1,0,1.0,0.8
U56,D,panel_cadence,LS_REC,L4_DD,10,1,2,1,0.5,0.5
U56,D,panel_cadence,LS_REC,L5_CAGR,10,1,3,2,0.3333333333333333,0.8
U56,D,panel_cadence,LS_970,L1_H1,10,1,2,1,0.5,0.2
U56,D,panel_cadence,LS_970,L2_H2,10,1,1,0,1.0,0.6
U56,D,panel_cadence,LS_970,L3_OOS,10,1,1,0,1.0,0.8
U56,D,panel_cadence,LS_970,L4_DD,10,1,1,0,1.0,0.5
U56,D,panel_cadence,LS_970,L5_CAGR,10,1,2,1,0.5,0.8
U56,D,panel_cadence,LS_ISALL,L1_H1,10,0,0,0,,0.2
U56,D,panel_cadence,LS_ISALL,L2_H2,10,0,0,0,,0.6
U56,D,panel_cadence,LS_ISALL,L3_OOS,10,0,0,0,,0.2
U56,D,panel_cadence,LS_ISALL,L4_DD,10,0,0,0,,0.4
U56,D,panel_cadence,LS_ISALL,L5_CAGR,10,0,2,2,0.0,0.4
U56,W,panel_cadence,LS_REC,L1_H1,50,17,22,5,0.7727272727272727,0.72
U56,W,panel_cadence,LS_REC,L2_H2,50,17,17,0,1.0,1.0
U56,W,panel_cadence,LS_REC,L3_OOS,50,17,17,0,1.0,1.0
U56,W,panel_cadence,LS_REC,L4_DD,50,17,31,14,0.5483870967741935,0.54
U56,W,panel_cadence,LS_REC,L5_CAGR,50,17,22,5,0.7727272727272727,0.9
U56,W,panel_cadence,LS_970,L1_H1,50,7,22,15,0.3181818181818182,0.28
U56,W,panel_cadence,LS_970,L2_H2,50,7,7,0,1.0,0.96
U56,W,panel_cadence,LS_970,L3_OOS,50,7,7,0,1.0,1.0
U56,W,panel_cadence,LS_970,L4_DD,50,7,10,3,0.7,0.54
U56,W,panel_cadence,LS_970,L5_CAGR,50,7,11,4,0.6363636363636364,0.9
U56,W,panel_cadence,LS_ISALL,L1_H1,50,1,4,3,0.25,0.28
U56,W,panel_cadence,LS_ISALL,L2_H2,50,1,1,0,1.0,0.96
U56,W,panel_cadence,LS_ISALL,L3_OOS,50,1,1,0,1.0,0.78
U56,W,panel_cadence,LS_ISALL,L4_DD,50,1,3,2,0.3333333333333333,0.38
U56,W,panel_cadence,LS_ISALL,L5_CAGR,50,1,12,11,0.08333333333333333,0.66
U56,M,panel_cadence,LS_REC,L1_H1,210,41,41,0,1.0,1.0
U56,M,panel_cadence,LS_REC,L2_H2,210,41,41,0,1.0,0.9809523809523809
U56,M,panel_cadence,LS_REC,L3_OOS,210,41,41,0,1.0,0.9809523809523809
U56,M,panel_cadence,LS_REC,L4_DD,210,41,185,144,0.22162162162162163,0.29523809523809524
U56,M,panel_cadence,LS_REC,L5_CAGR,210,41,62,21,0.6612903225806451,0.9
U56,M,panel_cadence,LS_970,L1_H1,210,36,39,3,0.9230769230769231,0.8238095238095238
U56,M,panel_cadence,LS_970,L2_H2,210,36,38,2,0.9473684210526315,0.9523809523809523
U56,M,panel_cadence,LS_970,L3_OOS,210,36,36,0,1.0,0.9809523809523809
U56,M,panel_cadence,LS_970,L4_DD,210,36,140,104,0.2571428571428571,0.29523809523809524
U56,M,panel_cadence,LS_970,L5_CAGR,210,36,55,19,0.6545454545454545,0.9
U56,M,panel_cadence,LS_ISALL,L1_H1,210,34,35,1,0.9714285714285714,0.8238095238095238
U56,M,panel_cadence,LS_ISALL,L2_H2,210,34,35,1,0.9714285714285714,0.9523809523809523
U56,M,panel_cadence,LS_ISALL,L3_OOS,210,34,34,0,1.0,0.9904761904761905
U56,M,panel_cadence,LS_ISALL,L4_DD,210,34,121,87,0.2809917355371901,0.4142857142857143
U56,M,panel_cadence,LS_ISALL,L5_CAGR,210,34,76,42,0.4473684210526316,0.7523809523809524
U56,Q,panel_cadence,LS_REC,L1_H1,630,56,56,0,1.0,1.0
U56,Q,panel_cadence,LS_REC,L2_H2,630,56,56,0,1.0,0.926984126984127
U56,Q,panel_cadence,LS_REC,L3_OOS,630,56,56,0,1.0,0.9507936507936507
U56,Q,panel_cadence,LS_REC,L4_DD,630,56,533,477,0.1050656660412758,0.1380952380952381
U56,Q,panel_cadence,LS_REC,L5_CAGR,630,56,87,31,0.6436781609195402,0.9142857142857143
U56,Q,panel_cadence,LS_970,L1_H1,630,17,55,38,0.3090909090909091,0.6714285714285714
U56,Q,panel_cadence,LS_970,L2_H2,630,17,17,0,1.0,0.9841269841269841
U56,Q,panel_cadence,LS_970,L3_OOS,630,17,17,0,1.0,0.9507936507936507
U56,Q,panel_cadence,LS_970,L4_DD,630,17,353,336,0.04815864022662889,0.1380952380952381
U56,Q,panel_cadence,LS_970,L5_CAGR,630,17,33,16,0.5151515151515151,0.9142857142857143
U56,Q,panel_cadence,LS_ISALL,L1_H1,630,87,101,14,0.8613861386138614,0.6714285714285714
U56,Q,panel_cadence,LS_ISALL,L2_H2,630,87,87,0,1.0,0.9841269841269841
U56,Q,panel_cadence,LS_ISALL,L3_OOS,630,87,87,0,1.0,0.9904761904761905
U56,Q,panel_cadence,LS_ISALL,L4_DD,630,87,383,296,0.22715404699738903,0.2920634920634921
U56,Q,panel_cadence,LS_ISALL,L5_CAGR,630,87,121,34,0.71900826446281,0.8158730158730159
U56,ALL,panel,LS_REC,L1_H1,900,115,122,7,0.9426229508196722,0.9777777777777777
U56,ALL,panel,LS_REC,L2_H2,900,115,115,0,1.0,0.9444444444444444
U56,ALL,panel,LS_REC,L3_OOS,900,115,115,0,1.0,0.9588888888888889
U56,ALL,panel,LS_REC,L4_DD,900,115,751,636,0.15312916111850866,0.2011111111111111
U56,ALL,panel,LS_REC,L5_CAGR,900,115,174,59,0.6609195402298851,0.9088888888888889
U56,ALL,panel,LS_970,L1_H1,900,61,118,57,0.5169491525423728,0.68
U56,ALL,panel,LS_970,L2_H2,900,61,63,2,0.9682539682539683,0.9711111111111111
U56,ALL,panel,LS_970,L3_OOS,900,61,61,0,1.0,0.9588888888888889
U56,ALL,panel,LS_970,L4_DD,900,61,504,443,0.12103174603174603,0.2011111111111111
U56,ALL,panel,LS_970,L5_CAGR,900,61,101,40,0.6039603960396039,0.9088888888888889
U56,ALL,panel,LS_ISALL,L1_H1,900,122,140,18,0.8714285714285714,0.68
U56,ALL,panel,LS_ISALL,L2_H2,900,122,123,1,0.991869918699187,0.9711111111111111
U56,ALL,panel,LS_ISALL,L3_OOS,900,122,122,0,1.0,0.97
U56,ALL,panel,LS_ISALL,L4_DD,900,122,507,385,0.2406311637080868,0.32666666666666666
U56,ALL,panel,LS_ISALL,L5_CAGR,900,122,211,89,0.5781990521327014,0.7877777777777778
B136,D,panel_cadence,LS_REC,L1_H1,10,0,0,0,,0.4
B136,D,panel_cadence,LS_REC,L2_H2,10,0,0,0,,0.4
B136,D,panel_cadence,LS_REC,L3_OOS,10,0,0,0,,0.4
B136,D,panel_cadence,LS_REC,L4_DD,10,0,1,1,0.0,0.4
B136,D,panel_cadence,LS_REC,L5_CAGR,10,0,3,3,0.0,0.6
B136,D,panel_cadence,LS_970,L1_H1,10,0,0,0,,0.2
B136,D,panel_cadence,LS_970,L2_H2,10,0,0,0,,0.4
B136,D,panel_cadence,LS_970,L3_OOS,10,0,0,0,,0.4
B136,D,panel_cadence,LS_970,L4_DD,10,0,0,0,,0.4
B136,D,panel_cadence,LS_970,L5_CAGR,10,0,2,2,0.0,0.6
B136,D,panel_cadence,LS_ISALL,L1_H1,10,0,0,0,,0.2
B136,D,panel_cadence,LS_ISALL,L2_H2,10,0,0,0,,0.4
B136,D,panel_cadence,LS_ISALL,L3_OOS,10,0,0,0,,0.4
B136,D,panel_cadence,LS_ISALL,L4_DD,10,0,0,0,,0.3
B136,D,panel_cadence,LS_ISALL,L5_CAGR,10,0,2,2,0.0,0.7
B136,W,panel_cadence,LS_REC,L1_H1,50,5,5,0,1.0,1.0
B136,W,panel_cadence,LS_REC,L2_H2,50,5,6,1,0.8333333333333334,0.4
B136,W,panel_cadence,LS_REC,L3_OOS,50,5,5,0,1.0,0.44
B136,W,panel_cadence,LS_REC,L4_DD,50,5,10,5,0.5,0.32
B136,W,panel_cadence,LS_REC,L5_CAGR,50,5,14,9,0.35714285714285715,0.8
B136,W,panel_cadence,LS_970,L1_H1,50,6,6,0,1.0,0.88
B136,W,panel_cadence,LS_970,L2_H2,50,6,6,0,1.0,1.0
B136,W,panel_cadence,LS_970,L3_OOS,50,6,7,1,0.8571428571428571,0.44
B136,W,panel_cadence,LS_970,L4_DD,50,6,11,5,0.5454545454545454,0.32
B136,W,panel_cadence,LS_970,L5_CAGR,50,6,15,9,0.4,0.8
B136,W,panel_cadence,LS_ISALL,L1_H1,50,9,9,0,1.0,0.88
B136,W,panel_cadence,LS_ISALL,L2_H2,50,9,9,0,1.0,1.0
B136,W,panel_cadence,LS_ISALL,L3_OOS,50,9,9,0,1.0,1.0
B136,W,panel_cadence,LS_ISALL,L4_DD,50,9,38,29,0.23684210526315788,0.32
B136,W,panel_cadence,LS_ISALL,L5_CAGR,50,9,15,6,0.6,0.86
B136,M,panel_cadence,LS_REC,L1_H1,210,10,10,0,1.0,1.0
B136,M,panel_cadence,LS_REC,L2_H2,210,10,10,0,1.0,0.5952380952380952
B136,M,panel_cadence,LS_REC,L3_OOS,210,10,10,0,1.0,0.7
B136,M,panel_cadence,LS_REC,L4_DD,210,10,98,88,0.10204081632653061,0.12857142857142856
B136,M,panel_cadence,LS_REC,L5_CAGR,210,10,26,16,0.38461538461538464,0.8476190476190476
B136,M,panel_cadence,LS_970,L1_H1,210,8,10,2,0.8,0.919047619047619
B136,M,panel_cadence,LS_970,L2_H2,210,8,8,0,1.0,1.0
B136,M,panel_cadence,LS_970,L3_OOS,210,8,8,0,1.0,0.7
B136,M,panel_cadence,LS_970,L4_DD,210,8,102,94,0.0784313725490196,0.12857142857142856
B136,M,panel_cadence,LS_970,L5_CAGR,210,8,23,15,0.34782608695652173,0.8476190476190476
B136,M,panel_cadence,LS_ISALL,L1_H1,210,43,46,3,0.9347826086956522,0.919047619047619
B136,M,panel_cadence,LS_ISALL,L2_H2,210,43,43,0,1.0,1.0
B136,M,panel_cadence,LS_ISALL,L3_OOS,210,43,43,0,1.0,1.0
B136,M,panel_cadence,LS_ISALL,L4_DD,210,43,173,130,0.24855491329479767,0.32857142857142857
B136,M,panel_cadence,LS_ISALL,L5_CAGR,210,43,63,20,0.6825396825396826,0.8857142857142857
B136,Q,panel_cadence,LS_REC,L1_H1,630,10,10,0,1.0,1.0
B136,Q,panel_cadence,LS_REC,L2_H2,630,10,10,0,1.0,0.5682539682539682
B136,Q,panel_cadence,LS_REC,L3_OOS,630,10,10,0,1.0,0.680952380952381
B136,Q,panel_cadence,LS_REC,L4_DD,630,10,305,295,0.03278688524590164,0.04285714285714286
B136,Q,panel_cadence,LS_REC,L5_CAGR,630,10,27,17,0.37037037037037035,0.8682539682539683
B136,Q,panel_cadence,LS_970,L1_H1,630,0,10,10,0.0,0.8682539682539683
B136,Q,panel_cadence,LS_970,L2_H2,630,0,0,0,,1.0
B136,Q,panel_cadence,LS_970,L3_OOS,630,0,0,0,,0.680952380952381
B136,Q,panel_cadence,LS_970,L4_DD,630,0,316,316,0.0,0.04285714285714286
B136,Q,panel_cadence,LS_970,L5_CAGR,630,0,4,4,0.0,0.8682539682539683
B136,Q,panel_cadence,LS_ISALL,L1_H1,630,93,108,15,0.8611111111111112,0.8682539682539683
B136,Q,panel_cadence,LS_ISALL,L2_H2,630,93,93,0,1.0,1.0
B136,Q,panel_cadence,LS_ISALL,L3_OOS,630,93,93,0,1.0,1.0
B136,Q,panel_cadence,LS_ISALL,L4_DD,630,93,513,420,0.18128654970760233,0.28253968253968254
B136,Q,panel_cadence,LS_ISALL,L5_CAGR,630,93,127,34,0.7322834645669292,0.8682539682539683
B136,ALL,panel,LS_REC,L1_H1,900,25,25,0,1.0,0.9933333333333333
B136,ALL,panel,LS_REC,L2_H2,900,25,26,1,0.9615384615384616,0.5633333333333334
B136,ALL,panel,LS_REC,L3_OOS,900,25,25,0,1.0,0.6688888888888889
B136,ALL,panel,LS_REC,L4_DD,900,25,414,389,0.06038647342995169,0.08222222222222222
B136,ALL,panel,LS_REC,L5_CAGR,900,25,70,45,0.35714285714285715,0.8566666666666667
B136,ALL,panel,LS_970,L1_H1,900,14,26,12,0.5384615384615384,0.8733333333333333
B136,ALL,panel,LS_970,L2_H2,900,14,14,0,1.0,0.9933333333333333
B136,ALL,panel,LS_970,L3_OOS,900,14,15,1,0.9333333333333333,0.6688888888888889
B136,ALL,panel,LS_970,L4_DD,900,14,429,415,0.03263403263403263,0.08222222222222222
B136,ALL,panel,LS_970,L5_CAGR,900,14,44,30,0.3181818181818182,0.8566666666666667
B136,ALL,panel,LS_ISALL,L1_H1,900,145,163,18,0.8895705521472392,0.8733333333333333
B136,ALL,panel,LS_ISALL,L2_H2,900,145,145,0,1.0,0.9933333333333333
B136,ALL,panel,LS_ISALL,L3_OOS,900,145,145,0,1.0,0.9933333333333333
B136,ALL,panel,LS_ISALL,L4_DD,900,145,724,579,0.20027624309392264,0.29555555555555557
B136,ALL,panel,LS_ISALL,L5_CAGR,900,145,207,62,0.7004830917874396,0.87
SMALL,D,panel_cadence,LS_REC,L1_H1,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_REC,L2_H2,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_REC,L3_OOS,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_REC,L4_DD,10,0,0,0,,0.2
SMALL,D,panel_cadence,LS_REC,L5_CAGR,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_970,L1_H1,10,0,0,0,,0.2
SMALL,D,panel_cadence,LS_970,L2_H2,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_970,L3_OOS,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_970,L4_DD,10,0,0,0,,0.2
SMALL,D,panel_cadence,LS_970,L5_CAGR,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_ISALL,L1_H1,10,0,0,0,,0.2
SMALL,D,panel_cadence,LS_ISALL,L2_H2,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_ISALL,L3_OOS,10,0,0,0,,0.0
SMALL,D,panel_cadence,LS_ISALL,L4_DD,10,0,0,0,,0.1
SMALL,D,panel_cadence,LS_ISALL,L5_CAGR,10,0,0,0,,0.0
SMALL,W,panel_cadence,LS_REC,L1_H1,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_REC,L2_H2,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_REC,L3_OOS,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_REC,L4_DD,50,0,0,0,,0.2
SMALL,W,panel_cadence,LS_REC,L5_CAGR,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_970,L1_H1,50,0,0,0,,0.44
SMALL,W,panel_cadence,LS_970,L2_H2,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_970,L3_OOS,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_970,L4_DD,50,0,0,0,,0.2
SMALL,W,panel_cadence,LS_970,L5_CAGR,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_ISALL,L1_H1,50,0,0,0,,0.44
SMALL,W,panel_cadence,LS_ISALL,L2_H2,50,0,0,0,,0.0
SMALL,W,panel_cadence,LS_ISALL,L3_OOS,50,0,0,0,,0.16
SMALL,W,panel_cadence,LS_ISALL,L4_DD,50,0,0,0,,0.16
SMALL,W,panel_cadence,LS_ISALL,L5_CAGR,50,0,0,0,,0.4
SMALL,M,panel_cadence,LS_REC,L1_H1,210,0,0,0,,0.03333333333333333
SMALL,M,panel_cadence,LS_REC,L2_H2,210,0,0,0,,0.0
SMALL,M,panel_cadence,LS_REC,L3_OOS,210,0,0,0,,0.0
SMALL,M,panel_cadence,LS_REC,L4_DD,210,0,0,0,,0.08095238095238096
SMALL,M,panel_cadence,LS_REC,L5_CAGR,210,0,0,0,,0.11904761904761904
SMALL,M,panel_cadence,LS_970,L1_H1,210,0,0,0,,0.7571428571428571
SMALL,M,panel_cadence,LS_970,L2_H2,210,0,0,0,,0.37142857142857144
SMALL,M,panel_cadence,LS_970,L3_OOS,210,0,0,0,,0.0
SMALL,M,panel_cadence,LS_970,L4_DD,210,0,0,0,,0.08095238095238096
SMALL,M,panel_cadence,LS_970,L5_CAGR,210,0,0,0,,0.11904761904761904
SMALL,M,panel_cadence,LS_ISALL,L1_H1,210,1,1,0,1.0,0.7571428571428571
SMALL,M,panel_cadence,LS_ISALL,L2_H2,210,1,1,0,1.0,0.37142857142857144
SMALL,M,panel_cadence,LS_ISALL,L3_OOS,210,1,1,0,1.0,0.44761904761904764
SMALL,M,panel_cadence,LS_ISALL,L4_DD,210,1,22,21,0.045454545454545456,0.14285714285714285
SMALL,M,panel_cadence,LS_ISALL,L5_CAGR,210,1,26,25,0.038461538461538464,0.7095238095238096
SMALL,Q,panel_cadence,LS_REC,L1_H1,630,0,0,0,,0.20952380952380953
SMALL,Q,panel_cadence,LS_REC,L2_H2,630,0,0,0,,0.0031746031746031746
SMALL,Q,panel_cadence,LS_REC,L3_OOS,630,0,0,0,,0.0
SMALL,Q,panel_cadence,LS_REC,L4_DD,630,0,0,0,,0.0380952380952381
SMALL,Q,panel_cadence,LS_REC,L5_CAGR,630,0,0,0,,0.2523809523809524
SMALL,Q,panel_cadence,LS_970,L1_H1,630,0,0,0,,0.7285714285714285
SMALL,Q,panel_cadence,LS_970,L2_H2,630,0,0,0,,0.3984126984126984
SMALL,Q,panel_cadence,LS_970,L3_OOS,630,0,0,0,,0.0
SMALL,Q,panel_cadence,LS_970,L4_DD,630,0,0,0,,0.0380952380952381
SMALL,Q,panel_cadence,LS_970,L5_CAGR,630,0,0,0,,0.2523809523809524
SMALL,Q,panel_cadence,LS_ISALL,L1_H1,630,0,0,0,,0.7285714285714285
SMALL,Q,panel_cadence,LS_ISALL,L2_H2,630,0,0,0,,0.3984126984126984
SMALL,Q,panel_cadence,LS_ISALL,L3_OOS,630,0,0,0,,0.4396825396825397
SMALL,Q,panel_cadence,LS_ISALL,L4_DD,630,0,99,99,0.0,0.1126984126984127
SMALL,Q,panel_cadence,LS_ISALL,L5_CAGR,630,0,64,64,0.0,0.6968253968253968
SMALL,ALL,panel,LS_REC,L1_H1,900,0,0,0,,0.15444444444444444
SMALL,ALL,panel,LS_REC,L2_H2,900,0,0,0,,0.0022222222222222222
SMALL,ALL,panel,LS_REC,L3_OOS,900,0,0,0,,0.0
SMALL,ALL,panel,LS_REC,L4_DD,900,0,0,0,,0.058888888888888886
SMALL,ALL,panel,LS_REC,L5_CAGR,900,0,0,0,,0.20444444444444446
SMALL,ALL,panel,LS_970,L1_H1,900,0,0,0,,0.7133333333333334
SMALL,ALL,panel,LS_970,L2_H2,900,0,0,0,,0.3655555555555556
SMALL,ALL,panel,LS_970,L3_OOS,900,0,0,0,,0.0
SMALL,ALL,panel,LS_970,L4_DD,900,0,0,0,,0.058888888888888886
SMALL,ALL,panel,LS_970,L5_CAGR,900,0,0,0,,0.20444444444444446
SMALL,ALL,panel,LS_ISALL,L1_H1,900,1,1,0,1.0,0.7133333333333334
SMALL,ALL,panel,LS_ISALL,L2_H2,900,1,1,0,1.0,0.3655555555555556
