isolate,panel,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,cost_share,maj_cost,flip
SCALER on M12_1,U56,5,0.75,LIT,-0.0393222033612477,-0.05119104192123447,-0.06905517339610479,-0.018686358902345157,-0.01711700915771419,1.5459699878416817,0.23185381884293077,False,False
SCALER on M12_1,U56,5,0.75,NORM,-0.03928856137203751,-0.05116131566577198,-0.06903143202259132,-0.018688637353064363,-0.017120324321330704,1.5456243440900277,0.23206506985272068,False,False
SCALER on M12_1,U56,5,1.0,LIT,-0.03940083880978218,-0.05128262809240813,-0.06916683721529648,-0.025497322349595786,-0.023397013244987885,2.0695008680332627,0.2316922849822693,False,False
SCALER on M12_1,U56,5,1.0,NORM,-0.0393674910985613,-0.051252370590627594,-0.06914134555755025,-0.02550129914436261,-0.023402942348416556,2.0688550686612857,0.23188936150866848,False,False
SCALER on M12_1,U56,10,0.75,LIT,0.027436044380357405,0.015579154492130654,-0.0022830342062140074,-0.004171099229145936,-0.0029208807847569407,1.1205630680083196,0.7610740296731704,True,False
SCALER on M12_1,U56,10,0.75,NORM,0.027227952726964322,0.015393840796552594,-0.0024331267462653905,-0.004176798840184182,-0.002926426064338461,1.1199081842945109,0.7687562894025735,True,False
SCALER on M12_1,U56,10,1.0,LIT,0.027248288180228508,0.015380609145328128,-0.0024972274312746734,-0.005373865320889459,-0.00364264683263138,1.4964054311305617,0.7716000662109795,True,False
SCALER on M12_1,U56,10,1.0,NORM,0.02704177397423302,0.01519791016421812,-0.0026431895885361545,-0.005383631519082943,-0.003651658868242702,1.4955425322673896,0.779308712976869,True,False
SCALER on M12_1,B136,5,0.75,LIT,-0.017033104820661782,-0.03900874204776528,-0.07199363318771346,-0.026256428529809694,-0.023447333284519534,2.68312511289297,0.5633515995003081,True,False
SCALER on M12_1,B136,5,0.75,NORM,-0.0171114237368859,-0.039100201966934645,-0.07210481194712914,-0.026251272210913834,-0.023443480343582124,2.68312511289297,0.562369939895546,True,False
SCALER on M12_1,B136,5,1.0,LIT,-0.01768444599020813,-0.03965975658397369,-0.07264485320525527,-0.03529901937849789,-0.03150669689691288,3.576207116352407,0.5540959523348581,True,False
SCALER on M12_1,B136,5,1.0,NORM,-0.01776298534003984,-0.039751356383485814,-0.0727560549574422,-0.03528977543030942,-0.03149978069444237,3.5762071163524105,0.5531476921522296,True,False
SCALER on M12_1,B136,10,0.75,LIT,-0.014335188161187506,-0.03469516995856603,-0.06530747434698059,-0.019627738745902956,-0.017233240215719814,2.2556776088787274,0.5868246739155046,True,False
SCALER on M12_1,B136,10,0.75,NORM,-0.0146223109694672,-0.035005991089134936,-0.06564813381232071,-0.01962002617581593,-0.017228561763150685,2.2559777469301476,0.5822911874646042,True,False
SCALER on M12_1,B136,10,1.0,LIT,-0.014876640289577914,-0.0352557453325153,-0.06589717833603903,-0.02665692127448893,-0.023401858855146562,3.013705817714019,0.5780364264244432,True,False
SCALER on M12_1,B136,10,1.0,NORM,-0.01516412923053756,-0.035565355593699666,-0.066234278824019,-0.026642325383612997,-0.023393072638935752,3.0139626036483094,0.5736263850761595,True,False
SCALER on M12_1,SMALL439,5,0.75,LIT,0.02907727387416259,0.022557192837540152,0.012752151179262566,0.004604955781337683,0.00535338814400399,0.5712327177241292,0.2890466505996962,False,False
