book,key,citations,CAGR,Sharpe,MaxDD,pub_CAGR,pub_Sharpe,pub_MaxDD,row_date,pub_ambiguous,keep4b,fail4b
1,U56/R620/g0.75/M,603,0.16363606568802225,1.1803915634516067,-0.23680069279937277,0.13025,1.09035,-0.1881,2026-09-06,False,False,DD
2,U56/CAND20/g0.75/M,519,0.11254338580831114,1.070787699123491,-0.18194886173239566,0.13424999999999998,1.1334,-0.19595,2026-09-06,True,True,-
3,B136/EWALL/g0.75/W,134,0.14075525496074337,1.1164780700576353,-0.2537134029501955,0.1252,1.0923,-0.18,2026-09-10,True,False,DD
4,U56/EWALL/g0.75/W,132,0.1321843974348571,1.120508478087318,-0.22525873278251796,0.11900000000000001,1.13,-0.174,2026-09-09,True,False,DD
5,U56/CAND20/g0.75/W,93,0.09835771283255879,0.9905978281564559,-0.17381929549976527,0.12785,1.135,-0.17759999999999998,2026-09-10,True,False,CAGR
6,U56/CAND20/g0.80/W,84,0.10486273841022098,0.9905235888806642,-0.1847952489606739,0.135,1.09,-0.195,2026-09-04,False,False,CAGR
7,B136/CAND20/g0.75/W,76,0.08541700211661074,0.8418270035395626,-0.17402567888846665,0.1308,1.1963,-0.1894,2026-09-11,True,False,"H2,OOS,CAGR"
8,B136/MA-DG/g0.75/W,68,0.0773225997638145,1.087738642290474,-0.1261662637192651,0.1219,1.1521,-0.092,2026-09-11,True,False,CAGR
9,BSTK100/CAND20/g0.75/W,68,0.10841764743243254,0.9258130396119315,-0.20334399559886962,0.127,1.098,0.00449999999999999,2026-09-09,True,False,"H2,OOS,DD"
10,SMALL/CAND20/g0.75/W,34,0.054876957437161034,0.5708434534185773,-0.3029857558849005,0.129,1.11,-0.189,2026-09-11,True,False,"H2,OOS,DD,CAGR"
