phi,delta,ceil,pass4b,ceiling_KILL
0.0,0.4,0.75,108,0
0.0,0.4,0.8,108,0
0.0,0.4,0.85,108,0
0.0,0.4,0.9,108,0
0.0,0.4,0.95,108,0
0.0,0.4,1.0,108,0
0.0,0.4,1.05,108,0
0.0,0.4,1.1,108,0
0.0,0.4,1.15,108,0
0.0,0.4,1.2,108,0
0.0,0.4,1.25,108,0
0.0,0.4,1.3,108,0
0.0,0.4,1.3333,108,0
0.0,0.5,0.75,108,0
0.0,0.5,0.8,108,0
0.0,0.5,0.85,108,0
0.0,0.5,0.9,108,0
0.0,0.5,0.95,108,0
0.0,0.5,1.0,108,0
0.0,0.5,1.05,108,0
0.0,0.5,1.1,108,0
0.0,0.5,1.15,108,0
0.0,0.5,1.2,108,0
0.0,0.5,1.25,108,0
0.0,0.5,1.3,108,0
0.0,0.5,1.3333,108,0
0.0,0.6,0.75,109,0
0.0,0.6,0.8,109,0
0.0,0.6,0.85,109,0
0.0,0.6,0.9,109,0
0.0,0.6,0.95,109,0
0.0,0.6,1.0,109,0
0.0,0.6,1.05,109,0
0.0,0.6,1.1,109,0
0.0,0.6,1.15,109,0
0.0,0.6,1.2,109,0
0.0,0.6,1.25,109,0
0.0,0.6,1.3,109,0
0.0,0.6,1.3333,109,0
0.0,0.7,0.75,109,0
0.0,0.7,0.8,109,0
0.0,0.7,0.85,109,0
0.0,0.7,0.9,109,0
0.0,0.7,0.95,109,0
0.0,0.7,1.0,109,0
0.0,0.7,1.05,109,0
0.0,0.7,1.1,109,0
0.0,0.7,1.15,109,0
0.0,0.7,1.2,109,0
0.0,0.7,1.25,109,0
0.0,0.7,1.3,109,0
0.0,0.7,1.3333,109,0
0.0,0.8,0.75,109,0
0.0,0.8,0.8,109,0
0.0,0.8,0.85,109,0
0.0,0.8,0.9,109,0
0.0,0.8,0.95,109,0
0.0,0.8,1.0,109,0
0.0,0.8,1.05,109,0
0.0,0.8,1.1,109,0
0.0,0.8,1.15,109,0
0.0,0.8,1.2,109,0
0.0,0.8,1.25,109,0
0.0,0.8,1.3,109,0
0.0,0.8,1.3333,109,0
0.0,1.0,0.75,109,0
0.0,1.0,0.8,109,0
0.0,1.0,0.85,109,0
0.0,1.0,0.9,109,0
0.0,1.0,0.95,109,0
0.0,1.0,1.0,109,0
0.0,1.0,1.05,109,0
0.0,1.0,1.1,109,0
0.0,1.0,1.15,109,0
0.0,1.0,1.2,109,0
0.0,1.0,1.25,109,0
0.0,1.0,1.3,109,0
0.0,1.0,1.3333,109,0
0.5,0.4,0.75,43,11
0.5,0.4,0.8,43,11
0.5,0.4,0.85,43,11
0.5,0.4,0.9,45,9
0.5,0.4,0.95,48,6
0.5,0.4,1.0,51,3
0.5,0.4,1.05,52,2
0.5,0.4,1.1,53,1
0.5,0.4,1.15,54,0
0.5,0.4,1.2,54,0
0.5,0.4,1.25,54,0
0.5,0.4,1.3,54,0
