panel,book,cost,D,k,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_CAGR,pass4a,pass4b
u56,V1u,10.0,0.12,0.5,0.5691406209540243,0.03916817796518801,0.4864096419701854,-0.16036629087291654,0.7135835570891119,0.07167644913632909,0.8820107671822842,0.15450717694493266,False,False
u56,V1u,25.0,0.12,0.5,0.23695028375922444,0.0161593068604855,0.24182197471935488,-0.16261713557130453,0.3592038657013107,0.032674555494910607,0.8820107671822842,0.15450717694493266,False,False
u56,TOP20,10.0,0.12,0.5,1.1869259287603628,0.11826950493588995,0.9473515910218312,-0.19756115427005017,1.1676752607259366,0.16638958865609776,0.8820107671822842,0.15450717694493266,False,True
u56,TOP20,25.0,0.12,0.5,1.0078960664799994,0.09234920581523531,0.7691815573202848,-0.19860739087778767,1.0721876011978528,0.15087237124064035,0.8820107671822842,0.15450717694493266,False,False
u56,EWall,10.0,0.05,0.5,1.0162519148820282,0.10176659838872992,1.2074320470438782,-0.15591421600631294,1.1357379992068701,0.1381731378987332,0.8820107671822842,0.15450717694493266,False,False
u56,EWall,25.0,0.12,0.25,1.0842053074298885,0.07208241201937171,0.8080305227209785,-0.17996430050226897,1.1250416500196643,0.13671134762230652,0.8820107671822842,0.15450717694493266,False,False
broad,V1u,10.0,0.12,0.5,0.6950062387494195,0.040026731215858424,0.47153280687317034,-0.18290991047106553,0.5726795060813383,0.05825091721868203,0.8820239235972316,0.1545044425578177,False,False
broad,V1u,25.0,0.12,0.25,0.3002000553544403,0.003639023263563912,0.14609745611136077,-0.08046984248999545,0.14599987578246443,0.01003251284669271,0.8820239235972316,0.1545044425578177,False,False
broad,TOP20,10.0,0.12,0.5,0.9838046536692526,0.10467277823054255,0.7654026590519138,-0.2101392715266559,0.9301240819488711,0.14862653950160798,0.8820239235972316,0.1545044425578177,True,False
broad,TOP20,25.0,0.12,0.5,0.6842680423014746,0.07986542658353568,0.6425183839688903,-0.22143366492520145,0.8066189970303554,0.1257100029253504,0.8820239235972316,0.1545044425578177,False,False
broad,EWall,10.0,0.12,0.5,1.1295032101374731,0.11721113475424372,1.0865019429223604,-0.20184666769548554,1.1022031339130582,0.13933574083806333,0.8820239235972316,0.1545044425578177,True,True
broad,EWall,25.0,0.12,0.5,1.1184910306032898,0.11557707292421049,1.07266820221188,-0.20243563769070116,1.0913501695849346,0.13778891144087635,0.8820239235972316,0.1545044425578177,True,False
small,V1u,10.0,0.05,0.5,0.551053410729358,0.03747366941180719,0.4436431380259754,-0.20353463305219555,0.5310569496765438,0.07075009526850029,0.8820107671822842,0.15450717694493266,False,False
small,V1u,25.0,0.12,0.5,0.18331393227847198,0.009543233347536484,0.15706964099127924,-0.29712580491878615,0.19789328807651982,0.01861917757130116,0.8820107671822842,0.15450717694493266,False,False
small,TOP20,10.0,0.08,0.25,0.7087423214254527,0.05201466347270767,0.5495831227805652,-0.18768448027089124,0.8091056551333645,0.17097711041046781,0.8820107671822842,0.15450717694493266,False,False
small,TOP20,25.0,0.08,0.25,0.5344398577689878,0.024198675908302825,0.3106317686246092,-0.16177821217349053,0.6962918593916119,0.14135706840808382,0.8820107671822842,0.15450717694493266,False,False
small,EWall,10.0,0.05,0.25,0.9210349308746322,0.04616220612283617,0.6441180837184803,-0.15348387916050987,0.6366624355474834,0.10089643214031607,0.8820107671822842,0.15450717694493266,True,False
small,EWall,25.0,0.08,0.5,0.8017717052033965,0.07553049086706154,0.6830863344772165,-0.23421384151565972,0.6206770724346838,0.09782050310343715,0.8820107671822842,0.15450717694493266,True,False
