panel,control,D,W,M,Q,range_DQ
U56,DRIFT,0.3,0.46,0.7,0.8587301587301587,0.5587301587301587
U56,NODRIFT_G,0.3,0.46,0.7142857142857143,0.8841269841269841,0.584126984126984
U56,NODRIFT_W,0.3,0.44,0.7142857142857143,0.8825396825396825,0.5825396825396825
B136,DRIFT,0.6,0.68,0.8714285714285714,0.9571428571428572,0.3571428571428572
B136,NODRIFT_G,0.6,0.68,0.8761904761904762,0.9571428571428572,0.3571428571428572
B136,NODRIFT_W,0.6,0.68,0.8761904761904762,0.9555555555555556,0.3555555555555556
SMALL,DRIFT,0.8,0.8,0.919047619047619,0.9650793650793651,0.16507936507936505
SMALL,NODRIFT_G,0.8,0.8,0.9380952380952381,0.9666666666666667,0.16666666666666663
SMALL,NODRIFT_W,0.8,0.8,0.9380952380952381,0.9698412698412698,0.1698412698412698
