universe,grid,book,cost_bps,2009|2010|2011|2012|2013|2014|2015|2016,2009|2010|2011|2012|2013|2014|2015,2009|2010|2011|2012|2013|2014|2016,2009|2010|2011|2012|2013|2015|2016,2009|2010|2011|2012|2014|2015|2016,2009|2010|2011|2013|2014|2015|2016,2009|2010|2012|2013|2014|2015|2016,2009|2011|2012|2013|2014|2015|2016,2010|2011|2012|2013|2014|2015|2016,2009|2010|2011|2012|2013|2014,2009|2010|2011|2012|2013|2015,2009|2010|2011|2012|2013|2016,2009|2010|2011|2012|2014|2015,2009|2010|2011|2012|2014|2016,2009|2010|2011|2012|2015|2016,2009|2010|2011|2013|2014|2015,2009|2010|2011|2013|2014|2016,2009|2010|2011|2013|2015|2016,2009|2010|2011|2014|2015|2016,2009|2010|2012|2013|2014|2015,2009|2010|2012|2013|2014|2016,2009|2010|2012|2013|2015|2016,2009|2010|2012|2014|2015|2016,2009|2010|2013|2014|2015|2016,2009|2011|2012|2013|2014|2015,2009|2011|2012|2013|2014|2016,2009|2011|2012|2013|2015|2016,2009|2011|2012|2014|2015|2016,2009|2011|2013|2014|2015|2016,2009|2012|2013|2014|2015|2016,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013|2014|2016,2010|2011|2012|2013|2015|2016,2010|2011|2012|2014|2015|2016,2010|2011|2013|2014|2015|2016,2010|2012|2013|2014|2015|2016,2011|2012|2013|2014|2015|2016,2009|2010|2011|2012|2013,2010|2011|2012|2013|2014,2011|2012|2013|2014|2015,2012|2013|2014|2015|2016,2009|2010|2011|2012,2010|2011|2012|2013,2011|2012|2013|2014,2012|2013|2014|2015,2013|2014|2015|2016
u56,sleeve,top20,10,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.0,0.25,0.0,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.0,0.75,0.5,0.5,0.0,0.0
u56,sleeve,top20,25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,0.25,0.5,0.5,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.5,0.5,0.25,0.75,0.5,0.0,0.25,0.25,0.5,0.25,0.0,0.5,0.5,0.5,0.0,0.0
u56,sleeve,ewall,10,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.0,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.25
u56,sleeve,ewall,25,0.25,0.25,0.25,0.25,0.5,0.5,0.0,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.5,0.5,0.25,0.75,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.5,0.5,0.5,0.0,0.0
u56,band,top20,10,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.05,0.08,0.05,0.05,0.08,0.05,0.05,0.08,0.08,0.05,0.0,0.08,0.05,0.08,0.05,0.08
u56,band,top20,25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.05,0.08,0.05,0.08,0.08,0.05,0.08,0.08,0.08,0.05,0.05,0.08,0.05,0.08,0.05,0.08
u56,band,ewall,10,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.02,0.05,0.08,0.08,0.08,0.05,0.02,0.08,0.08
u56,band,ewall,25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.05,0.08,0.08,0.08
u56,breadth,top20,10,0.25,0.25,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.5,0.25,0.75,0.0,0.75,0.25,0.25,0.75,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
u56,breadth,top20,25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.0,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.75,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.5
