uni,book,ref_book,cost,arm,dCAGR,dMaxDD,rate,ref_dCAGR,ref_dMaxDD,ref_rate,e_dCAGR,e_dMaxDD,e_rate
universe.json(56),TOP20,TOP20,10.0,g200-dg,1.3542500722558692,2.6966930548027013,0.5021891793891798,1.3542500722558692,2.6966930548027013,0.5021891793891798,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,g200-rw,1.2244242394441551,2.8216076824896907,0.43394560024863726,1.2244242394441551,2.8216076824896907,0.4339456002486372,0.0,0.0,5.551115123125783e-17
universe.json(56),TOP20,TOP20,10.0,band3-dg,1.1250224559286037,2.454293292859555,0.45838957356959303,1.1250224559286035,2.454293292859555,0.458389573569593,2.220446049250313e-16,0.0,5.551115123125783e-17
universe.json(56),TOP20,TOP20,10.0,band3-rw,1.0672270339939116,2.296748283388983,0.46466869779005876,1.0672270339939116,2.296748283388983,0.4646686977900587,0.0,0.0,5.551115123125783e-17
universe.json(56),TOP20,TOP20,10.0,abs12-dg,1.9023271435521627,0.02952400557105772,,1.9023271435521627,0.0295240055710577,,0.0,2.0816681711721685e-17,0.0
universe.json(56),TOP20,TOP20,10.0,abs12-rw,1.3852323122099497,-0.5050862418946367,,1.3852323122099497,-0.5050862418946367,,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,vol60-dg,2.7401694572463553,5.44831295381819,0.5029390713185883,2.7401694572463557,5.44831295381819,0.5029390713185883,4.440892098500626e-16,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,vol60-rw,1.7763741990340254,3.664801078444213,0.48471231071240967,1.7763741990340254,3.664801078444213,0.4847123107124096,0.0,0.0,5.551115123125783e-17
universe.json(56),TOP20,TOP20,10.0,v1gate-dg,3.678773621907716,5.700681764834226,0.6453216954857844,3.678773621907716,5.700681764834226,0.6453216954857844,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,v1gate-rw,2.8319474201652595,3.902060021986453,0.7257570114781517,2.8319474201652595,3.902060021986453,0.7257570114781517,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,stop15,1.048989833283498,-0.8629079576924825,,1.048989833283498,-0.8629079576924825,,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,stop25,0.22343842344330067,-1.5792462017289122,,0.2234384234433006,-1.5792462017289122,,8.326672684688674e-17,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,ddctl-8/.5/recover,4.126669144618322,5.648528996750479,0.7305741277051668,4.126669144618322,5.648528996750479,0.7305741277051668,0.0,0.0,0.0
universe.json(56),TOP20,TOP20,10.0,ddctl-8/.5/high,5.612125488069508,5.648528996750491,0.9935552231913963,5.612125488069508,5.648528996750491,0.9935552231913964,0.0,0.0,1.1102230246251565e-16
