row,claim,published,substituted,moved
R7,SMALL439 IS-pick mean OOS Sharpe,0.39928210670100994,0.4507387969325133,True
R7,SMALL439 do-nothing mean OOS Sharpe,0.36573601976692416,0.41468547305343856,True
R7,SMALL439 band3 mean OOS Sharpe,0.2810961526995518,0.33706704243896574,True
R7,SMALL439 200d mean OOS Sharpe,0.26357656806578805,0.31569899739942564,True
R7,SMALL439 picks beating SPY OOS (of 32),0,0,False
R7,SMALL439 IS-pick mean OOS CAGR (pp),4.123269636192855,4.79466979495025,True
R7,SMALL439 do-nothing mean OOS CAGR (pp),4.926766244073427,5.850450480396165,True
R7,SMALL439 'pick loses to do-nothing on OOS CAGR',True,True,False
R8,4a KEEP count (of 108),0,0,False
R8,4b KEEP count (of 108),15,15,False
R8,4b KEEP count on SMALL439 alone (of 72),0,0,False
R8,4b binding bar 'CAGR' count over the 108,86,86,False
R8,4b binding bar 'H1' count over the 108,72,72,False
R8,4b binding bar 'H2' count over the 108,72,72,False
R8,4b binding bar 'OOS' count over the 108,72,72,False
R8,4b binding bar 'DD' count over the 108,50,46,True
