panel,book,gate,cost,adm_star,between_dials,sign_at_tightest,sign_at_loosest,rng_dSharpe
u56,EWall,abs12,10.0,0.6479914105599069,63.0->126.0,1.0,1.0,0.08627994790350058
u56,EWall,abs12,25.0,0.7283090760554172,252.0->378.0,-1.0,1.0,0.11595638689021692
u56,EWall,band3,10.0,0.6644665747735926,5.0->2.0,1.0,-1.0,0.10829920681341076
u56,EWall,band3,25.0,0.6585556205072367,8.0->5.0,1.0,-1.0,0.13697524130021466
u56,EWall,g200,10.0,0.6490848852774711,50.0->100.0,-1.0,-1.0,0.08030957865999966
u56,EWall,g200,25.0,,-,-1.0,-1.0,0.13447644561531702
u56,EWall,v1gate,10.0,,-,-1.0,-1.0,0.025246807092625723
u56,EWall,v1gate,25.0,,-,-1.0,-1.0,0.03588275498149507
u56,EWall,vol60,10.0,0.9463218560195481,0.6->0.8,-1.0,1.0,0.03438678034091103
u56,EWall,vol60,25.0,0.9521072138739405,0.6->0.8,-1.0,1.0,0.05048562319529082
u56,TOP20,abs12,10.0,0.6665404416028604,63.0->126.0,1.0,1.0,0.0638583817422389
u56,TOP20,abs12,25.0,0.6629885402647167,63.0->126.0,1.0,1.0,0.06547514965850876
u56,TOP20,band3,10.0,0.6863083561496947,2.0->3.0,1.0,1.0,0.019569396073683354
u56,TOP20,band3,25.0,0.6863196517829985,2.0->3.0,1.0,1.0,0.021425541912100332
u56,TOP20,g200,10.0,0.6283772753814749,50.0->100.0,-1.0,1.0,0.05023764120572549
u56,TOP20,g200,25.0,0.6384139875980345,50.0->100.0,-1.0,1.0,0.072137722173786
u56,TOP20,v1gate,10.0,,-,1.0,1.0,0.022668280925270068
u56,TOP20,v1gate,25.0,,-,1.0,1.0,0.02947793734931048
u56,TOP20,vol60,10.0,,-,1.0,1.0,0.02376918236224168
u56,TOP20,vol60,25.0,,-,1.0,1.0,0.0261820218155564
u56,V1u,abs12,10.0,0.7056848808134636,126.0->252.0,-1.0,1.0,0.13396478651251897
u56,V1u,abs12,25.0,0.7040152809531485,126.0->252.0,-1.0,1.0,0.13571045617351457
u56,V1u,band3,10.0,,-,1.0,1.0,0.06643914768517012
u56,V1u,band3,25.0,,-,1.0,1.0,0.07399279979861123
u56,V1u,g200,10.0,0.6699871031324911,100.0->200.0,-1.0,1.0,0.06666562848510293
u56,V1u,g200,25.0,0.6703406500008366,100.0->200.0,-1.0,1.0,0.07741954030110812
u56,V1u,v1gate,10.0,,-,1.0,1.0,0.011359577603039073
u56,V1u,v1gate,25.0,,-,1.0,1.0,0.010606434174422252
u56,V1u,vol60,10.0,,-,1.0,0.0,0.007236950754336169
u56,V1u,vol60,25.0,,-,1.0,0.0,0.008207968688999312
broad,EWall,abs12,10.0,0.6551333773795649,63.0->126.0,1.0,1.0,0.07748000204090966
broad,EWall,abs12,25.0,0.7242758868622983,252.0->378.0,-1.0,1.0,0.09861789566813484
broad,EWall,band3,10.0,,-,-1.0,-1.0,0.026741323753599833
broad,EWall,band3,25.0,,-,-1.0,-1.0,0.04579279460780172
broad,EWall,g200,10.0,0.6275203308810205,50.0->100.0,-1.0,1.0,0.04627291606878692
broad,EWall,g200,25.0,,-,-1.0,-1.0,0.08641746699575092
broad,EWall,v1gate,10.0,,-,-1.0,-1.0,0.039317603958978986
