stem,file,date,dial,L,gmin,gmax,cells,wider_any,wider_later,wider_superset,edge
2026-09-04_drawdown-control_C,2026-09-04_drawdown-control_C.grid.csv,2026-09-04,cost,3,5.0,25.0,127,True,True,True,0.9207683073229291
2026-09-04_drawdown-control_C,2026-09-04_drawdown-control_C.ladder.csv,2026-09-04,m,19,0.1,1.0,4,True,True,True,1.0
2026-09-04_ensemble-plus-momentum_C,2026-09-04_ensemble-plus-momentum_C.diversification.csv,2026-09-04,f,3,0.25,0.75,12,True,True,True,0.8333333333333334
2026-09-04_gross-matched-turnover-constraints_B,2026-09-04_gross-matched-turnover-constraints_B.grid.csv,2026-09-04,cost,4,0.0,25.0,29,True,True,True,0.9704433497536946
2026-09-04_turnover-budget_B,2026-09-04_turnover-budget_B.grid.csv,2026-09-04,cost,4,0.0,25.0,6,True,True,True,1.0
2026-09-04_which-4b-bar-binds_B,2026-09-04_which-4b-bar-binds_B.gladder.csv,2026-09-04,g,13,0.4,1.0,7,True,True,True,0.9523809523809523
2026-09-04_which-4b-bar-binds_B,2026-09-04_which-4b-bar-binds_B.gladder.csv,2026-09-04,cost,3,5.0,25.0,23,True,True,True,1.0
2026-09-04_which-4b-bar-binds_B,2026-09-04_which-4b-bar-binds_B.grid.csv,2026-09-04,cost,3,5.0,25.0,31,True,True,True,1.0
2026-09-05_absorbing-state-audit_B,2026-09-05_absorbing-state-audit_B.ddctl.csv,2026-09-05,D,6,0.04,0.15,35,False,False,False,0.6085106382978723
2026-09-05_absorbing-state-audit_B,2026-09-05_absorbing-state-audit_B.ladder.csv,2026-09-05,m,19,0.1,1.0,12,True,True,True,0.9722222222222222
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud,2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.cells.csv,2026-09-05,share,9,0.05,1.0,13,True,False,True,0.6923076923076923
2026-09-05_band-width-at-g085_cloud,2026-09-05_band-width-at-g085_cloud.grid.csv,2026-09-05,band,5,0.0,8.0,28,False,False,False,0.5714285714285714
2026-09-05_band-width-at-g085_cloud,2026-09-05_band-width-at-g085_cloud.grid.csv,2026-09-05,g,5,0.55,1.0,7,True,False,True,0.9841269841269841
2026-09-05_band-width-at-g085_cloud,2026-09-05_band-width-at-g085_cloud.walkforward.csv,2026-09-05,g,5,0.55,1.0,6,True,False,True,1.0
2026-09-05_cagr-floor-calibration_B,2026-09-05_cagr-floor-calibration_B.calibration.csv,2026-09-05,phi,7,0.0,1.0,615,False,False,False,1.0
2026-09-05_cagr-floor-calibration_B,2026-09-05_cagr-floor-calibration_B.ladder.csv,2026-09-05,m,19,0.1,1.0,2,True,True,True,0.8333333333333334
2026-09-05_delete-the-scaler-on-small_cloud,2026-09-05_delete-the-scaler-on-small_cloud.costladder.csv,2026-09-05,cost_bps,4,0.0,50.0,3,False,False,False,1.0
2026-09-05_delete-the-scaler-on-small_cloud,2026-09-05_delete-the-scaler-on-small_cloud.grid.csv,2026-09-05,floor_musd,4,0.0,20.0,140,False,False,False,0.9285714285714286
2026-09-05_delete-the-scaler-on-small_cloud,2026-09-05_delete-the-scaler-on-small_cloud.grid.csv,2026-09-05,n,5,3.0,40.0,122,True,True,True,0.4344262295081967
2026-09-05_delete-the-scaler-on-small_cloud,2026-09-05_delete-the-scaler-on-small_cloud.grid.csv,2026-09-05,g,4,0.25,1.0,152,True,False,True,0.96875
2026-09-05_delete-the-scaler-on-small_cloud,2026-09-05_delete-the-scaler-on-small_cloud.norankcontrol.csv,2026-09-05,g,4,0.25,1.0,3,True,False,True,0.8888888888888888
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,2026-09-05,share,14,0.03,1.0,6,False,False,False,0.12962962962962962
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C,2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.grid.csv,2026-09-05,k,3,20.0,80.0,1,True,False,False,1.0
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C,2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.ladder.csv,2026-09-05,k,3,20.0,80.0,9,True,False,False,0.7592592592592593
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C,2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.ladder.csv,2026-09-05,g,10,0.2,1.0,7,False,False,False,0.9523809523809523
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud,2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud.ladder.csv,2026-09-05,cost_bps,5,5.0,25.0,33,True,True,True,0.9461279461279462
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud,2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud.walkforward.csv,2026-09-05,cost_bps,5,5.0,25.0,16,True,True,True,1.0
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C,2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C.financing.csv,2026-09-05,fin,3,0.0,0.05,149,False,False,False,1.0
2026-09-05_fixed-gross-S4-blend_cloud,2026-09-05_fixed-gross-S4-blend_cloud.grid.csv,2026-09-05,cost_bps,5,5.0,25.0,80,True,True,True,0.996875
2026-09-05_gross-as-the-missing-third-bar_B,2026-09-05_gross-as-the-missing-third-bar_B.walkforward.csv,2026-09-05,gamma,10,0.0,0.75,65,False,False,False,1.0
2026-09-05_gross-interval-as-a-keep-bar_B,2026-09-05_gross-interval-as-a-keep-bar_B.family.csv.gz,2026-09-05,m,25,0.1,1.3,165,True,True,True,0.8478114478114478
2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B,2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B.family.csv.gz,2026-09-05,m,25,0.1,1.3,165,True,True,True,0.8478114478114478
2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B,2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B.walkforward.csv,2026-09-05,m,3,0.2,1.0,23,True,True,True,0.9710144927536232
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C,2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,2026-09-05,share,14,0.03,1.0,2,False,False,False,0.1111111111111111
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C,2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.corpus.csv,2026-09-05,n,11,2.0,60.0,5,False,False,False,0.5555555555555556
2026-09-05_is-the-conditional-sleeve-anything-at-all_B,2026-09-05_is-the-conditional-sleeve-anything-at-all_B.grid.csv,2026-09-05,n,3,10.0,40.0,11,True,True,True,0.8080808080808081
2026-09-05_is-the-conditional-sleeve-anything-at-all_B,2026-09-05_is-the-conditional-sleeve-anything-at-all_B.keep.csv,2026-09-05,n,3,10.0,40.0,11,True,True,True,0.9090909090909091
2026-09-05_is-the-defensive-class-one-book_cloud,2026-09-05_is-the-defensive-class-one-book_cloud.ladder.csv,2026-09-05,m,5,0.4,1.0,11,True,True,True,0.9772727272727273
2026-09-05_is-the-gross-ladder-worth-running-at-all_B,2026-09-05_is-the-gross-ladder-worth-running-at-all_B.grid.csv,2026-09-05,n,3,10.0,40.0,46,True,True,True,0.7608695652173914
2026-09-05_is-the-ladder-even-a-candidate_C,2026-09-05_is-the-ladder-even-a-candidate_C.family.csv.gz,2026-09-05,m,25,0.1,1.3,165,True,True,True,0.8478114478114478
2026-09-05_liquidity-screened-small-panel_cloud,2026-09-05_liquidity-screened-small-panel_cloud.capacity.csv,2026-09-05,floor_musd,4,0.0,20.0,14,False,False,False,0.9761904761904762
2026-09-05_liquidity-screened-small-panel_cloud,2026-09-05_liquidity-screened-small-panel_cloud.costladder.csv,2026-09-05,cost_bps,3,0.0,25.0,8,True,True,True,1.0
2026-09-05_liquidity-screened-small-panel_cloud,2026-09-05_liquidity-screened-small-panel_cloud.grid.csv,2026-09-05,floor_musd,4,0.0,20.0,41,False,False,False,0.9847560975609756
2026-09-05_liquidity-screened-small-panel_cloud,2026-09-05_liquidity-screened-small-panel_cloud.grid.csv,2026-09-05,g,3,0.5,1.0,59,True,False,True,0.9872881355932204
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud,2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.family.csv.gz,2026-09-05,m,26,0.1,1.3333,160,True,True,False,0.8361111111111111
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud,2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.picks.csv,2026-09-05,ceil,13,0.75,1.3333,3,False,False,False,1.0
2026-09-05_pin-m-or-let-the-screen-choose_cloud,2026-09-05_pin-m-or-let-the-screen-choose_cloud.family.csv.gz,2026-09-05,m,25,0.1,1.3,165,True,True,True,0.8478114478114478
2026-09-05_post-trigger-short-term-reversal_cloud,2026-09-05_post-trigger-short-term-reversal_cloud.grid.csv,2026-09-05,cost,4,0.0,50.0,3,False,False,False,1.0
2026-09-05_price-denominator-sign-test_C,2026-09-05_price-denominator-sign-test_C.walkforward.csv,2026-09-05,q,3,0.05,0.2,34,True,True,True,1.0
2026-09-05_price-denominator-sign-test_C,2026-09-05_price-denominator-sign-test_C.walkforward.csv,2026-09-05,tau,4,0.8,1.0,24,False,False,False,1.0
2026-09-05_price-the-broad-POS-near-miss_cloud,2026-09-05_price-the-broad-POS-near-miss_cloud.transfer.csv,2026-09-05,m,4,0.55,0.7,4,True,True,True,1.0
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid,2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.grid.broad.csv.gz,2026-09-05,m,25,0.1,1.3,8,True,True,True,0.7777777777777778
