sel,gap,control,scope
"gross,n",0.2222222222222222,DEFAULT,pooled
"lambda,n",0.13888888888888884,DEFAULT,pooled
"cadence,n",0.11904761904761896,DEFAULT,pooled
"gross,lambda",0.09166666666666667,DEFAULT,pooled
"cadence,gross",0.05555555555555558,DEFAULT,pooled
"n,volcap",0.05555555555555558,DEFAULT,pooled
"gross,volcap",0.01666666666666672,DEFAULT,pooled
"band,n",0.011904761904761973,DEFAULT,pooled
"band,gross",-0.02777777777777779,DEFAULT,pooled
"cadence,lambda",-0.02777777777777779,DEFAULT,pooled
"lambda,volcap",-0.05833333333333335,DEFAULT,pooled
"band,lambda",-0.11111111111111116,DEFAULT,pooled
"cadence,volcap",-0.11111111111111116,DEFAULT,pooled
"band,volcap",-0.19444444444444442,DEFAULT,pooled
"band,cadence",-0.20238095238095238,DEFAULT,pooled
"gross,volcap",0.18333333333333335,DEFAULT,TOP20-only
"n,volcap",0.18333333333333335,DEFAULT,TOP20-only
"cadence,volcap",0.11111111111111105,DEFAULT,TOP20-only
"gross,n",0.033333333333333326,DEFAULT,TOP20-only
"lambda,volcap",0.033333333333333326,DEFAULT,TOP20-only
"cadence,gross",-0.05555555555555558,DEFAULT,TOP20-only
"cadence,n",-0.05555555555555558,DEFAULT,TOP20-only
"gross,lambda",-0.1166666666666667,DEFAULT,TOP20-only
"lambda,n",-0.1166666666666667,DEFAULT,TOP20-only
"cadence,lambda",-0.2222222222222222,DEFAULT,TOP20-only
gross,0.2142857142857143,DEFAULT,BAND-only
lambda,0.2142857142857143,DEFAULT,BAND-only
band,0.0,DEFAULT,BAND-only
cadence,0.0,DEFAULT,BAND-only
volcap,-0.42857142857142855,DEFAULT,BAND-only
"n,volcap",0.2222222222222222,MEDIAN,pooled
"lambda,n",0.2222222222222222,MEDIAN,pooled
"gross,n",0.2222222222222222,MEDIAN,pooled
"gross,lambda",0.16666666666666663,MEDIAN,pooled
"gross,volcap",0.16666666666666663,MEDIAN,pooled
"lambda,volcap",0.16666666666666663,MEDIAN,pooled
"band,n",0.011904761904761973,MEDIAN,pooled
"band,gross",-0.02777777777777779,MEDIAN,pooled
"band,lambda",-0.02777777777777779,MEDIAN,pooled
"band,volcap",-0.02777777777777779,MEDIAN,pooled
"cadence,gross",-0.19444444444444442,MEDIAN,pooled
"cadence,volcap",-0.19444444444444442,MEDIAN,pooled
"cadence,lambda",-0.19444444444444442,MEDIAN,pooled
"cadence,n",-0.20238095238095238,MEDIAN,pooled
"band,cadence",-0.5238095238095238,MEDIAN,pooled
"gross,n",0.3666666666666667,MEDIAN,TOP20-only
"gross,volcap",0.21666666666666667,MEDIAN,TOP20-only
"n,volcap",0.21666666666666667,MEDIAN,TOP20-only
"gross,lambda",0.06666666666666665,MEDIAN,TOP20-only
"lambda,n",0.06666666666666665,MEDIAN,TOP20-only
"lambda,volcap",-0.08333333333333326,MEDIAN,TOP20-only
"cadence,n",-0.11111111111111105,MEDIAN,TOP20-only
"cadence,gross",-0.11111111111111105,MEDIAN,TOP20-only
"cadence,volcap",-0.2777777777777778,MEDIAN,TOP20-only
"cadence,lambda",-0.4444444444444445,MEDIAN,TOP20-only
lambda,0.4047619047619048,MEDIAN,BAND-only
volcap,0.19047619047619047,MEDIAN,BAND-only
gross,-0.023809523809523836,MEDIAN,BAND-only
band,-0.23809523809523808,MEDIAN,BAND-only
cadence,-0.5833333333333334,MEDIAN,BAND-only
