panel,target,p,n_star,p_over_n_star,status,is_full_panel,repro_at_nmax,repro_at_nmin
U56,sd,10,,,never_above,False,0.0519104350744678,-0.3798217860688604
U56,sd,20,,,never_below,False,0.9032232274346533,0.6114923915870407
U56,sd,40,44.92133755885181,0.8904454358153444,crossed,False,0.961777557151739,0.10036956884277792
U56,sd,55,43.73847617551355,1.2574740779559002,crossed,True,0.9693940800513602,0.1047135270253825
U56,mn,10,,,never_above,False,0.15349925587630575,0.025406742888464007
U56,mn,20,,,never_below,False,0.7059666112456681,0.6387128313949312
U56,mn,40,,,never_below,False,0.9283115358964834,0.5234697195218699
U56,mn,55,42.7412183451115,1.2868140434347397,crossed,True,0.9999650244612072,0.24293481666171068
B136,sd,10,,,never_above,False,-0.0001665495892995139,-0.5633688105981058
B136,sd,20,,,never_above,False,0.005783584658045182,-0.9958258882351056
B136,sd,40,,,never_above,False,0.1002396392638002,-1.3015449962022294
B136,sd,80,330.13696878180167,0.2423236643118106,crossed,False,0.575799161401589,-0.5798605210682233
B136,sd,135,73.26761676282948,1.8425602737564262,crossed,True,0.9645370294993967,-0.27992517384023063
B136,mn,10,,,never_above,False,0.03261839285480095,-0.009704250003477632
B136,mn,20,,,never_above,False,0.043977312237207355,0.16073828245654898
B136,mn,40,,,never_above,False,0.13987746216035224,0.299953149273265
B136,mn,80,,,never_above,False,0.4551742559991504,0.15976832143641861
B136,mn,135,76.53762199259846,1.763838442917068,crossed,True,0.9998417579028327,0.37455037311413153
SMALL439,sd,10,,,never_above,False,-0.019429257742673345,-0.06954828856782336
SMALL439,sd,20,,,never_above,False,-0.0037147129595500594,-0.015833975073736184
SMALL439,sd,40,,,never_above,False,-0.03060790771055144,0.022367980311405633
SMALL439,sd,80,,,never_above,False,-0.06920717420905231,0.15676049846052797
SMALL439,sd,160,,,never_above,False,0.19012904654100504,0.1272550511326448
SMALL439,sd,320,191.59805805000522,1.6701630656219026,crossed,False,0.9038682549758518,0.23294841335758099
SMALL439,sd,439,218.83233829728422,2.006102038738066,crossed,True,0.948306806458739,0.13187435514876933
SMALL439,mn,10,,,never_above,False,0.013649925641379679,-0.17765999366828766
SMALL439,mn,20,,,never_above,False,0.044888343417024856,-0.2383188494999886
SMALL439,mn,40,,,never_above,False,0.040653136539462675,-0.31446623566697585
SMALL439,mn,80,,,never_above,False,0.01603692739336493,-0.06182980146272521
SMALL439,mn,160,,,never_above,False,0.26804825130768706,0.018169942366005443
SMALL439,mn,320,313.82356990019434,1.0196812180225021,crossed,False,0.7730461276073193,0.17706662084970282
SMALL439,mn,439,273.53920840278005,1.6048887563993488,crossed,True,0.9934954101134171,0.10066207317331977
