pop,family,cls,n,bar_abs,bar_rel,oos_pass_abs,oos_pass_rel,flips_abs_fail_rel_pass,flips_abs_pass_rel_fail,decisions_changed,med_level
NEAR,isCAGR->oCAGR,CAGR,149,2.8452291781633368e-05,8.005822148258237e-05,145,145,0,0,0,0.0883764443501735
NEAR,isSharpe->oSharpe,SHARPE,151,7.615368979752013e-05,6.567031915089156e-05,147,147,0,0,0,1.0545931437671057
NEAR,isMaxDD->oMaxDD,DD,151,1.3502014503674609e-05,0.00016419621477008282,151,151,0,0,0,0.1253780492123778
NEAR,IS_CAGR->OOS_CAGR,CAGR,244,1.5676681103537953e-05,5.9921768065600166e-05,241,241,0,0,0,0.0752995317817404
NEAR,IS_Sharpe->OOS_Sharpe,SHARPE,277,0.005482406335484136,0.007674400113881334,276,276,0,0,0,0.8591514674415004
NEAR,IS_MaxDD->OOS_MaxDD,DD,231,0.0,0.0,0,0,0,0,0,0.12461273397370226
DRIFT,isCAGR->oCAGR,CAGR,34,3.538655714008243e-05,9.189836278464554e-05,30,30,0,0,0,0.12180589732353715
DRIFT,isSharpe->oSharpe,SHARPE,34,8.457476206258363e-05,6.651160678237517e-05,30,30,0,0,0,1.1185489371831956
DRIFT,isMaxDD->oMaxDD,DD,34,1.3502014503674609e-05,0.00016554549236210466,34,34,0,0,0,0.1208168305492888
DRIFT,IS_CAGR->OOS_CAGR,CAGR,5,0.007997930190755996,1.2511589510814605,5,5,0,0,0,0.10729417007929015
DRIFT,IS_Sharpe->OOS_Sharpe,SHARPE,22,0.09308519046577701,0.793511604727736,22,22,0,0,0,0.8591514674415004
