panel,anchor,widest_ladder,widest_spread,H_fine_rank,H_1260_rank
U56,A,H_FINE7,0.4005158888858882,1,4
U56,B,H_FINE7,0.3946332469670073,1,4
B135,A,N,0.1870525037430406,2,3
B135,B,H_FINE7,0.46404468001412913,1,2
SMALL663,A,H_FINE7,0.568027479039825,1,2
SMALL663,B,H_FINE7,0.5015168530950894,1,2
