panel,m,seed,family,constr,cg,q,rung,mean_gross,cagr,sh,dd,h1,h2,is_cagr,is_sh,is_dd,oos_cagr,oos_sh,oos_dd,calmar,is_calmar,L_CAGR,L_DD,L_H1,L_H2,L_OOS,BOTH_LEVEL,keep4b,keep4a,base_sh,base_dd,base_h1,base_h2,base_cagr,base_oos_sh,base_oos_cagr,base_oos_dd,calmar_pred,is_calmar_pred
SMALL,110,2,MADIST,RESPREAD@0.375,0.375,0.2,10,0.375,0.1059144413389852,0.9301318212427171,-0.1961862188721868,0.7308864407449761,1.0940927789322201,0.03816236472157741,0.4540851957576318,-0.16138024972924125,0.14978318132143276,1.156540154577651,-0.19618621887218812,0.5398668772345693,0.2364748151375713,True,True,False,True,True,True,False,False,0.7245038587104209,-0.13153755942799916,0.9523231471340755,0.5567072766063754,0.05051073830489017,0.5830069120088905,0.04241588782062533,-0.13153755942799872,True,False
SMALL,220,4,MOM,RESPREAD@0.5,0.5,0.1,10,0.5,0.126068836762514,0.8347823627053574,-0.19500677478923245,0.7889662460562268,0.8931462391927544,0.10450036499904103,0.8329707257484122,-0.1522035307499554,0.13954917925515997,0.846145873023295,-0.19500677478923212,0.646484394702553,0.6865830541784042,True,True,False,True,False,True,False,False,0.6251903962756972,-0.1309120179469544,0.6897936645036664,0.5716838410361548,0.04277767056680282,0.5484360174474232,0.03787962574049919,-0.13091201794695628,True,False
SMALL,665,0,MOM,RESPREAD@0.375,0.375,0.05,10,0.375,0.10559855666340279,0.8930371796571375,-0.17301903672185048,1.0204369244210916,0.8528652258178151,0.0868296100126118,0.9469017344561823,-0.14317735446866608,0.11730822308370303,0.8892868734418019,-0.17301903672184982,0.6103291213738841,0.6064479284090571,True,True,True,True,True,True,True,False,0.6588197871048735,-0.14161687822607216,0.8052146057908041,0.5470727380881281,0.04258166594486168,0.5446624091592785,0.036280008883580184,-0.14161687822607283,True,False
SMALL,665,0,MADIST,RESPREAD@0.375,0.375,0.05,10,0.375,0.11860262057451298,0.9357548933524761,-0.19204662547984708,0.8829739748542441,1.0090174415720619,0.06606870611920246,0.7113562645643385,-0.17901068263603226,0.15220642495303238,1.050424900573852,-0.19204662547984586,0.6175720103291211,0.3690768905313575,True,True,False,True,True,True,False,False,0.6588197871048735,-0.14161687822607216,0.8052146057908041,0.5470727380881281,0.04258166594486168,0.5446624091592785,0.036280008883580184,-0.14161687822607283,True,False
