tol,definition,reproduced
EXACT,PAIR,5
EXACT,PAIRABS,5
EXACT,PAIRPP,1
EXACT,GRPMAX,1
EXACT,ALL,5
EXACT,NODATA,0
EXACT,UNREADABLE,0
1e-12,PAIR,108
1e-12,PAIRABS,85
1e-12,PAIRPP,6
1e-12,GRPMAX,1
1e-12,ALL,113
1e-12,NODATA,0
1e-12,UNREADABLE,0
1e-09,PAIR,108
1e-09,PAIRABS,85
1e-09,PAIRPP,6
1e-09,GRPMAX,1
1e-09,ALL,113
1e-09,NODATA,0
1e-09,UNREADABLE,0
1e-06,PAIR,108
1e-06,PAIRABS,85
1e-06,PAIRPP,6
1e-06,GRPMAX,1
1e-06,ALL,113
1e-06,NODATA,0
1e-06,UNREADABLE,0
1e-04,PAIR,110
1e-04,PAIRABS,87
1e-04,PAIRPP,6
1e-04,GRPMAX,1
1e-04,ALL,115
1e-04,NODATA,0
1e-04,UNREADABLE,0
1e-03,PAIR,111
1e-03,PAIRABS,88
1e-03,PAIRPP,6
1e-03,GRPMAX,1
1e-03,ALL,116
1e-03,NODATA,0
1e-03,UNREADABLE,0
