panel,book,dial,value,what,fail4a_lo,fail4a_10,fail4a_hi,fail4b_lo,fail4b_10,fail4b_hi,Sharpe_10,turn_yr
U56,TOPN,N,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,OOS,DD",1.0393084565119501,27.632896105904695
U56,TOPN,N,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H1,DD","H1,H2,OOS,DD",0.9531235440707443,23.481967557959194
U56,TOPN,N,8.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H1,DD","H1,H2,OOS,DD",0.9319824938699403,19.934947322307046
U56,TOPN,N,10.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H1,DD","H1,H2,OOS,DD",0.928114570364593,18.46590127993506
U56,TOPN,N,15.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0440510012490507,15.256949673145595
U56,TOPN,N,20.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.09224606590421,12.832255465220616
U56,TOPN,N,25.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0926941311487854,11.01391530412979
U56,TOPN,N,30.0,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.0982750404136725,9.292168755938942
U56,TOPN,G,0.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.09224606590421,12.832255465220616
U56,TOPN,G,0.01,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1029411107724296,12.58081360186907
U56,TOPN,G,0.02,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1072422481861668,12.295814575720168
U56,TOPN,G,0.03,4b_bar,"H1,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1171706596117728,12.00078658037604
U56,TOPN,V,0.2,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD","H2,CAGR","H1,H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.7501058379188867,14.100284411872149
U56,TOPN,V,0.3,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,,"H1,H2,OOS,CAGR",1.0242116246726798,14.299223875045872
U56,TOPN,V,0.4,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1186599396465144,13.294847392488405
U56,TOPN,V,0.5,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.1022671282854244,12.92393260337959
U56,TOPN,V,0.6,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.09224606590421,12.832255465220616
U56,TOPN,K,1.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.09224606590421,12.832255465220616
U56,V1C,N,3.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",H1,"H1,H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.6301542687944189,37.174074474507485
U56,V1C,N,5.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",H1,"H1,H2,OOS,CAGR","H1,H2,OOS,DD,CAGR",0.6635837017763401,31.454748454312277
U56,V1C,N,8.0,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,"H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.8127652926830466,24.872154740256104
U56,V1C,N,10.0,"4b,4b_bar","H1,H2,DD","H1,H2,DD","H1,H2,DD",,H2,"H1,H2,OOS,CAGR",0.9012467625391264,21.756811020877837
U56,V1C,N,15.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,"H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.9028944253117107,17.075524213544966
U56,V1C,N,20.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9967552113321679,14.151805773966812
U56,V1C,N,25.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,DD,CAGR",1.005555008454966,11.631072993788484
U56,V1C,N,30.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,DD",1.059500601977175,9.581913482549323
U56,V1C,G,0.0,4b_bar,"H1,H2,DD","H1,H2,DD","H1,H2,DD",DD,DD,"H1,H2,OOS,DD,CAGR",0.9967552113321679,14.151805773966812
