leg,form,n_err,med_err,med_abs,p90_abs,spearman,share_5bp,share_10bp,flips_10,flips_25,flips_50,flips_total,holdout_flips_10,holdout_flips_25,holdout_flips_50,holdout_flips_total
L_H1,F_RAW,53,746.8049524769285,746.8049524769285,992.5068694220087,0.9313118779866076,0.0,0.0,0,0,4,4,0,0,0,0
L_H1,F_UNIT,53,1.1646407511656847,1.1646407511656847,5.065261324589535,0.9994153443207369,0.8867924528301887,1.0,0,0,0,0,0,0,0,0
L_H1,F_K1,53,24.160771664210387,24.160771664210387,45.134184812212375,0.9313118779866076,0.09433962264150944,0.20754716981132076,0,0,3,3,0,0,1,1
L_H1,F_KLEG,53,-6.07450860933767,9.917383466485205,27.385563496382265,0.9313118779866076,0.2830188679245283,0.5094339622641509,0,0,3,3,0,0,2,2
L_H2,F_RAW,47,371.22085028950454,371.22085028950454,763.1567365943101,0.9666262577241368,0.02127659574468085,0.02127659574468085,0,8,18,26,0,7,14,21
L_H2,F_UNIT,47,0.8320676846223272,0.8320676846223272,2.0175533859494634,0.9994795197147608,1.0,1.0,0,0,0,0,0,0,0,0
L_H2,F_K1,47,1.3131716927230634,4.716117271455843,21.105658301064906,0.9666262577241368,0.5319148936170213,0.6808510638297872,0,3,1,4,0,2,1,3
L_H2,F_KLEG,47,-1.93775845278806,5.542740415593812,17.87694118530536,0.9666262577241368,0.44680851063829785,0.7446808510638298,1,5,2,8,1,3,2,6
L_OOS,F_RAW,51,365.8367240938571,365.8367240938571,850.0648517576313,0.979251052765445,0.0196078431372549,0.0196078431372549,2,4,19,25,2,3,15,20
L_OOS,F_UNIT,51,0.8003000176462791,0.8003000176462791,1.8187466893595285,0.9998868714290174,1.0,1.0,0,0,0,0,0,0,0,0
L_OOS,F_K1,51,2.4819041466386125,5.899191557058373,26.78700781622976,0.979251052765445,0.45098039215686275,0.6862745098039216,1,3,1,5,1,2,1,4
L_OOS,F_KLEG,51,-2.15476009127147,5.884841429362183,20.308478300380465,0.979251052765445,0.4117647058823529,0.7058823529411765,1,3,1,5,1,2,1,4
L_DD,F_RAW,10,-65.53633728438298,65.53633728438298,93.22504936949251,0.9848069807617046,0.0,0.1,4,7,7,18,1,1,1,3
L_DD,F_UNIT,10,13.601901811044499,35.70662086995286,160.23386152355454,0.9118583155200968,0.1,0.1,1,2,1,4,1,0,0,1
L_DD,F_K1,10,-71.89903788506716,71.89903788506716,112.71507390734791,0.9848069807617046,0.0,0.1,9,8,7,24,2,1,1,4
L_DD,F_KLEG,10,0.06657106040833272,18.146455455216902,78.77915916402307,0.9848069807617046,0.3,0.3,0,2,1,3,0,0,0,0
L_CAGR,F_RAW,48,15.01323185238816,15.01323185238816,28.749035061854652,0.9992129222971131,0.020833333333333332,0.20833333333333334,0,0,1,1,0,0,1,1
L_CAGR,F_UNIT,48,15.01323185238816,15.01323185238816,28.749035061854652,0.9992129222971131,0.020833333333333332,0.20833333333333334,0,0,1,1,0,0,1,1
L_CAGR,F_K1,48,-88.94851272703622,88.94851272703622,153.99184414178058,0.9992129222971131,0.0,0.0,4,28,51,83,1,13,26,40
L_CAGR,F_KLEG,48,0.1301213533898249,0.6441036830446549,2.3695142991771236,0.9992129222971131,1.0,1.0,0,0,0,0,0,0,0,0
O_S,F_RAW,51,365.8367240938571,365.8367240938571,850.0648517576313,0.979251052765445,0.0196078431372549,0.0196078431372549,2,4,19,25,2,3,15,20
O_S,F_UNIT,51,0.8003000176462791,0.8003000176462791,1.8187466893595285,0.9998868714290174,1.0,1.0,0,0,0,0,0,0,0,0
O_S,F_K1,51,2.4819041466386125,5.899191557058373,26.78700781622976,0.979251052765445,0.45098039215686275,0.6862745098039216,1,3,1,5,1,2,1,4
O_S,F_KLEG,51,-2.15476009127147,5.884841429362183,20.308478300380465,0.979251052765445,0.4117647058823529,0.7058823529411765,1,3,1,5,1,2,1,4
O_DD,F_RAW,10,-65.74696800561196,65.74696800561196,93.88753997040604,0.9848069807617046,0.0,0.1,4,7,7,18,1,1,1,3
O_DD,F_UNIT,10,12.01937073934041,34.70807407851139,152.38419956492643,0.9118583155200968,0.1,0.1,1,2,1,4,1,0,0,1
O_DD,F_K1,10,-71.92764304391501,71.92764304391501,112.82280680875515,0.9848069807617046,0.0,0.1,9,8,7,24,2,1,1,4
O_DD,F_KLEG,10,0.30468863586881323,19.319224667321954,79.70851712355702,0.9848069807617046,0.3,0.3,0,2,1,3,0,0,0,0
O_CAGR,F_RAW,48,15.80342812593193,15.80342812593193,27.40863471340056,0.999565713035935,0.0,0.25,0,0,3,3,0,0,3,3
O_CAGR,F_UNIT,48,15.80342812593193,15.80342812593193,27.40863471340056,0.999565713035935,0.0,0.25,0,0,3,3,0,0,3,3
O_CAGR,F_K1,48,-92.41964795587778,92.41964795587778,140.28092938073024,0.999565713035935,0.0,0.0,7,30,51,88,6,16,24,46
O_CAGR,F_KLEG,48,0.12527645816636834,0.44846559799895047,1.7157431280067785,0.999565713035935,1.0,1.0,0,0,0,0,0,0,0,0
