panel,source,kind,etf_share,seed,arm,n,r_target,bps,n_elig,r_real,k,CAGR,Vol,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turn,gross,sat_share,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,p4a,p4a_v1,f4b,p4b
MIX~s0.000~2,MIX,MIX,0.0,2,v2,,,10,27.0,,36,0.10702995567934703,0.08667490648428881,1.2167724805764213,-0.14120544644039834,1.4061241490352423,1.030056428814778,0.11516422563843087,1.2779096850787859,0.10036188141078561,1.1646109001162663,-0.14120544644039879,2.14930882191203,0.5371979203936587,,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
MIX~s0.250~1,MIX,MIX,0.25,1,FWD,26.0,1.0,10,26.0,1.0,36,0.12933162269946785,0.11391825273125189,1.1250130947689578,-0.20016441550626096,1.1511166439683556,1.104356500241108,0.11290714842108018,1.0187521378967408,0.14306826718869847,1.209173272921879,-0.20016441550626107,8.376479313833128,0.75,0.5570032573289903,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,-,True
MIX~s0.250~1,MIX,MIX,0.25,1,EWall,,,10,26.0,,36,0.1259224144562483,0.11196973815656809,1.1156038666189827,-0.19326169944378335,1.1425419916931037,1.0933641855125313,0.11207186476720521,1.020947655533676,0.13748236127174662,1.1913204418614878,-0.19326169944378313,8.253790277580798,0.75,,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,-,True
U56,U56,NAMED,,-1,FWD,31.0,0.75,10,41.0,0.7560975609756098,56,0.11625809794919628,0.10837930959603966,1.069326014668321,-0.17408923466781623,1.0473954286338478,1.093029954794351,0.09675443880055323,0.9468619251302695,0.13261437435780477,1.163621009527744,-0.174089234667816,9.113217579833634,0.7499999999999998,0.22149837133550487,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,-,True
U56,U56,NAMED,,-1,FWD,20.0,0.5,10,41.0,0.4878048780487805,56,0.12788458697149974,0.11996321819836779,1.0635392242670008,-0.18308348697878107,1.0681688586356108,1.0663899991214876,0.10803155993739111,0.9759401521429143,0.14453585654383216,1.1306969416161394,-0.1830834869787813,10.996244092602641,0.75,0.12269272529858849,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.8820107671822842,0.15450717694493266,-0.33717235283398284,False,False,-,True
MIX~s0.125~1,MIX,MIX,0.125,1,FWD,20.0,0.75,10,27.0,0.7407407407407407,36,0.13411171106570285,0.12802324655507571,1.0474052696812082,-0.17373275771166719,1.1022710937941131,0.99616613311991,0.12608617429289537,0.9919648923762443,0.14077781868419148,1.0929314220641078,-0.17373275771166696,9.48889302388868,0.75,0.21281216069489686,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
MIX~s0.125~1,MIX,MIX,0.125,1,FWD,27.0,1.0,10,27.0,1.0,36,0.1278466579909232,0.12256291255189465,1.043262525631998,-0.1746375862188122,1.0914163196176094,0.997607844088465,0.11738019634654018,0.9602597700942708,0.13655786787988355,1.1126321105230381,-0.1746375862188123,8.572820348476892,0.75,0.510314875135722,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
MIX~s0.125~5,MIX,MIX,0.125,5,EWall,,,10,27.0,,36,0.11691420016480714,0.11291744824462922,1.0359695837726823,-0.16092406813738425,1.0478840660858146,1.0249018875839615,0.109282155291486,0.9621065411847163,0.1232520514228197,1.0986445501125779,-0.16092406813738425,8.587948741653756,0.7494931290831268,,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
MIX~s0.125~1,MIX,MIX,0.125,1,EWall,,,10,27.0,,36,0.1251122965108049,0.12088699080654818,1.0359448408615577,-0.16787699148933455,1.0903674241733181,0.9841302887614133,0.11647549569891313,0.9620194804006199,0.1322900843459447,1.0982060091941108,-0.16787699148933433,8.432740732712995,0.75,,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
MIX~s0.125~5,MIX,MIX,0.125,5,FWD,27.0,1.0,10,27.0,1.0,36,0.11769547271688263,0.11377612887337386,1.035157197926647,-0.1604526920370155,1.0764688364184194,0.9961567273091384,0.11342929876172492,0.9897529685646304,0.1212284268967656,1.073481275944789,-0.16045269203701573,8.76330710039189,0.7494931290831268,0.5602605863192183,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,-,True
