claim_set,basis,n_gaps,sat_share,width_med,width_mean,width_max,n_resolving,width_med_resolving,share_wide_resolving
STRICT,SEQ,18,0.4444444444444444,0.03644999999999998,0.052309860856269125,0.15279816513761468,10,0.04784000000000005,0.0
STRICT,FIXED,18,0.16666666666666666,0.1279306829765544,0.13548844716275907,0.2777777777777777,15,0.1279306829765544,0.3333333333333333
STRICT,RAW,18,0.16666666666666666,0.3707313965341488,0.3061758976101483,0.4444444444444444,15,0.3766666666666667,0.9333333333333333
WIDE,SEQ,82,0.524390243902439,0.026860000000000106,0.04347084148601457,0.1725,39,0.06827522935779817,0.0
WIDE,FIXED,82,0.21951219512195122,0.11111111111111122,0.13253625286175913,0.3055555555555556,64,0.13722222222222225,0.40625
WIDE,RAW,82,0.21951219512195122,0.3333333333333333,0.27246151341960667,0.4444444444444444,64,0.34925925925925927,0.890625
NUMERIC,SEQ,18,0.4444444444444444,0.03644999999999998,0.052309860856269125,0.15279816513761468,10,0.04784000000000005,0.0
NUMERIC,FIXED,18,0.16666666666666666,0.1279306829765544,0.13548844716275907,0.2777777777777777,15,0.1279306829765544,0.3333333333333333
NUMERIC,RAW,18,0.16666666666666666,0.3707313965341488,0.3061758976101483,0.4444444444444444,15,0.3766666666666667,0.9333333333333333
