panel,base,series,q,inst,rate,mean_mult,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,twin_OOS_Sharpe,twin_OOS_MaxDD,parent_OOS_Sharpe,parent_OOS_MaxDD,beats_twin,p4a,p4b,fail4b,parent4b
B136,CAND20,BREADTH,0.17,QROLL504,0.2001906577693041,0.9039198017571525,0.149904775756597,0.9031478035780591,-0.20842713028008986,0.8853548812240479,-0.2391135063594988,0.8853548812240478,-0.2619845704926279,True,False,False,"H2,DD",False
B136,EWALL0.75,BREADTH,0.17,QROLL504,0.2001906577693041,0.9039198017571525,0.09728381774055528,1.1184020404415682,-0.1311263191745241,1.0185476662771331,-0.16076298328868366,1.0185476662771331,-0.17687931105226462,True,False,False,CAGR,True
SMALL439,CAND20,BREADTH,0.4,QROLL252,0.3909506863243518,0.8075749872902898,0.05823394459067499,0.3908351273023859,-0.3449106791086003,0.4669556342065388,-0.3594214416973668,0.4669556342065387,-0.4296201708455719,False,False,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWALL0.75,BREADTH,0.4,QROLL252,0.3909506863243518,0.8075749872902898,0.022979553726394153,0.26133184720027275,-0.27992764981453877,0.2930189759444772,-0.3349569042798677,0.29301897594447707,-0.39903330761274347,False,False,False,"H1,H2,OOS,DD,CAGR",False
U56,CAND20,RVOL,0.6,QEXP,0.27439024390243905,0.8614552827213336,0.16141422993408683,1.1641302535011053,-0.18780473157124777,1.131165669164972,-0.20940272876077126,1.1311656691649719,-0.23978875173316117,True,False,True,-,False
U56,EWALL0.75,RVOL,0.6,QEXP,0.27439024390243905,0.8614552827213336,0.09188068330978472,1.1866610309771466,-0.11893274777549379,1.1118864767300747,-0.13791111374872422,1.1118864767300745,-0.1587470388393195,True,False,False,CAGR,False
