panel,cadence,pair,skipna_max,strict_max,nanaware_max,nan_cells,nan_inside_warmup,nan_outside_warmup,post_warmup_max,post_warmup_nan
U56,D,FAST-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
U56,D,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
U56,W,FAST-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
U56,W,REPAIRED-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
U56,M,FAST-vs-ENGINE,3.469446951953614e-17,,3.469446951953614e-17,2,2,0,3.469446951953614e-17,0
U56,M,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
U56,Q,FAST-vs-ENGINE,4.85722573273506e-17,,4.85722573273506e-17,2,2,0,4.85722573273506e-17,0
U56,Q,REPAIRED-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
B136,D,FAST-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
B136,D,REPAIRED-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
B136,W,FAST-vs-ENGINE,3.469446951953614e-17,,3.469446951953614e-17,2,2,0,3.469446951953614e-17,0
B136,W,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
B136,M,FAST-vs-ENGINE,8.326672684688674e-17,,8.326672684688674e-17,2,2,0,8.326672684688674e-17,0
B136,M,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
B136,Q,FAST-vs-ENGINE,6.938893903907228e-17,,6.938893903907228e-17,2,2,0,6.938893903907228e-17,0
B136,Q,REPAIRED-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
SMALL,D,FAST-vs-ENGINE,2.7755575615628914e-17,,2.7755575615628914e-17,2,2,0,2.7755575615628914e-17,0
SMALL,D,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
SMALL,W,FAST-vs-ENGINE,4.163336342344337e-17,,4.163336342344337e-17,2,2,0,4.163336342344337e-17,0
SMALL,W,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
SMALL,M,FAST-vs-ENGINE,4.163336342344337e-17,,4.163336342344337e-17,2,2,0,4.163336342344337e-17,0
SMALL,M,REPAIRED-vs-ENGINE,2.0816681711721685e-17,,2.0816681711721685e-17,2,2,0,2.0816681711721685e-17,0
SMALL,Q,FAST-vs-ENGINE,5.551115123125783e-17,,5.551115123125783e-17,2,2,0,5.551115123125783e-17,0
SMALL,Q,REPAIRED-vs-ENGINE,1.3877787807814457e-17,,1.3877787807814457e-17,2,2,0,1.3877787807814457e-17,0
