panel,base,series,q,pick,pick_rate,pick_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4a,p4b,fail4b
B136,CAND20,BREADTH,0.07,QEXP,0.0,0.0,0.16455356689778688,0.8853548812240478,-0.2619845704926279,False,False,"H2,DD"
B136,CAND20,BREADTH,0.1,QEXP,0.009686866411353908,0.09686866411353907,0.16098881872550908,0.8734684935166811,-0.2619845704926279,False,False,"H2,OOS,DD"
B136,CAND20,BREADTH,0.12,QROLL1008,0.11348862405200433,0.9457385337667028,0.16640470929834406,0.9524796700167775,-0.20088005210995574,False,True,-
B136,CAND20,BREADTH,0.17,QROLL504,0.2001906577693041,1.1775921045253182,0.149904775756597,0.9031478035780591,-0.20842713028008986,False,False,"H2,DD"
B136,CAND20,BREADTH,0.2,QROLL504,0.22378455672068637,1.1189227836034317,0.14584605194737987,0.8907025986170176,-0.20113800545047544,False,False,H2
B136,CAND20,BREADTH,0.3,QROLL504,0.298141086749285,0.9938036224976168,0.13177001478421557,0.8468248176881493,-0.2101869750668378,False,False,"H2,OOS,DD"
B136,CAND20,BREADTH,0.4,QROLL504,0.39156339370829363,0.9789084842707341,0.1199050383669289,0.8121984853627218,-0.21546620982619036,False,False,"H2,OOS,DD"
B136,CAND20,DDSPD,0.6,QEXP,0.3776824034334764,0.944206008583691,0.12719504143325766,0.8828392628199174,-0.1915985941379632,False,False,H2
B136,CAND20,DDSPD,0.7,QROLL252,0.3074316693020104,1.0247722310067011,0.12638636622006572,0.8489151444303723,-0.2090615763184891,False,False,"H2,OOS,DD"
B136,CAND20,DDSPD,0.8,QROLL2016,0.19263987983477282,0.9631993991738643,0.12911105218230268,0.8230550709269336,-0.226409450453543,False,False,"H2,OOS,DD"
B136,CAND20,DDSPD,0.9,QEXP,0.06934718771176869,0.6934718771176871,0.14209057072537568,0.8327178333716102,-0.26751364702407066,False,False,"H2,OOS,DD"
B136,CAND20,DISP,0.6,QROLL2016,0.5431681681681682,1.3579204204204203,0.11477240250327525,0.8565220504712291,-0.23682220263596,False,False,"H2,OOS,DD"
B136,CAND20,DISP,0.7,QEXP,0.25564588979223124,0.8521529659741041,0.13631214586670914,0.8887464817005812,-0.19511195813802584,False,False,H2
B136,CAND20,DISP,0.8,QROLL2016,0.3119369369369369,1.559684684684685,0.14658893887415414,0.9251835494127127,-0.19511195813802584,False,False,H2
B136,CAND20,DISP,0.9,QEXP,0.062104787714543815,0.6210478771454383,0.15950752154877246,0.9075125512780319,-0.2714606462530117,False,False,"H2,DD"
B136,CAND20,RVOL,0.6,QEXP,0.24254742547425473,0.6063685636856367,0.13209956334903783,0.8435238963038116,-0.20531711624850668,False,False,"H2,OOS,DD"
B136,CAND20,RVOL,0.7,QEXP,0.18066847335140018,0.6022282445046672,0.13883499821395073,0.8487573096045371,-0.22778804710596634,False,False,"H2,OOS,DD"
B136,CAND20,RVOL,0.8,QEXP,0.09552845528455285,0.47764227642276436,0.13869618155814067,0.8248930513165453,-0.24025751552589836,False,False,"H2,OOS,DD"
B136,CAND20,RVOL,0.9,QROLL1008,0.08850762527233115,0.8850762527233117,0.14823945308537612,0.857014197248785,-0.24789848745158838,False,False,"H2,OOS,DD"
B136,EWALL0.75,BREADTH,0.07,QEXP,0.0,0.0,0.10583657394304091,1.0185476662771331,-0.17687931105226462,False,True,-
B136,EWALL0.75,BREADTH,0.1,QEXP,0.009686866411353908,0.09686866411353907,0.10304490156919499,1.0043930322480623,-0.17467262030427022,False,False,CAGR
B136,EWALL0.75,BREADTH,0.12,QROLL1008,0.11348862405200433,0.9457385337667028,0.10742294467283253,1.1610998421051557,-0.13112631917452444,False,True,-
B136,EWALL0.75,BREADTH,0.17,QROLL504,0.2001906577693041,1.1775921045253182,0.09728381774055528,1.1184020404415682,-0.1311263191745241,False,False,CAGR
B136,EWALL0.75,BREADTH,0.2,QROLL504,0.22378455672068637,1.1189227836034317,0.09715162407021727,1.131083327408833,-0.13112631917452355,False,False,CAGR
B136,EWALL0.75,BREADTH,0.3,QROLL504,0.298141086749285,0.9938036224976168,0.0870109923729594,1.0665645410885924,-0.1343452754851997,False,False,CAGR
