panel,window,cadence,n_choices,n_moves,move_rate,mean_abs_step,switch_turn_per_yr,switch_drag_bps_yr
U56,W504,R6M,26,20,0.8,0.062,0.2216243318906017,2.216243318906017
U56,W504,R1Y,13,12,1.0,0.10000000000000002,0.12659065890548837,1.2659065890548837
U56,W504,R2Y,7,6,1.0,0.15833333333333333,0.1029154154861851,1.029154154861851
U56,W756,R6M,26,22,0.88,0.054000000000000006,0.20405224810374745,2.0405224810374745
U56,W756,R1Y,13,10,0.8333333333333334,0.075,0.18119173197999916,1.8119173197999916
U56,W756,R2Y,7,6,1.0,0.11666666666666665,0.25908078930896683,2.5908078930896683
U56,W1260,R6M,26,18,0.72,0.033,-0.008320060534849016,-0.08320060534849016
U56,W1260,R1Y,13,11,0.9166666666666666,0.05833333333333335,0.07836396773891874,0.7836396773891874
U56,W1260,R2Y,7,6,1.0,0.09166666666666667,0.1088352599773117,1.088352599773117
U56,WEXP,R6M,26,9,0.36,0.014000000000000004,0.019391290218905954,0.19391290218905954
U56,WEXP,R1Y,13,5,0.4166666666666667,0.025000000000000005,0.011129598423012421,0.11129598423012421
U56,WEXP,R2Y,7,4,0.6666666666666666,0.041666666666666664,0.012582379442338532,0.12582379442338532
B136,W504,R6M,26,20,0.8,0.105,0.6034927680212396,6.034927680212396
B136,W504,R1Y,13,11,0.9166666666666666,0.16041666666666668,0.2992510177609611,2.992510177609611
B136,W504,R2Y,7,6,1.0,0.2791666666666667,0.27097586626168146,2.7097586626168146
B136,W756,R6M,26,23,0.92,0.08099999999999997,0.5420233735084112,5.420233735084112
B136,W756,R1Y,13,10,0.8333333333333334,0.08958333333333335,0.4281445604071057,4.281445604071057
B136,W756,R2Y,7,6,1.0,0.12916666666666668,0.36061464426543877,3.6061464426543877
B136,W1260,R6M,26,20,0.8,0.05099999999999999,0.1755640012503199,1.755640012503199
B136,W1260,R1Y,13,9,0.75,0.05208333333333332,0.07832804762343892,0.7832804762343892
B136,W1260,R2Y,7,6,1.0,0.10416666666666664,0.06970518299980633,0.6970518299980633
B136,WEXP,R6M,26,10,0.4,0.012999999999999994,0.006923469533175908,0.06923469533175908
B136,WEXP,R1Y,13,8,0.6666666666666666,0.02708333333333332,-0.002846184109503991,-0.028461841095039908
B136,WEXP,R2Y,7,4,0.6666666666666666,0.0375,-0.012047319348261532,-0.12047319348261532
