corpus,WORKS,sharpe_leg,dd_leg,p4b,p4a,med_dSharpe,med_dMaxDD,med_dCAGR
FULL,33,34,38,26,0,0.048827586783819044,0.03375225985341934,0.002118638315293797
EX2022,33,33,39,27,0,0.027185381184639867,0.040668681666874096,0.00023134910164557265
ONLY2022,26,26,30,14,0,0.030573270118720686,0.014591001782463198,0.0042488941906581035
EX2020,25,25,36,2,0,0.005485923706913032,0.026257947361763456,-0.00029702625162308927
EXBOTH,12,13,30,2,0,-0.010314117302759773,0.006280430245261315,-0.0037417147040460508
