window,nyears,has2011,agree,OOS_Sharpe,regret,p4b
2009-2012,4,True,0.75,1.0436148909126925,0.019715509595839446,0.3409090909090909
2010-2013,4,True,0.5,1.0229061087749938,0.04042429173353841,0.4090909090909091
2011-2014,4,True,0.5454545454545454,1.0223863810920824,0.04094401941644983,0.36363636363636365
2012-2015,4,False,0.4772727272727273,1.0182193363044723,0.045111064204059775,0.4090909090909091
2013-2016,4,False,0.6136363636363636,1.0344303630280114,0.028900037480520783,0.38636363636363635
2009-2013,5,True,0.6363636363636364,1.034174645023346,0.02915575548518616,0.5227272727272727
2010-2014,5,True,0.5454545454545454,1.0204903225113158,0.04284007799721639,0.38636363636363635
2011-2015,5,True,0.6363636363636364,1.0358334609960982,0.027496939512434128,0.45454545454545453
2012-2016,5,False,0.6136363636363636,1.0273481096992187,0.03598229080931325,0.3409090909090909
2009-2014,6,True,0.6590909090909091,1.0291973166511694,0.03413308385736287,0.4090909090909091
2010-2015,6,True,0.6136363636363636,1.0392651517639646,0.02406524874456746,0.4318181818181818
2011-2016,6,True,0.75,1.0435906525100755,0.01973974799845663,0.36363636363636365
2009-2015,7,True,0.7954545454545454,1.0414958083406824,0.021834592167849744,0.45454545454545453
2010-2016,7,True,0.75,1.046414022706274,0.01691637780225816,0.38636363636363635
2009-2016,8,True,1.0,1.0483260004254846,0.01500440008304763,0.45454545454545453
