egrid,bar,cost,panel,set,n_books,n_L4_const,frac_L4_const,n_L4_ever,n_L4_always,mean_slack,slack_range
END_Q,REC_FULL,0.0,U56,SHELF,7,7,1.0,7,7,0.06940300587572054,0.05591263739785633
END_Q,REC_FULL,0.0,U56,GRID,18,14,0.7777777777777778,18,14,0.08900344562056525,0.05951419900540347
END_Q,REC_FULL,0.0,U56,ALL,25,21,0.84,25,21,0.08351532249200871,0.05850576175529028
END_Q,REC_FULL,0.0,B136,SHELF,2,2,1.0,2,2,0.05584089616535218,0.04853345597431419
END_Q,REC_FULL,0.0,B136,GRID,18,16,0.8888888888888888,18,16,0.08182967461344709,0.06263680840768825
END_Q,REC_FULL,0.0,B136,ALL,20,18,0.9,20,18,0.0792307967686376,0.061226473164350835
END_Q,REC_FULL,0.0,BOTH,SHELF,9,9,1.0,9,9,0.0663892037178609,0.054272819303735856
END_Q,REC_FULL,0.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.08541656011700617,0.061075503706545846
END_Q,REC_FULL,0.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.08161108883717712,0.05971496682598386
END_Q,REC_FULL,10.0,U56,SHELF,7,7,1.0,7,7,0.0673377876633483,0.055541699703828225
END_Q,REC_FULL,10.0,U56,GRID,18,14,0.7777777777777778,18,14,0.08584793183800599,0.05902541674949292
END_Q,REC_FULL,10.0,U56,ALL,25,21,0.84,25,21,0.08066509146910184,0.05804997597670681
END_Q,REC_FULL,10.0,B136,SHELF,2,2,1.0,2,2,0.05111223329620047,0.04848617242184672
END_Q,REC_FULL,10.0,B136,GRID,18,16,0.8888888888888888,18,16,0.0777889087594818,0.0619412100720792
END_Q,REC_FULL,10.0,B136,ALL,20,18,0.9,20,18,0.07512124121315367,0.06059570630705595
END_Q,REC_FULL,10.0,BOTH,SHELF,9,9,1.0,9,9,0.06373210891509323,0.05397380475227678
END_Q,REC_FULL,10.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.08181842029874391,0.06048331341078607
END_Q,REC_FULL,10.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.07820115802201377,0.059181411679084195
END_Q,REC_FULL,25.0,U56,SHELF,7,7,1.0,7,7,0.06406682290946115,0.05475412297488404
END_Q,REC_FULL,25.0,U56,GRID,18,14,0.7777777777777778,18,14,0.08038093519532659,0.057793892958678574
END_Q,REC_FULL,25.0,U56,ALL,25,21,0.84,25,21,0.07581298375528428,0.05694275736321611
END_Q,REC_FULL,25.0,B136,SHELF,2,2,1.0,2,2,0.043598046974281934,0.048573190903539454
END_Q,REC_FULL,25.0,B136,GRID,18,16,0.8888888888888888,18,16,0.0710426284576234,0.061603833011273416
END_Q,REC_FULL,25.0,B136,ALL,20,18,0.9,20,18,0.06829817030928925,0.06030076880050002
END_Q,REC_FULL,25.0,BOTH,SHELF,9,9,1.0,9,9,0.05951820603497688,0.053380582514585245
END_Q,REC_FULL,25.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.075711781826475,0.059698862984976
END_Q,REC_FULL,25.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.07247306666817538,0.058435206890897845
END_Q,WIN,0.0,U56,SHELF,7,1,0.14285714285714285,7,1,0.020245982687709645,0.040412939893623274
END_Q,WIN,0.0,U56,GRID,18,9,0.5,18,9,0.03984642243255435,0.05173850646863988
END_Q,WIN,0.0,U56,ALL,25,10,0.4,25,10,0.034358299303997836,0.04856734782763523
END_Q,WIN,0.0,B136,SHELF,2,0,0.0,2,0,0.0066903797458758,0.0427015550078698
END_Q,WIN,0.0,B136,GRID,18,10,0.5555555555555556,18,10,0.03267915819397072,0.047251809101319445
END_Q,WIN,0.0,B136,ALL,20,10,0.5,20,10,0.030080280349161232,0.04679678369197448
END_Q,WIN,0.0,BOTH,SHELF,9,1,0.1111111111111111,9,1,0.017233626478413238,0.040921521030122504
END_Q,WIN,0.0,BOTH,GRID,36,19,0.5277777777777778,36,19,0.036262790313262544,0.049495157784979656
END_Q,WIN,0.0,BOTH,ALL,45,20,0.4444444444444444,45,20,0.03245695754629267,0.04778043043400823
END_Q,WIN,10.0,U56,SHELF,7,1,0.14285714285714285,7,1,0.018180764475337414,0.04116056387766781
END_Q,WIN,10.0,U56,GRID,18,9,0.5,18,9,0.03669090864999511,0.05175300547787629
END_Q,WIN,10.0,U56,ALL,25,10,0.4,25,10,0.03150806828109095,0.048787121829817925
END_Q,WIN,10.0,B136,SHELF,2,0,0.0,2,0,0.001961716876724093,0.04235933977836446
END_Q,WIN,10.0,B136,GRID,18,9,0.5,18,9,0.028638392340005425,0.048118958395585415
END_Q,WIN,10.0,B136,ALL,20,9,0.45,20,9,0.02597072479367729,0.04754299653386332
END_Q,WIN,10.0,BOTH,SHELF,9,1,0.1111111111111111,9,1,0.014576531675645564,0.04142695852226706
END_Q,WIN,10.0,BOTH,GRID,36,18,0.5,36,18,0.03266465049500026,0.049935981936730864
END_Q,WIN,10.0,BOTH,ALL,45,19,0.4222222222222222,45,19,0.02904702673112932,0.0482341772538381
END_Q,WIN,25.0,U56,SHELF,7,1,0.14285714285714285,7,1,0.014909799721450259,0.042524552861224404
END_Q,WIN,25.0,U56,GRID,18,6,0.3333333333333333,18,6,0.031223912007315717,0.053285804460663694
END_Q,WIN,25.0,U56,ALL,25,7,0.28,25,7,0.026655960567273384,0.05027265401282069
END_Q,WIN,25.0,B136,SHELF,2,0,0.0,2,0,-0.005552469445194446,0.041192036582577474
END_Q,WIN,25.0,B136,GRID,18,10,0.5555555555555556,17,9,0.021892112038147022,0.048287301558170834
END_Q,WIN,25.0,B136,ALL,20,10,0.5,19,9,0.019147653889812877,0.04757777506061149
END_Q,WIN,25.0,BOTH,SHELF,9,1,0.1111111111111111,9,1,0.010362628795529214,0.042228438132636194
END_Q,WIN,25.0,BOTH,GRID,36,16,0.4444444444444444,35,15,0.02655801202273137,0.05078655300941727
END_Q,WIN,25.0,BOTH,ALL,45,17,0.37777777777777777,44,16,0.023318935377290937,0.04907493003406105
END_Y,REC_FULL,0.0,U56,SHELF,7,7,1.0,7,7,0.06964638409443726,0.05591263739785606
END_Y,REC_FULL,0.0,U56,GRID,18,14,0.7777777777777778,18,14,0.0893859641936259,0.05951419900540319
END_Y,REC_FULL,0.0,U56,ALL,25,21,0.84,25,21,0.0838588817658531,0.058505761755289994
END_Y,REC_FULL,0.0,B136,SHELF,2,2,1.0,2,2,0.05612037303222156,0.0485334559743138
END_Y,REC_FULL,0.0,B136,GRID,18,16,0.8888888888888888,18,16,0.08254217138398327,0.06263680840768776
END_Y,REC_FULL,0.0,B136,ALL,20,18,0.9,20,18,0.07989999154880709,0.06122647316435037
END_Y,REC_FULL,0.0,BOTH,SHELF,9,9,1.0,9,9,0.06664060385838932,0.05427281930373556
END_Y,REC_FULL,0.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.08596406778880458,0.06107550370654548
END_Y,REC_FULL,0.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.08209937500272153,0.0597149668259835
END_Y,REC_FULL,10.0,U56,SHELF,7,7,1.0,7,7,0.06766435172546112,0.055541699703827815
END_Y,REC_FULL,10.0,U56,GRID,18,14,0.7777777777777778,18,14,0.08632934194420283,0.05902541674949254
END_Y,REC_FULL,10.0,U56,ALL,25,21,0.84,25,21,0.08110314468295515,0.058049975976706414
END_Y,REC_FULL,10.0,B136,SHELF,2,2,1.0,2,2,0.05199760963681402,0.04848617242184644
END_Y,REC_FULL,10.0,B136,GRID,18,16,0.8888888888888888,18,16,0.07863410801818459,0.061941210072078895
END_Y,REC_FULL,10.0,B136,ALL,20,18,0.9,20,18,0.07597045818004752,0.06059570630705565
END_Y,REC_FULL,10.0,BOTH,SHELF,9,9,1.0,9,9,0.06418285348353954,0.053973804752276394
END_Y,REC_FULL,10.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.08248172498119372,0.06048331341078571
END_Y,REC_FULL,10.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.07882195068166288,0.059181411679083855
END_Y,REC_FULL,25.0,U56,SHELF,7,7,1.0,7,7,0.06452501236607124,0.05475412297488359
END_Y,REC_FULL,25.0,U56,GRID,18,14,0.7777777777777778,18,14,0.08107705095091494,0.05779389295867813
END_Y,REC_FULL,25.0,U56,ALL,25,21,0.84,25,21,0.0764424801471587,0.056942757363215656
END_Y,REC_FULL,25.0,B136,SHELF,2,2,1.0,2,2,0.04482934751160948,0.04857319090353934
END_Y,REC_FULL,25.0,B136,GRID,18,16,0.8888888888888888,18,16,0.07203398582274015,0.06160383301127285
END_Y,REC_FULL,25.0,B136,ALL,20,18,0.9,20,18,0.06931352199162708,0.060300768800499505
END_Y,REC_FULL,25.0,BOTH,SHELF,9,9,1.0,9,9,0.06014819795396863,0.05338058251458487
END_Y,REC_FULL,25.0,BOTH,GRID,36,30,0.8333333333333334,36,30,0.07655551838682755,0.05969886298497548
END_Y,REC_FULL,25.0,BOTH,ALL,45,39,0.8666666666666667,45,39,0.07327405430025576,0.05843520689089738
END_Y,WIN,0.0,U56,SHELF,7,2,0.2857142857142857,7,2,0.019540780026276638,0.03891894446146823
END_Y,WIN,0.0,U56,GRID,18,9,0.5,18,9,0.03928036012546525,0.049211025713178494
END_Y,WIN,0.0,U56,ALL,25,11,0.44,25,11,0.03375327769769244,0.046329242962699614
END_Y,WIN,0.0,B136,SHELF,2,0,0.0,2,0,0.006021161521167089,0.04270155500786946
END_Y,WIN,0.0,B136,GRID,18,10,0.5555555555555556,18,10,0.0324429598729288,0.047251809101318896
END_Y,WIN,0.0,B136,ALL,20,10,0.5,20,10,0.029800780037752626,0.046796783691973945
END_Y,WIN,0.0,BOTH,SHELF,9,2,0.2222222222222222,9,2,0.016536420358474514,0.039759524582890726
END_Y,WIN,0.0,BOTH,GRID,36,19,0.5277777777777778,36,19,0.03586165999919702,0.0482314174072487
END_Y,WIN,0.0,BOTH,ALL,45,21,0.4666666666666667,45,21,0.03199661207105252,0.0465370388423771
END_Y,WIN,10.0,U56,SHELF,7,1,0.14285714285714285,7,1,0.01755874765730051,0.03955713691224747
END_Y,WIN,10.0,U56,GRID,18,9,0.5,18,9,0.03622373787604218,0.04845113987791166
END_Y,WIN,10.0,U56,ALL,25,10,0.4,25,10,0.03099754061479451,0.04596081904752568
END_Y,WIN,10.0,B136,SHELF,2,0,0.0,2,0,0.0018983981257595477,0.042359339778364064
END_Y,WIN,10.0,B136,GRID,18,9,0.5,18,9,0.028534896507130123,0.04811895839558469
END_Y,WIN,10.0,B136,ALL,20,9,0.45,20,9,0.025871246668993063,0.047542996533862625
END_Y,WIN,10.0,BOTH,SHELF,9,1,0.1111111111111111,9,1,0.014078669983624737,0.040179848660273375
END_Y,WIN,10.0,BOTH,GRID,36,18,0.5,36,18,0.032379317191586154,0.04828504913674817
END_Y,WIN,10.0,BOTH,ALL,45,19,0.4222222222222222,45,19,0.028719187749993866,0.04666400904145321
END_Y,WIN,25.0,U56,SHELF,7,1,0.14285714285714285,7,1,0.014419408297910606,0.04180053024589198
END_Y,WIN,25.0,U56,GRID,18,9,0.5,18,9,0.03097144688275429,0.04815771101317821
END_Y,WIN,25.0,U56,ALL,25,10,0.4,25,10,0.026336876078998053,0.04637770039833807
END_Y,WIN,25.0,B136,SHELF,2,0,0.0,2,0,-0.005269863999444988,0.04119203658257674
END_Y,WIN,25.0,B136,GRID,18,10,0.5555555555555556,17,9,0.021934774311685667,0.04828730155816993
END_Y,WIN,25.0,B136,ALL,20,10,0.5,19,9,0.0192143104805726,0.0475777750606106
END_Y,WIN,25.0,BOTH,SHELF,9,1,0.1111111111111111,9,1,0.010044014454053807,0.04166530943182192
END_Y,WIN,25.0,BOTH,GRID,36,19,0.5277777777777778,35,18,0.02645311059721998,0.04822250628567408
END_Y,WIN,25.0,BOTH,ALL,45,20,0.4444444444444444,44,19,0.02317129136858674,0.04691106691490363
