panel,N,block,ladder,stat,n_rungs,obs_argmax,modal_rung,modal_share,p_obs_argmax,cset_size,cset_lo,cset_hi,cset_span_days,obs_spread,obs_gap_top2,se_gap,se_gap_unpaired,pairing_gain,gap_over_se,resolved
U56,5,1,L3,Sharpe,3,63,63,0.4475,0.4475,3,21,126,105,0.0952363512996438,0.023841647697942614,0.15761775689599522,0.3415684529399448,2.167068353633089,0.15126244762939134,False
U56,5,1,L3,CAGR,3,63,63,0.524,0.524,3,21,126,105,0.024511333456048723,0.011837539015227216,0.03507338990612817,0.07526520845407049,2.1459348142712558,0.3375076959173231,False
U56,5,1,L5,Sharpe,5,42,42,0.368,0.368,4,42,126,84,0.12937070886624025,0.03413435756659644,0.12193991653075585,0.3427848410244925,2.8110962413036824,0.279927676988257,False
U56,5,1,L5,CAGR,5,42,42,0.393,0.393,4,42,126,84,0.033884925959353884,0.009373592503305161,0.027840563419264042,0.0779149160059593,2.7986113223573175,0.33668831920330977,False
U56,5,1,L7,Sharpe,7,42,42,0.2435,0.2435,6,42,126,84,0.12937070886624025,0.021014176777949922,0.12187656372201992,0.3402324421661151,2.7916149895900286,0.1724218023235357,False
U56,5,1,L7,CAGR,7,42,42,0.2555,0.2555,6,42,126,84,0.033884925959353884,0.0032683929832915126,0.02807542745107753,0.07833185189736788,2.790050197236143,0.11641471849313098,False
U56,5,1,L10,Sharpe,10,57,57,0.5525,0.5525,5,32,126,94,0.2786114072333611,0.06033063754892498,0.12187299227703911,0.34335941483621885,2.817354431207379,0.49502877070403467,False
U56,5,1,L10,CAGR,10,57,57,0.475,0.475,3,32,105,73,0.07099966019277115,0.0026145194585582843,0.03001196516532793,0.08386982437664628,2.7945462389626847,0.08711590341237543,False
U56,5,1,L16,Sharpe,16,57,57,0.38,0.38,8,26,126,100,0.2786114072333611,0.06033063754892498,0.12187299227703911,0.34335941483621885,2.817354431207379,0.49502877070403467,False
U56,5,1,L16,CAGR,16,57,57,0.3755,0.3755,7,32,115,83,0.07099966019277115,0.0026145194585582843,0.03001196516532793,0.08386982437664628,2.7945462389626847,0.08711590341237543,False
U56,5,5,L3,Sharpe,3,63,63,0.486,0.486,3,21,126,105,0.0952363512996438,0.023841647697942614,0.15254649561243572,0.3249546520890608,2.130200702313415,0.15629102197480454,False
U56,5,5,L3,CAGR,3,63,63,0.56,0.56,3,21,126,105,0.024511333456048723,0.011837539015227216,0.03350270357875544,0.07022432932080348,2.0960794747721128,0.3533308584305887,False
U56,5,5,L5,Sharpe,5,42,42,0.3885,0.3885,4,42,126,84,0.12937070886624025,0.03413435756659644,0.1202338844598438,0.31863489514897847,2.650125599621606,0.2838996487549795,False
U56,5,5,L5,CAGR,5,42,42,0.416,0.416,4,42,126,84,0.033884925959353884,0.009373592503305161,0.027837300607720664,0.07108306432351735,2.5535185801673057,0.3367277824598194,False
U56,5,5,L7,Sharpe,7,42,42,0.284,0.284,5,42,126,84,0.12937070886624025,0.021014176777949922,0.11655785389435405,0.32148309332390085,2.758141837574389,0.18028966797035226,False
U56,5,5,L7,CAGR,7,42,42,0.288,0.288,5,42,126,84,0.033884925959353884,0.0032683929832915126,0.02708501083463153,0.07282950089783775,2.6889227160550457,0.12067165131469945,False
U56,5,5,L10,Sharpe,10,57,57,0.548,0.548,5,32,126,94,0.2786114072333611,0.06033063754892498,0.1211743571085693,0.32355957678065844,2.6701984190496417,0.4978828771079857,False
U56,5,5,L10,CAGR,10,57,57,0.4585,0.4585,3,32,105,73,0.07099966019277115,0.0026145194585582843,0.030543150018586606,0.0776463061499176,2.5421839627761718,0.08560084526210476,False
U56,5,5,L16,Sharpe,16,57,57,0.3815,0.3815,8,32,126,94,0.2786114072333611,0.06033063754892498,0.1211743571085693,0.32355957678065844,2.6701984190496417,0.4978828771079857,False
U56,5,5,L16,CAGR,16,57,57,0.359,0.359,7,32,115,83,0.07099966019277115,0.0026145194585582843,0.030543150018586606,0.0776463061499176,2.5421839627761718,0.08560084526210476,False
U56,5,21,L3,Sharpe,3,63,63,0.477,0.477,3,21,126,105,0.0952363512996438,0.023841647697942614,0.1464643877322841,0.30818267446076547,2.104147494366202,0.1627811925279866,False
U56,5,21,L3,CAGR,3,63,63,0.548,0.548,3,21,126,105,0.024511333456048723,0.011837539015227216,0.032003788438081986,0.06416848665132933,2.00502783523509,0.3698793046994861,False
U56,5,21,L5,Sharpe,5,42,42,0.388,0.388,4,42,126,84,0.12937070886624025,0.03413435756659644,0.11918707974069699,0.31049950952874644,2.605144032425898,0.2863931026824303,False
U56,5,21,L5,CAGR,5,42,42,0.421,0.421,4,42,126,84,0.033884925959353884,0.009373592503305161,0.02785285845409524,0.06645339317238713,2.3858733667106407,0.3365396955129017,False
U56,5,21,L7,Sharpe,7,42,42,0.2755,0.2755,5,42,126,84,0.12937070886624025,0.021014176777949922,0.11739853573474145,0.3121927393074666,2.6592558191088256,0.17899862759302926,False
U56,5,21,L7,CAGR,7,42,42,0.2865,0.2865,5,42,126,84,0.033884925959353884,0.0032683929832915126,0.026971884171062423,0.06819708440636199,2.5284508851454004,0.1211777776651623,False
U56,5,21,L10,Sharpe,10,57,57,0.5755,0.5755,5,32,126,94,0.2786114072333611,0.06033063754892498,0.11558174802269816,0.3113699889626939,2.6939373585312665,0.5219737422302796,False
U56,5,21,L10,CAGR,10,57,57,0.4655,0.4655,3,32,105,73,0.07099966019277115,0.0026145194585582843,0.02890343228639388,0.07096689032121858,2.4553101381881843,0.09045705827086335,False
U56,5,21,L16,Sharpe,16,57,57,0.384,0.384,8,26,126,100,0.2786114072333611,0.06033063754892498,0.11558174802269816,0.3113699889626939,2.6939373585312665,0.5219737422302796,False
U56,5,21,L16,CAGR,16,57,57,0.3665,0.3665,7,32,115,83,0.07099966019277115,0.0026145194585582843,0.02890343228639388,0.07096689032121858,2.4553101381881843,0.09045705827086335,False
U56,5,63,L3,Sharpe,3,63,63,0.47,0.47,3,21,126,105,0.0952363512996438,0.023841647697942614,0.15824207636105644,0.29283977299668384,1.8505809562844693,0.15066566520236885,False
U56,5,63,L3,CAGR,3,63,63,0.5375,0.5375,3,21,126,105,0.024511333456048723,0.011837539015227216,0.03521876366814124,0.05981215434961387,1.698303634767274,0.3361145532185563,False
U56,5,63,L5,Sharpe,5,42,42,0.3725,0.3725,4,42,126,84,0.12937070886624025,0.03413435756659644,0.12121465589452667,0.2847654480603445,2.349265820695225,0.2816025612966967,False
U56,5,63,L5,CAGR,5,42,42,0.4085,0.4085,4,42,126,84,0.033884925959353884,0.009373592503305161,0.029490607548590553,0.06074104703778958,2.0596743196188436,0.31785009813245285,False
U56,5,63,L7,Sharpe,7,42,42,0.2765,0.2765,5,42,126,84,0.12937070886624025,0.021014176777949922,0.1064094210903263,0.27698620945332636,2.6030233659311506,0.19748417539187538,False
U56,5,63,L7,CAGR,7,42,42,0.2745,0.2745,5,42,126,84,0.033884925959353884,0.0032683929832915126,0.024744036735434297,0.061029364226716606,2.4664271589655575,0.13208810745948593,False
U56,5,63,L10,Sharpe,10,57,57,0.555,0.555,4,32,126,94,0.2786114072333611,0.06033063754892498,0.12015473611926278,0.2933054075856982,2.4410640567224093,0.5021078610587785,False
U56,5,63,L10,CAGR,10,57,57,0.4535,0.4535,3,32,105,73,0.07099966019277115,0.0026145194585582843,0.02955640873540503,0.06607301341453554,2.2354885536343256,0.08845863115387234,False
U56,5,63,L16,Sharpe,16,57,57,0.385,0.385,7,37,126,89,0.2786114072333611,0.06033063754892498,0.12015473611926278,0.2933054075856982,2.4410640567224093,0.5021078610587785,False
U56,5,63,L16,CAGR,16,57,105,0.369,0.3515,6,37,115,78,0.07099966019277115,0.0026145194585582843,0.02955640873540503,0.06607301341453554,2.2354885536343256,0.08845863115387234,False
