selector,n_differ,dOOS_Sharpe_all,dOOS_Sharpe_differ,dOOS_CAGR_all,dOOS_MaxDD_all,better,worse,d4b,d4b_oos
S_crisis050,18,-0.08787850439474637,-0.21481412185382445,-0.019168909184349058,0.017636164823986306,3,15,-5,-6
S_crisis100,23,-0.08808375554068756,-0.1685080540778371,-0.021604698984620283,0.021502698794913608,5,18,-6,-6
S_crisis200,26,-0.08810661307208345,-0.1491034990450643,-0.023187982272065363,0.024486799945293878,6,20,-6,-6
S_anti100,30,-0.025480296120861588,-0.03737110097726367,0.007632210090722528,-0.01786870052296334,9,21,-10,-10
S_null,32,-0.05505789085308607,-0.07570459992299335,-0.009733132557197467,0.0049789394550990825,2,30,-1,-3
S_oracle,28,0.01500440008304763,0.023578342987646276,-0.003621904634469895,0.009559782269484306,28,0,-5,-1
