book,mean_IS,mean_OOS,size_IS,size_OOS
MA-DG g1.00,0.28125,0.5375,96,80
TOP20 g0.50,0.10416666666666667,0.175,96,80
LOWVOL20 g1.00,0.09375,0.0875,96,80
EWALL-DG g1.00,0.052083333333333336,0.35,96,80
MA-DG g0.75,0.052083333333333336,0.35,96,80
EW g0.50,0.010416666666666666,0.1375,96,80
MA-RS g1.00,0.010416666666666666,0.0,96,80
EW g0.75,0.010416666666666666,0.0,96,80
EW g1.00,0.0,0.0,96,80
EWALL-DG g0.75,0.0,0.225,96,80
EWALL-DG g0.50,0.0,0.0125,96,80
EWALL-RS g0.75,0.0,0.2625,96,80
EWALL-RS g0.50,0.0,0.0625,96,80
MA-DG g0.50,0.0,0.05,96,80
LOWVOL20 g0.75,0.0,0.0125,96,80
LOWVOL20 g0.50,0.0,0.0,96,80
EWALL-RS g1.00,0.0,0.0,96,80
MA-RS g0.75,0.0,0.7,96,80
MA-RS g0.50,0.0,0.3875,96,80
TOP20 g0.75,0.0,0.3375,96,80
TOP20 g1.00,0.0,0.0,96,80
