PICK_SET,ARM,picks,DELTA,SE,t
P_1214,A_IS,42,0.18107087947654843,0.05465501030868991,3.3129785989219536
P_1214,A_ISFOLD,42,0.07098201272831706,0.04318514645606689,1.6436672919594812
P_AXIS,A_IS,168,0.13369468685797817,0.05540084556976971,2.4132246626020932
P_AXIS,A_ISFOLD,168,0.02360582010974681,0.04475307601687478,0.527468102993544
P_TEXT,A_IS,620,0.0028369807649819756,0.046982797376527885,0.060383393995166866
P_TEXT,A_ISFOLD,620,-0.07054825733581306,0.061658452588916675,-1.1441782006137202
