h,stat,cells,R2_LOO_on_share_residual,rho_resid,t_resid
0.05,ENT,560,0.026652319571230487,-0.030095679837348885,-0.04072797360437163
0.05,ENTn,560,0.005328170376352914,0.03566060655716501,-0.04072797360437163
0.05,ENT_MM,560,-0.016101455164203138,-0.04379024320855721,-0.04072797360437163
0.05,DIST,560,0.01507611071797732,-0.015320173707275305,-0.04072797360437163
0.05,DISTn,560,0.03242428296048283,0.13098219176074563,-0.04072797360437163
0.05,SHARE|on ENT resid,560,-0.005382093319688641,0.05803342932448214,0.07890831290402872
0.075,ENT,560,0.0013592195828058262,-0.03942470380169247,0.3225210378603223
0.075,ENTn,560,0.015369334638876353,0.025271697508238797,0.3225210378603223
0.075,ENT_MM,560,9.385976065334756e-05,-0.05286805909888305,0.3225210378603223
0.075,DIST,560,0.017585735546743697,-0.024571777222112075,0.3225210378603223
0.075,DISTn,560,0.024303655771311994,0.12590904852858514,0.3225210378603223
0.075,SHARE|on ENT resid,560,-0.0009777488252740163,0.06801592969553379,0.07324316050876069
0.1,ENT,560,-0.009956253197605403,-0.05182435221638008,0.28144713962372025
0.1,ENTn,560,0.017547051875265174,0.01253791668255187,0.28144713962372025
0.1,ENT_MM,560,-0.0042416618322767,-0.06616501568575742,0.28144713962372025
0.1,DIST,560,-0.0015234139861739493,-0.032572459020628115,0.28144713962372025
0.1,DISTn,560,0.009590498446375384,0.12216257233785358,0.28144713962372025
0.1,SHARE|on ENT resid,560,0.02069564440733529,0.05473163878021088,0.13891865026334083
