sample,bar,n_gates,n_scripts,gate_survival,claim_survival
12,native,48,11,0.8333333333333334,0.6363636363636364
12,1e-12,48,11,0.75,0.36363636363636365
12,1e-09,48,11,0.75,0.36363636363636365
12,1e-06,48,11,0.75,0.36363636363636365
12,0.0001,48,11,0.7916666666666666,0.36363636363636365
12,0.001,48,11,0.8958333333333334,0.6363636363636364
12,0.01,48,11,0.9583333333333334,0.8181818181818182
24,native,76,21,0.8421052631578947,0.7142857142857143
24,1e-12,76,21,0.75,0.5714285714285714
24,1e-09,76,21,0.75,0.5714285714285714
24,1e-06,76,21,0.75,0.5714285714285714
24,0.0001,76,21,0.7894736842105263,0.5714285714285714
24,0.001,76,21,0.881578947368421,0.7619047619047619
24,0.01,76,21,0.9736842105263158,0.9047619047619048
48,native,156,41,0.8717948717948718,0.6585365853658537
48,1e-12,156,41,0.8205128205128205,0.5853658536585366
48,1e-09,156,41,0.8269230769230769,0.5853658536585366
48,1e-06,156,41,0.8269230769230769,0.5853658536585366
48,0.0001,156,41,0.8461538461538461,0.5853658536585366
48,0.001,156,41,0.9038461538461539,0.7317073170731707
48,0.01,156,41,0.9807692307692307,0.926829268292683
