panel,D,armed_on,trough_on,disarmed_on,trigger_dd,in_IS
U56,0.15,2009-02-27,2009-03-09,2009-03-26,-0.15402149545759025,True
U56,0.15,2010-07-01,2010-07-02,2010-09-24,-0.15237808318224377,True
U56,0.15,2011-08-08,2011-10-03,2011-10-27,-0.1730812388867895,True
U56,0.15,2018-12-20,2018-12-24,2019-02-15,-0.15427195010335504,False
U56,0.15,2020-03-09,2020-03-23,2020-06-08,-0.18948364382493832,False
U56,0.15,2022-05-09,2022-10-12,2023-06-30,-0.16391307946135847,False
U56,0.15,2025-04-04,2025-04-08,2025-05-12,-0.17315183717319216,False
U56,0.2,2009-03-05,2009-03-09,2009-03-26,-0.21272376721150477,True
U56,0.2,2020-03-12,2020-03-23,2020-06-08,-0.2666841545845473,False
U56,0.2,2022-06-13,2022-10-12,2023-06-30,-0.21256594192838763,False
U56,0.25,2020-03-12,2020-03-23,2020-06-08,-0.2666841545845473,False
B136,0.15,2009-02-27,2009-03-09,2009-03-26,-0.15390649513649202,True
B136,0.15,2010-07-01,2010-07-02,2010-09-24,-0.15238825591586325,True
B136,0.15,2011-08-08,2011-10-03,2011-10-27,-0.17310827658962302,True
B136,0.15,2018-12-20,2018-12-24,2019-02-15,-0.1542723040818682,False
B136,0.15,2020-03-09,2020-03-23,2020-06-08,-0.18946173800259403,False
B136,0.15,2022-05-09,2022-10-12,2023-06-30,-0.1639191083227658,False
B136,0.15,2025-04-04,2025-04-08,2025-05-12,-0.17314681137053822,False
B136,0.2,2009-03-05,2009-03-09,2009-03-26,-0.2127392532161908,True
B136,0.2,2020-03-12,2020-03-23,2020-06-08,-0.2666666666666666,False
B136,0.2,2022-06-13,2022-10-12,2023-06-30,-0.2125742508175933,False
B136,0.25,2020-03-12,2020-03-23,2020-06-08,-0.2666666666666666,False
SMALL439,0.15,2011-08-08,2011-10-03,2011-10-27,-0.1730812388867895,True
SMALL439,0.15,2018-12-20,2018-12-24,2019-02-15,-0.15427195010335504,False
SMALL439,0.15,2020-03-09,2020-03-23,2020-06-08,-0.18948364382493832,False
SMALL439,0.15,2022-05-09,2022-10-12,2023-06-30,-0.16391307946135847,False
SMALL439,0.15,2025-04-04,2025-04-08,2025-05-12,-0.17315183717319216,False
SMALL439,0.2,2020-03-12,2020-03-23,2020-06-08,-0.2666841545845473,False
SMALL439,0.2,2022-06-13,2022-10-12,2023-06-30,-0.21256594192838763,False
SMALL439,0.25,2020-03-12,2020-03-23,2020-06-08,-0.2666841545845473,False
