panel,N,p,n,pn,pn_train,K,lam,key,full_width,R2_oof,R2_insample
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.001,sd,False,-1.707597382518136,0.38158933322415556
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.001,mu,False,-2.3287673160569877,0.41012830032321834
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.001,yS,False,-2.0482798883436746,0.3158175938742299
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.01,sd,False,-1.6093791154573207,0.3815848618638181
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.01,mu,False,-2.2515315768874586,0.4101243137759315
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.01,yS,False,-2.0148068198952465,0.31581614002285596
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.1,sd,False,-1.0718227603971018,0.3811722860466694
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.1,mu,False,-1.7325345677619284,0.4097554453042488
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,0.1,yS,False,-1.7608456318462595,0.3156833791408442
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,1.0,sd,False,-0.395895588283967,0.35954879777804283
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,1.0,mu,False,-0.7001280267238992,0.3900447669012246
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,1.0,yS,False,-0.9014457764443033,0.3087580755065994
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,10.0,sd,False,-0.1230472565796552,0.19105967100957832
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,10.0,mu,False,-0.1329667204496321,0.22435822207289158
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,10.0,yS,False,-0.15288730517286897,0.21935686925607234
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,100.0,sd,False,-0.06994501121556285,0.035646655371577296
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,100.0,mu,False,-0.013537609211891288,0.045287965784036044
U56,55,10,30,0.3333333333333333,0.6666666666666666,2,100.0,yS,False,-0.03557662175183496,0.050707842697238825
U56,55,10,40,0.25,0.5,2,0.001,sd,False,-0.6325482990605638,0.3902508551164582
U56,55,10,40,0.25,0.5,2,0.001,mu,False,-1.2840989234401383,0.2995149860718297
U56,55,10,40,0.25,0.5,2,0.001,yS,False,-1.6324576936448212,0.2817458234114705
U56,55,10,40,0.25,0.5,2,0.01,sd,False,-0.6086221838776473,0.39024914443602676
U56,55,10,40,0.25,0.5,2,0.01,mu,False,-1.2678968061078657,0.29951404576824003
U56,55,10,40,0.25,0.5,2,0.01,yS,False,-1.6168834073661196,0.281745222428475
U56,55,10,40,0.25,0.5,2,0.1,sd,False,-0.43761229087520737,0.3900861588781932
U56,55,10,40,0.25,0.5,2,0.1,mu,False,-1.1419204950596065,0.2994240111339479
U56,55,10,40,0.25,0.5,2,0.1,yS,False,-1.485899911323426,0.28168746162795233
U56,55,10,40,0.25,0.5,2,1.0,sd,False,-0.10658579431104598,0.37940657879066864
U56,55,10,40,0.25,0.5,2,1.0,mu,False,-0.7749280403137073,0.29326849264272703
U56,55,10,40,0.25,0.5,2,1.0,yS,False,-0.9324250158042162,0.2776003485491736
U56,55,10,40,0.25,0.5,2,10.0,sd,False,0.016258335880164232,0.2415050682929506
U56,55,10,40,0.25,0.5,2,10.0,mu,False,-0.3027870518942304,0.19900167093718457
U56,55,10,40,0.25,0.5,2,10.0,yS,False,-0.23177492829784185,0.2028554955626155
U56,55,10,40,0.25,0.5,2,100.0,sd,False,-0.002748618401652747,0.05251441258988798
