q,N,p,dof_naive,dof_correct,slope,R2,t_naive,t_correct,inflation,p_normal,p_tN2,p_correct,t_cluster_pub,t_cluster_CR1,G,p_cluster_pub,p_cluster_CR1
1,360,6,358,353,0.13607413168688198,0.03893580134579944,3.8083764627141994,3.7816881418754495,1.0070572505816184,0.00013988220031735388,0.00016455764223400457,0.0001828797887500297,0.8750769597700236,0.708501457776002,3,0.381532032534726,0.5520811653052782
2,360,12,358,347,0.1560215624127,0.04991819894327465,4.337010439129774,4.269860549953253,1.0157264829590877,1.444337674105789e-05,1.8804482840596696e-05,2.527903660263314e-05,1.0388008751494604,0.8338812148065645,3,0.29889735427572095,0.49207923091518535
5,360,30,358,329,0.168681481239248,0.06025385911091319,4.791027588202862,4.592880092400058,1.0431423185052626,1.6592930709435905e-06,2.434827936488328e-06,6.23398303300082e-06,1.0869101553672298,0.84956916564102,3,0.27707651778044906,0.4850403411714651
10,360,60,358,299,0.16802049708435432,0.059916374139801554,4.776733709471773,4.365410734203146,1.0942232015067672,1.7816545816451423e-06,2.6031951200940317e-06,1.7502242470097307e-05,1.1291821769006438,0.8414082286518652,3,0.25882099074506204,0.48868915252385825
20,360,120,358,239,0.1634881826460101,0.05659385868100608,4.634221809939564,3.7864676778923356,1.2238904974673164,3.5828267763715616e-06,5.0255121562708354e-06,0.0001933326243439189,1.3648719512395768,0.9092807680889486,3,0.17229329940219795,0.4591820270774567
