flavour,etf_share,n_seed,lo,hi,rng,sd,pairs,pairs_ge_GAP,share_ge_GAP
ALL36,0.0,6,-0.2267186509440304,0.051376811878774666,0.27809546282280506,0.10237130030854395,15,8,0.5333333333333333
ALL36,0.25,6,-0.13564715429977423,0.01090218787754301,0.14654934217731724,0.06222819949483999,15,5,0.3333333333333333
ALL36,0.5,6,-0.22137008984027787,-0.004965344061005461,0.2164047457792724,0.07527005831187258,15,6,0.4
ALL36,0.75,6,-0.141264390517609,-0.00928561496855107,0.13197877554905793,0.043110354700867784,15,1,0.06666666666666667
EQ24,0.125,6,-0.18846702974220086,-0.009610572658972472,0.1788564570832284,0.0797905397140811,15,8,0.5333333333333333
EQ24,0.25,6,-0.15632360689661998,0.020175695082180756,0.17649930197880073,0.06445491623914779,15,4,0.26666666666666666
EQ24,0.5,6,-0.3631117468192988,-0.039989639513266916,0.3231221073060319,0.1094956517110221,15,8,0.5333333333333333
EQ24,0.667,6,-0.1907059363538145,0.040006439904449076,0.23071237625826357,0.07740735532143697,15,7,0.4666666666666667
NONEQ12,0.125,6,-0.18855881156286158,0.026696362221075298,0.21525517378393688,0.08056895806217318,15,6,0.4
NONEQ12,0.25,6,-0.12467726797732569,0.00886380526387535,0.13354107324120104,0.05681874723106042,15,5,0.3333333333333333
NONEQ12,0.333,6,-0.15636970015319326,-0.0001267330699193936,0.15624296708327387,0.06762819515650038,15,7,0.4666666666666667
