cost,panel,dir,m,key,d,band,clears,pass4b
0.0,u56,POS,0.2,VOL,-0.0022318016190323586,0.04923441340433343,0,1
0.0,u56,POS,0.2,MOM,-0.03368415864018082,0.04923441340433343,0,1
0.0,u56,POS,0.2,R6,-0.011709429480305733,0.04923441340433343,0,1
0.0,u56,POS,0.2,R3,-0.035769514865064744,0.04923441340433343,0,1
0.0,u56,POS,0.2,PRICE,-0.07011041166296339,0.04923441340433343,1,1
0.0,u56,POS,0.5,VOL,0.002462777118922732,0.07533460327924901,0,1
0.0,u56,POS,0.5,MOM,-0.0478377650167543,0.07533460327924901,0,1
0.0,u56,POS,0.5,R6,-0.019588373166739004,0.07533460327924901,0,1
0.0,u56,POS,0.5,R3,-0.01299564784070495,0.07533460327924901,0,1
0.0,u56,POS,0.5,PRICE,-0.06561266663929088,0.07533460327924901,0,1
0.0,u56,POS,1.0,VOL,0.011841017470726634,0.09925740772226721,0,1
0.0,u56,POS,1.0,MOM,-0.03760747056819702,0.09925740772226721,0,1
0.0,u56,POS,1.0,R6,-0.031559551672186714,0.09925740772226721,0,1
0.0,u56,POS,1.0,R3,-0.02314255682713129,0.09925740772226721,0,1
0.0,u56,POS,1.0,PRICE,-0.1534363434996322,0.09925740772226721,1,0
0.0,u56,NEG,0.2,VOL,-0.05333942369939537,0.060984367500635184,0,1
0.0,u56,NEG,0.2,MOM,-0.016947740841576797,0.060984367500635184,0,1
0.0,u56,NEG,0.2,R6,-0.011225111617414019,0.060984367500635184,0,1
0.0,u56,NEG,0.2,R3,-0.05704452500152657,0.060984367500635184,0,1
0.0,u56,NEG,0.2,PRICE,0.04813749787378985,0.060984367500635184,0,1
0.0,u56,NEG,0.5,VOL,-0.09013906312754383,0.07939223514782956,1,1
0.0,u56,NEG,0.5,MOM,-0.005874855989290939,0.07939223514782956,0,1
0.0,u56,NEG,0.5,R6,-0.041683503999941474,0.07939223514782956,0,1
0.0,u56,NEG,0.5,R3,-0.08904578235736782,0.07939223514782956,1,1
0.0,u56,NEG,0.5,PRICE,0.07105896033749426,0.07939223514782956,0,1
0.0,u56,NEG,1.0,VOL,-0.10704743410870088,0.08378174970836616,1,0
0.0,u56,NEG,1.0,MOM,-0.07197097809780417,0.08378174970836616,0,0
0.0,u56,NEG,1.0,R6,-0.025126895751990563,0.08378174970836616,0,1
0.0,u56,NEG,1.0,R3,-0.13169348963853178,0.08378174970836616,1,1
