panel,bps,arm,n,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,regret
U56,0,IS-pick,3,1.4660858787191056,1.0921706961537434,0.3023300064863754,-0.3448374326337723,0.1278995147615074
U56,0,OOS-best,20,1.2582386817486237,1.2200702109152508,0.17616570803902376,-0.22518833231094548,0.0
U56,0,n=20,20,1.2582386817486237,1.2200702109152508,0.17616570803902376,-0.22518833231094548,0.0
U56,0,n=ALL,ALL,1.119606183102961,1.1333607687527996,0.13767739294348558,-0.2251140309776435,0.08670944216245124
U56,0,n=5,5,1.3760752103654867,1.1243772497736808,0.2594691082546856,-0.28442764019717537,0.09569296114157
U56,0,RULES v2,,,1.3095985770043688,0.097307362439361,-0.12029812615148383,
U56,0,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
U56,10,IS-pick,3,1.3788690696146424,1.0249996171975626,0.27816757815417925,-0.34495020802748455,0.12990736308107387
U56,10,OOS-best,20,1.1784555521228592,1.1549069802786365,0.16537609728654745,-0.22608324112785905,0.0
U56,10,n=20,20,1.1784555521228592,1.1549069802786365,0.16537609728654745,-0.22608324112785905,0.0
U56,10,n=ALL,ALL,1.112549036854451,1.1262563600145372,0.13670798592594147,-0.22525890511540758,0.028650620264099258
U56,10,n=5,5,1.282880502367803,1.052915924777632,0.2390249890656193,-0.28454186458370445,0.1019910555010044
U56,10,RULES v2,,,1.285072363206482,0.09534722887472857,-0.12054942313126815,
U56,10,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
U56,25,IS-pick,3,1.247414004158009,0.9238543111500973,0.24273354955655635,-0.36074772331304894,0.19174383474640166
U56,25,OOS-best,ALL,1.1019624217082657,1.115598145896499,0.13525538991550867,-0.22547617750089244,0.0
U56,25,n=20,20,1.0584933175115765,1.0569653192522697,0.14937264302268072,-0.2274242055586938,0.05863282664422931
U56,25,n=ALL,ALL,1.1019624217082657,1.115598145896499,0.13525538991550867,-0.22547617750089244,0.0
U56,25,n=5,5,1.1425643754238193,0.9454294813720023,0.20896133712590892,-0.2847131759570154,0.17016866452449664
U56,25,RULES v2,,,1.2482435320727505,0.0924133776660172,-0.12092631068492765,
U56,25,SPY,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
B136,0,IS-pick,10,1.2979234250607445,0.9366200940636243,0.18304507828610994,-0.2594921243060311,0.17850756796259348
B136,0,OOS-best,40,1.1452339282168649,1.1151276620262178,0.15549096960153963,-0.2529547382379226,0.0
B136,0,n=20,20,1.138100544484905,1.0114558310056556,0.16466237329265754,-0.258495087131697,0.10367183102056221
B136,0,n=ALL,ALL,1.1496700431114693,1.1069097449077525,0.13990299103466697,-0.25286727212953697,0.008217917118465312
B136,0,n=5,5,1.2001142753972003,0.999072716663858,0.24601418851687562,-0.2928923671037642,0.11605494536235983
B136,0,RULES v2,,,1.1481353293632495,0.08210528304142972,-0.12211398589281575,
B136,0,SPY,,,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
B136,10,IS-pick,10,1.1972640370234788,0.8555175899127612,0.16385838505957495,-0.2601489005608497,0.24417342829222055
B136,10,OOS-best,ALL,1.1430963239950176,1.0996910182049817,0.13887389476824774,-0.25300160088665635,0.0
B136,10,n=20,20,1.0438934904821693,0.9281080224020094,0.14884592169470112,-0.259696629176292,0.17158299580297232
B136,10,n=ALL,ALL,1.1430963239950176,1.0996910182049817,0.13887389476824774,-0.25300160088665635,0.0
B136,10,n=5,5,1.0990643890570273,0.9228771757908627,0.2222838288423823,-0.29323658181399204,0.17681384241411902
B136,10,RULES v2,,,1.1185082795688426,0.07983337481604336,-0.12240793860208021,
B136,10,SPY,,,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
B136,25,IS-pick,ALL,1.1332352272872002,1.0888615264417039,0.13733195483552652,-0.2532030593280299,0.0
B136,25,OOS-best,ALL,1.1332352272872002,1.0888615264417039,0.13733195483552652,-0.2532030593280299,0.0
