panel,dialset,dial,cost,split,n_arms,pick_S,pick_C,disagree,dOOS_Sharpe,dOOS_CAGR_pp,xr,freelunch,both_worse,S_OOS_Sharpe,C_OOS_Sharpe,DN_OOS_Sharpe,S_OOS_CAGR,C_OOS_CAGR,DN_OOS_CAGR,S_OOS_MaxDD,C_OOS_MaxDD,S_pass4b,C_pass4b,S_pass4a,C_pass4a
B136,B,cadence,10,CAL,4,FREQ_Q,FREQ_Q,False,0.0,0.0,,False,False,0.9768440286278972,0.9768440286278972,1.0185476662771331,0.11071721734763407,0.11071721734763407,0.10583657394304091,-0.24435658029457807,-0.24435658029457807,False,False,False,False
B136,B,cadence,25,CAL,4,FREQ_Q,FREQ_Q,False,0.0,0.0,,False,False,0.9495283624527012,0.9495283624527012,0.8953399181114371,0.10724445304025343,0.10724445304025343,0.09181456009217115,-0.24435658029457863,-0.24435658029457863,False,False,False,False
B136,B,gross,10,CAL,6,G1.00,G1.00,False,0.0,0.0,,False,False,1.0174784887003725,1.0174784887003725,1.018750290409031,0.14091101322947752,0.14091101322947752,0.09879860664842388,-0.23091856505209452,-0.23091856505209452,False,False,False,False
B136,B,gross,25,CAL,6,G1.00,G1.00,False,0.0,0.0,,False,False,0.8956863196324371,0.8956863196324371,0.8952557159747905,0.12183708269150939,0.12183708269150939,0.08576488111893266,-0.2375505553844558,-0.2375505553844558,False,False,False,False
B136,B,n,10,CAL,7,FWD10,FWD5,True,0.043714024944483953,3.6256824809268506,,True,False,0.780593339534181,0.8243073644786649,1.0185476662771331,0.12766905137397422,0.16392587618324272,0.10583657394304091,-0.21444792932259604,-0.23988843771808588,False,False,False,False
B136,B,n,25,CAL,7,EWall,FWD5,True,-0.2308798371195625,3.3494491783984337,14.507326495833855,False,False,0.8953399181114371,0.6644600809918746,0.8953399181114371,0.09181456009217115,0.1253090518761555,0.09181456009217115,-0.18217043484345774,-0.24851095887362296,False,False,False,False
B136,B,trim,10,CAL,6,B0.08,B0.08,False,0.0,0.0,,False,False,1.1094642338971092,1.1094642338971092,1.1185082795688426,0.08363493461181792,0.08363493461181792,0.07983337481604336,-0.14813995230211774,-0.14813995230211774,False,False,False,False
B136,B,trim,25,CAL,6,B0.08,B0.08,False,0.0,0.0,,False,False,1.08308168702519,1.08308168702519,1.0740236940215924,0.08150637071722855,0.08150637071722855,0.07643420182382155,-0.14838094033740212,-0.14838094033740212,False,False,False,False
B136,B,volgate,10,CAL,6,V1.00,V1.00,False,0.0,0.0,,False,False,1.052744469717349,1.052744469717349,1.0185476662771331,0.11610852417415041,0.11610852417415041,0.10583657394304091,-0.19804944221157106,-0.19804944221157106,True,True,False,False
B136,B,volgate,25,CAL,6,V1.00,V1.00,False,0.0,0.0,,False,False,0.942214770388053,0.942214770388053,0.8953399181114371,0.10269439644133138,0.10269439644133138,0.09181456009217115,-0.20212309723985977,-0.20212309723985977,False,False,False,False
B136,C,band,10,CAL,6,B0.08,B0.12,True,-0.01862525413008287,0.04502709291926976,2.417529049793933,False,False,1.1094642338971092,1.0908389797670264,1.1185082795688426,0.08363493461181792,0.08408520554101062,0.07983337481604336,-0.14813995230211774,-0.1481118990657625,False,False,False,False
B136,C,band,25,CAL,6,B0.08,B0.12,True,-0.013907781187517898,0.08014315922717508,5.762469091698308,False,False,1.08308168702519,1.0691739058376721,1.0740236940215924,0.08150637071722855,0.0823078023095003,0.07643420182382155,-0.14838094033740212,-0.1482610575613249,False,False,False,False
B136,C,cadence,10,CAL,4,FREQ_W,FREQ_M,True,-0.022226158425934894,0.3649049065721943,16.417812722256137,False,False,1.1185082795688426,1.0962821211429077,1.1185082795688426,0.07983337481604336,0.0834824238817653,0.07983337481604336,-0.12240793860208021,-0.15687424307604458,False,False,False,False
B136,C,cadence,25,CAL,4,FREQ_M,FREQ_M,False,0.0,0.0,,False,False,1.0675362385627567,1.0675362385627567,1.0740236940215924,0.0811182361711098,0.0811182361711098,0.07643420182382155,-0.15720132467995662,-0.15720132467995662,False,False,False,False
B136,C,gross,10,CAL,4,G1.00,G1.00,False,0.0,0.0,,False,False,1.1174115114630112,1.1174115114630112,1.1185082795688426,0.10658557013582604,0.10658557013582604,0.07983337481604336,-0.1615773477730451,-0.1615773477730451,True,True,False,False
B136,C,gross,25,CAL,4,G1.00,G1.00,False,0.0,0.0,,False,False,1.0731857152180366,1.0731857152180366,1.0740236940215924,0.10196602593399073,0.10196602593399073,0.07643420182382155,-0.16213977549982772,-0.16213977549982772,False,False,False,False
B136,C,n,10,CAL,5,N30,N30,False,0.0,0.0,,False,False,0.8124207614580526,0.8124207614580526,0.7889845045976785,0.09030631414222601,0.09030631414222601,0.08652481817915736,-0.20865051967414006,-0.20865051967414006,False,False,False,False
B136,C,n,25,CAL,5,N30,N30,False,0.0,0.0,,False,False,0.6135682247571451,0.6135682247571451,0.5431194963702538,0.0658188021587034,0.0658188021587034,0.056721962058258635,-0.21119793843416035,-0.21119793843416035,False,False,False,False
B136,C,quantile,10,CAL,5,Q1.00,Q1.00,False,0.0,0.0,,False,False,1.0650316962823982,1.0650316962823982,1.0650316962823982,0.11962148286596941,0.11962148286596941,0.11962148286596941,-0.2012239672094971,-0.2012239672094971,True,True,False,False
B136,C,quantile,25,CAL,5,Q1.00,Q1.00,False,0.0,0.0,,False,False,0.9576141005761281,0.9576141005761281,0.9576141005761281,0.10631618062832437,0.10631618062832437,0.10631618062832437,-0.20423449713176156,-0.20423449713176156,False,False,False,False
B136,C,volcap,10,CAL,5,V0.90,V9.99,True,0.02294920755525931,0.5812141156467554,,True,False,1.0415668978946178,1.064516105449877,1.0185476662771331,0.11373964952112448,0.11955179067759203,0.10583657394304091,-0.19322945324491325,-0.2012239672094971,True,True,False,False
B136,C,volcap,25,CAL,5,V0.90,V9.99,True,0.027857587666679562,0.600156956685427,,True,False,0.9291854573481874,0.9570430450148669,0.8953399181114371,0.1002397288619663,0.10624129842882057,0.09181456009217115,-0.1973832776409813,-0.20423449713176212,False,False,False,False
BSTK100,B,cadence,10,CAL,4,FREQ_Q,FREQ_Q,False,0.0,0.0,,False,False,1.0137510729228119,1.0137510729228119,1.0095999331099443,0.12558151595531708,0.12558151595531708,0.12155660613742114,-0.25754317207054356,-0.25754317207054356,False,False,False,False
BSTK100,B,gross,10,CAL,6,G1.00,G1.00,False,0.0,0.0,,False,False,1.0061832635929588,1.0061832635929588,1.010250664320656,0.1611219583845689,0.1611219583845689,0.1135637404053742,-0.3377512938599805,-0.3377512938599805,False,False,False,False
BSTK100,B,n,10,CAL,6,FWD10,FWD5,True,0.03055907404686309,3.0103704927949337,,True,False,0.7488975844407562,0.7794566584876192,1.0095999331099443,0.12338297887674621,0.15348668380469555,0.12155660613742114,-0.29130802180516846,-0.2866972641388026,False,False,False,False
BSTK100,B,trim,10,CAL,6,B0.08,B0.08,False,0.0,0.0,,False,False,1.155080855825761,1.155080855825761,1.1403459736163715,0.09556204453678308,0.09556204453678308,0.08889334353179068,-0.1550990196087868,-0.1550990196087868,False,False,False,False
