kappa,convention,set,cost,pass_rate,n
0.4,CURRENT,SHELF,10.0,0.0,8
0.4,CURRENT,GRID,10.0,0.14814814814814814,54
0.4,CONST,SHELF,10.0,0.0,8
0.4,CONST,GRID,10.0,0.0,54
0.4,PATH,SHELF,10.0,0.0,8
0.4,PATH,GRID,10.0,0.0,54
0.5,CURRENT,SHELF,10.0,0.25,8
0.5,CURRENT,GRID,10.0,0.4444444444444444,54
0.5,CONST,SHELF,10.0,0.125,8
0.5,CONST,GRID,10.0,0.1111111111111111,54
0.5,PATH,SHELF,10.0,0.0,8
0.5,PATH,GRID,10.0,0.0,54
0.6,CURRENT,SHELF,10.0,1.0,8
0.6,CURRENT,GRID,10.0,0.6481481481481481,54
0.6,CONST,SHELF,10.0,0.25,8
0.6,CONST,GRID,10.0,0.2777777777777778,54
0.6,PATH,SHELF,10.0,0.0,8
0.6,PATH,GRID,10.0,0.0,54
0.7,CURRENT,SHELF,10.0,1.0,8
0.7,CURRENT,GRID,10.0,0.7592592592592593,54
0.7,CONST,SHELF,10.0,0.375,8
0.7,CONST,GRID,10.0,0.46296296296296297,54
0.7,PATH,SHELF,10.0,0.125,8
0.7,PATH,GRID,10.0,0.16666666666666666,54
0.8,CURRENT,SHELF,10.0,1.0,8
0.8,CURRENT,GRID,10.0,0.8148148148148148,54
0.8,CONST,SHELF,10.0,0.875,8
0.8,CONST,GRID,10.0,0.6296296296296297,54
0.8,PATH,SHELF,10.0,0.625,8
0.8,PATH,GRID,10.0,0.3888888888888889,54
1.0,CURRENT,SHELF,10.0,1.0,8
1.0,CURRENT,GRID,10.0,0.9074074074074074,54
1.0,CONST,SHELF,10.0,1.0,8
1.0,CONST,GRID,10.0,0.8148148148148148,54
1.0,PATH,SHELF,10.0,1.0,8
1.0,PATH,GRID,10.0,0.7037037037037037,54
