panel,rung,badness,n_splits,sp_pick_Sharpe,sp_menu_Sharpe,sp_n4b,sp_spy_Sharpe
B136,10,ret<0,11,0.320373682108383,-0.3112201483338578,-0.2532776344593064,-0.6636311986530792
B136,10,dd<=-10,11,0.08219263769590017,-0.6940711627653792,-0.6497898550401462,-0.8219263769590017
B136,10,dd<=-15,11,0.33790306608314513,-0.7169024510142403,-0.75086827693528,-0.6027460097699346
B136,10,dd<=-20,11,0.374433127281323,-0.7077699357146958,-0.794187600604623,-0.374433127281323
B136,25,ret<0,11,0.4530999218389989,-0.3112201483338578,0.31905678965200135,-0.6636311986530792
B136,25,dd<=-10,11,-0.04566257649772231,-0.6940711627653792,-0.18286707459922102,-0.8219263769590017
B136,25,dd<=-15,11,0.3470355813826896,-0.7169024510142403,0.10159281922178945,-0.6027460097699346
B136,25,dd<=-20,11,0.31963803548405617,-0.7077699357146958,0.02031856384435789,-0.374433127281323
SMALL439,10,ret<0,10,0.0,-0.4036867138796655,,-0.5504818825631803
SMALL439,10,dd<=-10,10,-0.04255338805760452,-0.6565379871744699,,-0.8145934285312865
SMALL439,10,dd<=-15,10,0.3780558086578446,-0.4085441803237998,,-0.5426930156540026
SMALL439,10,dd<=-20,10,0.4634232493225192,-0.2500046476608327,,-0.2743953449935969
SMALL439,25,ret<0,10,0.14679516868351475,-0.5321324864777409,,-0.5504818825631803
SMALL439,25,dd<=-10,10,-0.32218993815043423,-0.5896683773696627,,-0.8145934285312865
SMALL439,25,dd<=-15,10,0.3292744139923163,-0.3597627856582714,,-0.5426930156540026
SMALL439,25,dd<=-20,10,0.3658604599914625,-0.14024650966339394,,-0.2743953449935969
U56,10,ret<0,11,-0.03661413509810092,-0.59497969534414,0.45405426134695265,-0.6636311986530792
U56,10,dd<=-10,11,0.6575411015672014,-0.59361349447039,0.4836843196396685,-0.8219263769590017
U56,10,dd<=-15,11,0.3470355813826896,-0.3059392625347395,0.19819259926698615,-0.6027460097699346
U56,10,dd<=-20,11,0.44749324967767873,-0.06849386474658346,0.08965855681125563,-0.374433127281323
U56,25,ret<0,11,0.10526563840704016,-0.6087099960059279,0.44396886099311783,-0.6636311986530792
U56,25,dd<=-10,11,0.10045766829498909,-0.5022883414749454,0.431292849844578,-0.8219263769590017
U56,25,dd<=-15,11,0.20548159423975043,-0.2465779130877005,0.07693331916146527,-0.6027460097699346
U56,25,dd<=-20,11,0.2876742319356506,0.0,-0.05828281754656459,-0.374433127281323
