Date,U56,B136,SMALL439
2009,0.9058508954602249,0.876430924228948,
2010,0.9821786492374728,0.9840028786232563,
2011,0.953781512605042,0.9519969278033794,0.7363669349633386
2012,0.9683861236802414,0.9798064945430208,0.8592032949405872
2013,0.974969474969475,0.9857179386612526,0.8983248094759385
2014,0.9851953601953602,0.9876525068385533,0.8849342006839671
2015,0.9776101780818762,0.9854383953620595,0.8412149701860733
2016,0.9753668763102726,0.9836423118865867,0.7952013941900898
2017,0.9906787942569345,0.9921535233113348,0.8624867564124414
2018,0.9748079659002008,0.9852733410563159,0.8308780691507593
2019,0.9852292768959435,0.9891542076692452,0.8160912158745163
2020,0.8630135345550365,0.8495628487773028,0.5474593774618405
2021,0.976984126984127,0.9848673300165838,0.7677269405167529
2022,0.9186526620789568,0.9469584349170482,0.673318028475826
2023,0.9712727272727273,0.9848358208955224,0.7891338066072995
2024,0.9652958152958153,0.978529969201611,0.7722812568001788
2025,0.9442181818181818,0.9560298507462686,0.7134434819188451
2026,0.9371610845295055,0.9355575065847235,0.6777569342087633
