design,N,p,pred_pN,mc_mean_R2,mc_q90_R2
gauss,2,2,1.0,1.0,1.0
gauss,21,7,0.3333333333333333,0.28757990998788907,0.48388852946186806
gauss,45,137,1.0,1.0,1.0
gauss,50,136,1.0,1.0,1.0
gauss,78,15,0.19230769230769232,0.1856964938848063,0.2562063295050052
gauss,150,138,0.92,0.9220195237514802,0.9594486766829101
gauss,385,7,0.01818181818181818,0.01555323393121696,0.02760541320617089
gauss,400,1,0.0025,-9.436895709313831e-18,0.0
gauss,400,36,0.09,0.0859702416096605,0.11317892086775286
gauss,400,40,0.1,0.09804856279940388,0.1264577063252005
dummy,2,2,1.0,1.0,1.0
dummy,21,7,0.3333333333333333,0.31116203929864694,0.4927174854987693
dummy,45,137,1.0,1.0,1.0
dummy,50,136,1.0,1.0,1.0
dummy,78,15,0.19230769230769232,0.18285462635884797,0.24994478897581662
dummy,150,138,0.92,0.9189743832503925,0.9546811684385721
dummy,385,7,0.01818181818181818,0.015563859259356293,0.026961165776123418
dummy,400,1,0.0025,-1.6653345369377347e-18,0.0
dummy,400,36,0.09,0.08812546145459063,0.11369999250874556
dummy,400,40,0.1,0.09820297227251523,0.12557970352848796
