panel,cons,bps,r_target,r_real,sat_share,held_mean,S_ew,S_fwd,C_ew,C_fwd,dS,dC,rev,ew_wins_S,ew_wins_C,turn_fwd,turn_ew,window
B136,FIXED,0,0.05,0.07086642245304815,0.002171552660152009,4.966340933767644,1.1054296734148639,0.9863622449423475,0.11635195735512016,0.19212132196495402,0.11906742847251639,-0.07576936460983386,True,True,False,21.883816969723267,8.266497294317862,FULL
B136,FIXED,0,0.1,0.13713088497758907,0.011943539630836048,9.926167209554832,1.1054296734148639,1.0035676651869732,0.11635195735512016,0.1631643783045944,0.10186200822789071,-0.04681242094947424,True,True,False,17.922295935407835,8.266497294317862,FULL
B136,FIXED,0,0.2,0.257470938268246,0.0249728555917481,19.710097719869708,1.1054296734148639,1.0454701923010825,0.11635195735512016,0.14620897388850618,0.059959481113781354,-0.029857016533386016,True,True,False,14.310741802245708,8.266497294317862,FULL
B136,FIXED,0,0.35,0.4262621983968974,0.06297502714440825,34.1900108577633,1.1054296734148639,1.0638517402139336,0.11635195735512016,0.1338709834287788,0.041577933200930284,-0.017519026073658628,True,True,False,11.771809812807087,8.266497294317862,FULL
B136,FIXED,0,0.5,0.5749645773659519,0.10857763300760044,47.92942453854506,1.1054296734148639,1.0918028648232823,0.11635195735512016,0.12931036815195562,0.013626808591581607,-0.012958410796835462,True,True,False,10.455695288265538,8.266497294317862,FULL
B136,FIXED,0,0.75,0.7852073544164628,0.20629750271444083,68.49185667752442,1.1054296734148639,1.092811863539904,0.11635195735512016,0.12167156522383382,0.012617809874959862,-0.0053196078687136605,True,True,False,9.101088307371008,8.266497294317862,FULL
B136,FIXED,0,1.0,0.948654722132109,0.511400651465798,85.60803474484256,1.1054296734148639,1.1055271331276453,0.11635195735512016,0.11819086615589947,-9.745971278141141e-05,-0.0018389088007793042,False,False,False,8.334675165292676,8.266497294317862,FULL
BSTK100,FIXED,0,0.05,0.07781460980788817,0.011943539630836048,3.9229098805646037,1.0926815390192868,1.0423858872342993,0.13717411937332047,0.22538639175365383,0.050295651784987516,-0.08821227238033336,True,True,False,22.64786183976224,8.6396905042728,FULL
BSTK100,FIXED,0,0.1,0.12845232169357143,0.01737242128121607,6.88599348534202,1.0926815390192868,0.9770711474134638,0.13717411937332047,0.17821632683265132,0.11561039160582298,-0.04104220745933085,True,True,False,19.73428622885414,8.6396905042728,FULL
BSTK100,FIXED,0,0.2,0.24202170031906048,0.023887079261672096,13.71226927252986,1.0926815390192868,1.0532534109874678,0.13717411937332047,0.16784958656399795,0.03942812803181894,-0.030675467190677486,True,True,False,15.388434983437703,8.6396905042728,FULL
BSTK100,FIXED,0,0.35,0.41101224991592883,0.05537459283387622,24.346362649294246,1.0926815390192868,1.0268299979023854,0.13717411937332047,0.1471959299761898,0.06585154111690139,-0.01002181060286933,True,True,False,12.5992809952296,8.6396905042728,FULL
BSTK100,FIXED,0,0.5,0.5636909330632709,0.09446254071661238,34.57220412595005,1.0926815390192868,1.070965319363059,0.13717411937332047,0.1461166438278556,0.02171621965622772,-0.008942524454535139,True,True,False,10.958373229542628,8.6396905042728,FULL
BSTK100,FIXED,0,0.75,0.7827311347196048,0.1976112920738328,50.123778501628664,1.0926815390192868,1.0826960168885902,0.13717411937332047,0.14058604475623326,0.009985522130696589,-0.003411925382912795,True,True,False,9.438021836458374,8.6396905042728,FULL
BSTK100,FIXED,0,1.0,0.9425856356692508,0.504885993485342,62.34636264929424,1.0926815390192868,1.0988350211748164,0.13717411937332047,0.13946129177719935,-0.006153482155529577,-0.0022871724038788788,False,False,False,8.723259691920227,8.6396905042728,FULL
ETF36,FIXED,0,0.05,0.05178067321282513,0.0010857763300760044,0.9630836047774158,0.7284482263279793,0.4044210040339528,0.059996237946978725,0.06646707740467539,0.32402722229402653,-0.006470839457696664,True,True,False,24.75020164080185,8.45085454610514,FULL
ETF36,FIXED,0,0.1,0.15422620475094045,0.006514657980456026,2.9153094462540716,0.7284482263279793,0.4363643537718757,0.059996237946978725,0.057566019792430145,0.29208387255610363,0.00243021815454858,False,True,True,21.6356776123333,8.45085454610514,FULL
ETF36,FIXED,0,0.2,0.25555005284586885,0.026058631921824105,4.9185667752443,0.7284482263279793,0.6526909488515129,0.059996237946978725,0.07962730913825089,0.07575727747646643,-0.019631071191272165,True,True,False,16.20178706611419,8.45085454610514,FULL
ETF36,FIXED,0,0.35,0.4241099780567574,0.08903365906623235,8.673181324647123,0.7284482263279793,0.7286199045415526,0.059996237946978725,0.07787991139322092,-0.0001716782135732231,-0.0178836734462422,False,False,False,13.94635926107005,8.45085454610514,FULL
ETF36,FIXED,0,0.5,0.6032578450239561,0.15743756786102062,13.14115092290988,0.7284482263279793,0.7518623571508263,0.059996237946978725,0.07341488006204866,-0.023414130822846935,-0.013418642115069934,False,False,False,11.30634050734569,8.45085454610514,FULL
ETF36,FIXED,0,0.75,0.7861055391861052,0.2280130293159609,18.04125950054289,0.7284482263279793,0.7753990419215766,0.059996237946978725,0.07094593458594334,-0.04695081559359726,-0.010949696638964612,False,False,False,9.578909507664012,8.45085454610514,FULL
