tau,passes_within,pass_share,fails_within,fail_share
0.005,89,0.0061417431509212615,335,0.004274049502424088
0.01,102,0.007038851701055828,430,0.005486093391171217
0.02,119,0.008211993651231798,632,0.008063281449349324
0.05,160,0.0110413360016562,1059,0.01351109977034958
0.1,218,0.015043820302256573,1568,0.02000510334268946
0.25,416,0.02870747360430612,3436,0.04383771370247512
0.5,1087,0.07501207646125181,6441,0.08217657565705537
1.0,1839,0.12690635566903596,11238,0.14337841286042358
