window,control,panel,form,sep_A,R,collapse
IS,QUANTILE-M,U56,ARITH,-0.09761534689851144,0.5789619456645496,False
IS,QUANTILE-M,U56,GEO,0.5127958742461182,6.355508230219095,False
IS,QUANTILE-M,U56,HARM,1.2938817630048254,3.7875710993366805,False
IS,QUANTILE-M,U56,MEDIAN,-0.4515799600120062,2.4787458105904148,False
IS,QUANTILE-M,U56,JADJ,0.3730619001357935,9.905074761271194,False
IS,QUANTILE-M,B136,ARITH,-0.06769120217316181,0.47961827814401825,True
IS,QUANTILE-M,B136,GEO,0.6310499981791731,38.2694079489676,False
IS,QUANTILE-M,B136,HARM,1.5913000157079946,2.376815682503351,False
IS,QUANTILE-M,B136,MEDIAN,-0.5709304330777536,2.8794777989929243,False
IS,QUANTILE-M,B136,JADJ,0.38322085997812544,11.344963589487135,False
IS,QUANTILE-M,SMALL439,ARITH,-0.5479515857031175,12.55054742337539,False
IS,QUANTILE-M,SMALL439,GEO,-0.33489432922076096,10.67197070273509,False
IS,QUANTILE-M,SMALL439,HARM,-0.14563587531265643,0.5250653440991948,False
IS,QUANTILE-M,SMALL439,MEDIAN,-0.24719857367089365,4.71391347403904,False
IS,QUANTILE-M,SMALL439,JADJ,-0.33503477825819544,177.1301522402798,False
IS,QUANTILE-F,U56,ARITH,-0.09806875948034449,0.5621266157623487,False
IS,QUANTILE-F,U56,GEO,0.5124880959800573,6.090809816281283,False
IS,QUANTILE-F,U56,HARM,1.2937217606274487,3.820688302196459,False
IS,QUANTILE-F,U56,MEDIAN,-0.43689481201168373,2.3674963865073213,False
IS,QUANTILE-F,U56,JADJ,0.37276629161105124,9.065484160906454,False
IS,QUANTILE-F,B136,ARITH,-0.06227846164995989,0.44585563435065934,True
IS,QUANTILE-F,B136,GEO,0.637513061064417,35.284890899246925,False
IS,QUANTILE-F,B136,HARM,1.5986881624109055,2.3810349015191923,False
IS,QUANTILE-F,B136,MEDIAN,-0.5629482691441442,2.845010823947631,False
IS,QUANTILE-F,B136,JADJ,0.38982075807778543,10.992695662546058,False
IS,QUANTILE-F,SMALL439,ARITH,-0.5483722376071456,12.416346946003358,False
IS,QUANTILE-F,SMALL439,GEO,-0.3352817833768852,10.069046940862602,False
IS,QUANTILE-F,SMALL439,HARM,-0.14599391165773923,0.5226857914923431,False
IS,QUANTILE-F,SMALL439,MEDIAN,-0.24887645855037438,4.66955339834231,False
IS,QUANTILE-F,SMALL439,JADJ,-0.3354177290897201,13231.40195378213,False
OOS,QUANTILE-M,U56,ARITH,0.15384430241050467,1.44270591374591,False
OOS,QUANTILE-M,U56,GEO,0.6520467098480699,71.14937306170653,False
OOS,QUANTILE-M,U56,HARM,1.2859829787909576,2.3234206630693386,False
OOS,QUANTILE-M,U56,MEDIAN,0.010696217773279074,0.03531951525507536,True
OOS,QUANTILE-M,U56,JADJ,0.601605879117511,18.855941675452293,False
OOS,QUANTILE-M,B136,ARITH,-0.045831829231731507,0.1304093319785376,True
OOS,QUANTILE-M,B136,GEO,0.38507450097129375,6.359009616162872,False
OOS,QUANTILE-M,B136,HARM,0.9323895553515389,4.238893067187484,False
OOS,QUANTILE-M,B136,MEDIAN,-0.18374829988496227,0.3568900585926588,True
OOS,QUANTILE-M,B136,JADJ,0.33936105793839455,3.1446521746121774,False
OOS,QUANTILE-M,SMALL439,ARITH,0.3511946343551515,2.1203652337267314,False
OOS,QUANTILE-M,SMALL439,GEO,0.6228575944170529,9.255144914214348,False
OOS,QUANTILE-M,SMALL439,HARM,0.8889229022625431,6.8515365692977,False
OOS,QUANTILE-M,SMALL439,MEDIAN,0.4155171158156298,3.179352214420417,False
OOS,QUANTILE-M,SMALL439,JADJ,0.673700150277269,30.520118199009776,False
OOS,QUANTILE-F,U56,ARITH,0.14522556463639616,1.3676254072137557,False
OOS,QUANTILE-F,U56,GEO,0.6429799341363784,63.65088286826804,False
OOS,QUANTILE-F,U56,HARM,1.2769748256090057,2.302444257453117,False
OOS,QUANTILE-F,U56,MEDIAN,-0.005712162997833448,0.019244601066964524,True
OOS,QUANTILE-F,U56,JADJ,0.591584161502899,18.956416117261774,False
OOS,QUANTILE-F,B136,ARITH,-0.045499294455737624,0.12973503678512457,True
OOS,QUANTILE-F,B136,GEO,0.38522690064894644,6.442959081030967,False
OOS,QUANTILE-F,B136,HARM,0.9324206657725875,4.229489342960761,False
OOS,QUANTILE-F,B136,MEDIAN,-0.18429356192270083,0.36044563885964154,True
OOS,QUANTILE-F,B136,JADJ,0.3394130659153192,3.1676016398429834,False
OOS,QUANTILE-F,SMALL439,ARITH,0.3506649456492918,2.109540327280721,False
OOS,QUANTILE-F,SMALL439,GEO,0.6223374416583113,9.150968796994599,False
OOS,QUANTILE-F,SMALL439,HARM,0.8884034744852519,6.853806318301593,False
OOS,QUANTILE-F,SMALL439,MEDIAN,0.41529569881894923,3.16562048580984,False
OOS,QUANTILE-F,SMALL439,JADJ,0.6731895370759431,29.547567909448325,False
