book,alt,v_term,v_alt,moved,f4b_term,f4b_alt,legs_moved,dSharpe,dCAGR,dMaxDD,dOOS
CAND20,OFF,KILL,KILL,False,H1/H2/OOS/DD/CAGR,H1/H2/OOS/DD/CAGR,False,0.04963223246934079,0.015843094940160007,-0.03463799711967419,0.16492248699282908
CAND20,CAUSAL,KILL,KILL,False,H1/H2/OOS/DD/CAGR,H1/H2/OOS/DD/CAGR,False,0.11611070448589322,0.02689976455788079,0.01013613424382065,0.22219260482282194
CAND20_NOVOL,OFF,KILL,KILL,False,H2/OOS/DD,H2/OOS/DD,False,0.035760226809788076,0.012871888210429283,-0.016216837600873113,-0.0008279741607902791
CAND20_NOVOL,CAUSAL,KILL,KILL,False,H2/OOS/DD,H1/H2/OOS/DD,True,-0.007250607420619781,-0.001411123515220547,1.1102230246251565e-16,0.0058176537922868254
MOM20,OFF,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,0.036680284752786285,0.014726095084994562,-0.02295833013216142,0.1082007295667412
MOM20,CAUSAL,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,-0.021774060505517112,-0.004357220758500091,-0.027436093451107535,-0.01938899705329311
R6_20,OFF,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,0.05788392156152544,0.021099888486707075,-0.06264511399493089,0.04947270818982774
R6_20,CAUSAL,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,-0.02970595676072907,-0.006718798518626556,-0.021452139355273236,-0.0634492969659406
LOWVOL20,OFF,KILL,KILL,False,H1/H2/OOS/DD/CAGR,H1/H2/OOS/DD/CAGR,False,0.12792462128552573,0.031125567674404442,0.01250560804103762,0.19289600282429398
LOWVOL20,CAUSAL,KILL,KILL,False,H1/H2/OOS/DD/CAGR,H1/H2/OOS/DD/CAGR,False,0.13454199161887548,0.030340384112927943,0.012505608041037841,0.2113380846225381
EWALL,OFF,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,0.10266830595963794,0.03629939916619551,-9.454978621870058e-05,0.09985395937885
EWALL,CAUSAL,KILL,KILL,False,H1/H2/OOS/DD,H1/H2/OOS/DD,False,0.04281722540033994,0.008244394735934746,-0.0025622396838789196,0.05510871433937725
MABAND,OFF,KILL,KILL,False,H1/H2/OOS/CAGR,H1/H2/OOS/CAGR,False,0.04235418914449529,0.0025715461259618877,0.026048458907632188,0.09519890435449752
MABAND,CAUSAL,KILL,KILL,False,H1/H2/OOS/CAGR,H1/H2/OOS/CAGR,False,0.01709900340282622,0.0008971603681597884,0.024645946062118673,0.023006339336211323
