rule,family,basis,k,rows_4b_full,distinct_books_4b_full,distinct_books_selected,books
R_RAW,R_RAW,,,6,3,48,U56|12|126|0.55|M;U56|12|252|0.55|M;U56|20|126|0.75|W
R_BAR,R_BAR,,,19,2,17,U56|12|63|0.55|M;U56|20|126|0.75|W
R_ANCHOR,R_ANCHOR,,,24,2,6,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=0.0]",R_SE,SE_BLOCK,0.0,6,3,48,U56|12|126|0.55|M;U56|12|252|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=0.25]",R_SE,SE_BLOCK,0.25,10,3,42,U56|12|252|0.55|M;U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=0.5]",R_SE,SE_BLOCK,0.5,11,2,38,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=1.0]",R_SE,SE_BLOCK,1.0,17,2,28,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=1.5]",R_SE,SE_BLOCK,1.5,19,2,21,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_BLOCK,k=2.0]",R_SE,SE_BLOCK,2.0,20,2,14,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=0.0]",R_SE,SE_IID,0.0,6,3,48,U56|12|126|0.55|M;U56|12|252|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=0.25]",R_SE,SE_IID,0.25,10,3,42,U56|12|252|0.55|M;U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=0.5]",R_SE,SE_IID,0.5,12,2,35,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=1.0]",R_SE,SE_IID,1.0,18,2,24,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=1.5]",R_SE,SE_IID,1.5,21,2,18,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_IID,k=2.0]",R_SE,SE_IID,2.0,21,2,15,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=0.0]",R_SE,SE_FOLD,0.0,6,3,48,U56|12|126|0.55|M;U56|12|252|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=0.25]",R_SE,SE_FOLD,0.25,7,3,45,U56|12|252|0.55|M;U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=0.5]",R_SE,SE_FOLD,0.5,10,2,40,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=1.0]",R_SE,SE_FOLD,1.0,13,2,36,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=1.5]",R_SE,SE_FOLD,1.5,16,2,31,U56|12|63|0.55|M;U56|20|126|0.75|W
"R_SE[SE_FOLD,k=2.0]",R_SE,SE_FOLD,2.0,16,2,28,U56|12|63|0.55|M;U56|20|126|0.75|W
