panel,dial,leg,shape_class,pick,pick_i,endpoint,IS_Sharpe,IS_CAGR,IS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turn_per_yr,pass_4b,pass_4b_oos,pass_4a,ladder_4b,ladder_4b_both,ladder_4a,n_rungs
U56,D_GROSS,L_DD,TENT,0.625,17,False,1.1116033652037098,0.11578704480238766,-0.11687596680796697,0.12956906770794063,1.139331160077223,-0.16121545048973251,1.2033852178793214,1.0966329537392974,0.14104230499205928,1.1638947050580255,-0.16121545048973285,2.4326281516472585,True,True,False,11,11,0,33
U56,D_GROSS,L_VOLTGT,TENT,0.775,23,False,1.1119476148929897,0.14378030830726907,-0.14402172370290578,0.16104316845861688,1.1398149118793375,-0.19720219574106002,1.203804280237653,1.0972334102381185,0.17544957975490183,1.1644946188303023,-0.19720219574106013,2.990679787700364,True,True,False,11,11,0,33
U56,D_GROSS,L_TUW,TENT,0.575,15,False,1.1114637547768027,0.1064621339570222,-0.10774649238831246,0.11909671305065617,1.1391472172019228,-0.14904043654092336,1.2032204461769764,1.0964130247766697,0.12960589460444405,1.1636738229576586,-0.14904043654092358,2.2465113767342517,True,True,False,11,11,0,33
U56,D_GROSS,L_ULCER,TENT,0.625,17,False,1.1116033652037098,0.11578704480238766,-0.11687596680796697,0.12956906770794063,1.139331160077223,-0.16121545048973251,1.2033852178793214,1.0966329537392974,0.14104230499205928,1.1638947050580255,-0.16121545048973285,2.4326281516472585,True,True,False,11,11,0,33
U56,D_N,L_DD,OTHER-NONMONO,40,9,False,1.1761930490300028,0.12806181559145302,-0.12581421125997172,0.13458962107135175,1.1268612424698448,-0.22984197733835132,1.271594173374019,1.0255837724892403,0.13999175176293477,1.0985169918082796,-0.22984197733835132,2.3138641565527673,False,False,False,2,2,0,11
U56,D_N,L_VOLTGT,TENT,15,5,False,1.1330669763521146,0.14691869827837722,-0.14478235536444928,0.1699680426364325,1.1621686935026525,-0.20974143218869634,1.2511329201928496,1.106360249232024,0.18928983789496723,1.190654657696721,-0.20974143218869623,3.0199412334350133,False,False,False,2,2,0,11
U56,D_N,L_TUW,FLAT,50,10,True,1.1801213503141352,0.12435209160025162,-0.1264992450972331,0.12824490467034688,1.138775148523893,-0.21919262056315958,1.269267645333252,1.041080193671619,0.13145964219095996,1.1119377354646294,-0.21919262056315902,2.0478663204645655,False,False,False,2,2,0,11
U56,D_N,L_ULCER,TENT,40,9,False,1.1761930490300028,0.12806181559145302,-0.12581421125997172,0.13458962107135175,1.1268612424698448,-0.22984197733835132,1.271594173374019,1.0255837724892403,0.13999175176293477,1.0985169918082796,-0.22984197733835132,2.3138641565527673,False,False,False,2,2,0,11
U56,D_HOLD,L_DD,TENT,10,1,False,1.0227404684189183,0.116372020129208,-0.11384470465386054,0.13508115337328452,1.0935548821101955,-0.1933005711383582,1.1318004544256322,1.0684116504535501,0.15071787433136974,1.1484679445033206,-0.1933005711383583,7.924922233827253,True,True,False,3,3,0,9
U56,D_HOLD,L_VOLTGT,TENT,189,7,False,1.2458210034862465,0.15239626840815834,-0.13018465624150022,0.15589047172815773,1.120552211808253,-0.22213520845091717,1.3353087029467336,0.9791451027404172,0.15877490441672282,1.0508576134570584,-0.22213520845091694,2.3123454569794135,False,False,False,3,3,0,9
