panel,dial,n,clears,clear_rate,cuts,cut_rate,cut_lo,cut_hi,dd_pass,dd_pass_rate,clear_given_dd,pass4a,pass4b,med_dd_margin
B136,band,42,3,0.07142857142857142,3,1.0,0.43849391955098227,1.0,6,0.14285714285714285,0.0,0,0,-0.02311806014014528
B136,cadence,12,0,0.0,0,,,,6,0.5,0.0,0,0,
B136,gross,30,0,0.0,0,,,,18,0.6,0.0,0,5,
B136,lookback,21,2,0.09523809523809523,2,1.0,0.34237195288961925,1.0,0,0.0,,0,3,-0.10191234477361605
B136,ma,24,1,0.041666666666666664,1,1.0,0.20654329147389294,1.0,15,0.625,0.0,0,0,-0.003734322686937408
B136,n,36,0,0.0,0,,,,0,0.0,,0,2,
B136,nns,21,0,0.0,0,,,,0,0.0,,0,0,
B136,quantile,33,1,0.030303030303030304,1,1.0,0.20654329147389294,1.0,0,0.0,,0,6,-0.07768051512693064
B136,volcap,30,0,0.0,0,,,,0,0.0,,0,11,
SMALL439,band,42,24,0.5714285714285714,18,0.75,0.5510017468789357,0.8800079652065766,18,0.42857142857142855,0.3333333333333333,6,0,-0.005416910314975931
SMALL439,cadence,12,3,0.25,3,1.0,0.43849391955098227,1.0,6,0.5,0.0,0,0,-0.020650683296206562
SMALL439,gross,30,0,0.0,0,,,,18,0.6,0.0,0,0,
SMALL439,lookback,21,9,0.42857142857142855,9,1.0,0.7008472464490407,1.0,0,0.0,,0,0,-0.19286824611731446
SMALL439,ma,24,3,0.125,0,0.0,0.0,0.5615060804490177,13,0.5416666666666666,0.23076923076923078,3,0,0.008389488262986688
SMALL439,n,36,5,0.1388888888888889,5,1.0,0.5655085052479191,1.0,0,0.0,,0,0,-0.17441021269091372
SMALL439,nns,21,7,0.3333333333333333,7,1.0,0.6456611570247934,1.0,0,0.0,,0,0,-0.20410732070668836
SMALL439,quantile,33,2,0.06060606060606061,2,1.0,0.34237195288961925,1.0,0,0.0,,0,0,-0.1897357847830755
SMALL439,volcap,30,0,0.0,0,,,,0,0.0,,0,0,
U56,band,42,0,0.0,0,,,,15,0.35714285714285715,0.0,0,0,
U56,cadence,12,0,0.0,0,,,,6,0.5,0.0,0,0,
U56,gross,30,0,0.0,0,,,,18,0.6,0.0,0,7,
U56,lookback,21,0,0.0,0,,,,0,0.0,,0,4,
U56,ma,24,0,0.0,0,,,,14,0.5833333333333334,0.0,0,0,
U56,n,36,0,0.0,0,,,,0,0.0,,0,16,
U56,nns,21,0,0.0,0,,,,0,0.0,,0,5,
U56,quantile,33,0,0.0,0,,,,2,0.06060606060606061,0.0,0,8,
U56,volcap,30,0,0.0,0,,,,0,0.0,,0,9,
