comparand,rung,n,pass4a,share,sharpe_leg,dd_leg
V2_MATCHED,0,63,1,0.015873015873015872,4,8
V2_MATCHED,10,63,1,0.015873015873015872,3,8
V2_MATCHED,25,63,1,0.015873015873015872,4,7
V2_FIX10,0,63,7,0.1111111111111111,16,9
V2_FIX10,10,63,1,0.015873015873015872,3,8
V2_FIX10,25,63,0,0.0,1,1
V1_MATCHED,0,63,14,0.2222222222222222,34,30
V1_MATCHED,10,63,12,0.19047619047619047,34,27
V1_MATCHED,25,63,26,0.4126984126984127,42,41
V1_FIX10,0,63,27,0.42857142857142855,48,33
V1_FIX10,10,63,12,0.19047619047619047,34,27
V1_FIX10,25,63,12,0.19047619047619047,32,18
