selector,picks,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
EWALL,B136:EWall BSTK100:EWall ETF36:EWall SMALL439:EWall U56:EWall,0.08613321688648168,0.8573984996938784,-0.20594349080939522
FWD20,B136:FWD20 BSTK100:FWD25 ETF36:FWD20 SMALL439:FWD15 U56:FWD20,0.11122330952199189,0.903059086014626,-0.21412843132516246
S_SHARPE,B136:FWD10 BSTK100:FWD14 ETF36:FWD27 SMALL439:FWD15 U56:FWD4,0.12428896577316428,0.888659627273483,-0.215495120268538
S_CAGR,B136:FWD5 BSTK100:FWD4 ETF36:FWD1 SMALL439:FWD15 U56:FWD2,0.13993293070176382,0.7973415544540531,-0.2303647342858437
RSEL,B136:FWD74 BSTK100:FWD54 ETF36:FWD20 SMALL439:FWD111 U56:FWD31,0.09637976103488932,0.8966369921031473,-0.21379725990121135
RULES v1,v1 x5,0.0642916812320149,0.6908427092274122,-0.17267319405088244
SPY,-,0.1545044425578177,0.8820239235972316,-0.3371595330739301
