panel,ladder,stat,rel_floors,spread_frac_range
U56,N,S_FULL,"[0.9614, 0.9614, 0.9614, 0.9614]",0.0
U56,N,S_OOS,"[0.9493, 0.9096, 0.9493, 0.9493]",0.03963444647005576
U56,N,CAGR,"[0.9719, 0.9719, 1.0, 0.9719]",0.028064190244630582
U56,N,DD,"[0.8451, 0.7255, 1.0, 0.8451]",0.27454119542080613
U56,H,S_FULL,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,H,S_OOS,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,H,CAGR,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,H,DD,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,GROSS,S_FULL,"[0.78, 0.2993, 1.0, 0.913]",0.7007083481961732
U56,GROSS,S_OOS,"[1.0, 1.0, 0.9079, 1.0]",0.09207078980078676
U56,GROSS,CAGR,"[0.1104, 0.1104, 0.1104, 0.1104]",0.0
U56,GROSS,DD,"[0.1072, 0.1072, 0.1072, 0.1072]",0.0
U56,CADENCE,S_FULL,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,CADENCE,S_OOS,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,CADENCE,CAGR,"[1.0, 1.0, 1.0, 1.0]",0.0
U56,CADENCE,DD,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,N,S_FULL,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,N,S_OOS,"[0.7425, 0.7425, 0.7425, 0.7425]",0.0
B136,N,CAGR,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,N,DD,"[0.769, 0.769, 0.769, 0.769]",0.0
B136,H,S_FULL,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,H,S_OOS,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,H,CAGR,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,H,DD,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,GROSS,S_FULL,"[0.1002, 0.1002, 0.1002, 0.1002]",0.0
B136,GROSS,S_OOS,"[0.1019, 0.1019, 0.1019, 0.1019]",0.0
B136,GROSS,CAGR,"[0.1109, 0.1109, 0.1109, 0.1109]",0.0
B136,GROSS,DD,"[0.1066, 0.1066, 0.1066, 0.1066]",0.0
B136,CADENCE,S_FULL,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,CADENCE,S_OOS,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,CADENCE,CAGR,"[1.0, 1.0, 1.0, 1.0]",0.0
B136,CADENCE,DD,"[1.0, 1.0, 1.0, 1.0]",0.0
