panel,N,ebar,dd_peak,dd_trough,dd_depth
U56,10,0.55,2025-02-18,2025-04-04,-0.15587783254077625
U56,10,0.65,2025-02-18,2025-04-04,-0.1821822631083505
U56,10,0.75,2025-02-18,2025-04-04,-0.207884110745446
U56,10,0.85,2025-02-18,2025-04-04,-0.23299296531646796
U56,20,0.55,2018-10-01,2018-12-24,-0.144890140617282
U56,20,0.65,2018-10-01,2018-12-24,-0.16954124621173694
U56,20,0.75,2018-10-01,2018-12-24,-0.19368424972077802
U56,20,0.85,2018-10-01,2018-12-24,-0.21732458341012761
U56,30,0.55,2020-02-19,2020-03-23,-0.16520037877225147
U56,30,0.65,2020-02-19,2020-03-23,-0.19314804298422927
U56,30,0.75,2020-02-19,2020-03-23,-0.22047133553240728
U56,30,0.85,2020-02-19,2020-03-23,-0.2471783799827323
U56,40,0.55,2020-02-19,2020-03-23,-0.179296641921185
U56,40,0.65,2020-02-19,2020-03-23,-0.2093612820846401
U56,40,0.75,2020-02-19,2020-03-23,-0.23867265757312017
U56,40,0.85,2020-02-19,2020-03-23,-0.2672426645743444
U56,50,0.55,2020-02-19,2020-03-23,-0.1793170639773658
U56,50,0.65,2020-02-19,2020-03-23,-0.20941130305250655
U56,50,0.75,2020-02-19,2020-03-23,-0.23875928937865587
U56,50,0.85,2020-02-19,2020-03-23,-0.26737209374304693
B136,10,0.55,2018-10-01,2018-12-24,-0.15108436137062797
B136,10,0.65,2018-10-01,2018-12-24,-0.17677566312217274
B136,10,0.75,2018-10-01,2018-12-24,-0.20193132973455075
B136,10,0.85,2018-10-01,2018-12-24,-0.22655423369100725
B136,20,0.55,2020-02-19,2020-03-12,-0.13928090900032075
B136,20,0.65,2020-02-19,2020-03-12,-0.16373280279397617
B136,20,0.75,2020-02-19,2020-03-12,-0.18791029022402428
B136,20,0.85,2020-02-19,2020-03-12,-0.21181087110200492
B136,30,0.55,2020-02-19,2020-03-20,-0.1650191158517368
B136,30,0.65,2020-02-19,2020-03-20,-0.192960975305155
B136,30,0.75,2020-02-19,2020-03-20,-0.22028458331476464
B136,30,0.85,2020-02-19,2020-03-20,-0.2469979987442441
B136,40,0.55,2020-02-19,2020-03-23,-0.1763916248864471
B136,40,0.65,2020-02-19,2020-03-23,-0.2059575538702093
B136,40,0.75,2020-02-19,2020-03-23,-0.2347811193557866
B136,40,0.85,2020-02-19,2020-03-23,-0.2628728322257833
B136,50,0.55,2020-02-19,2020-03-23,-0.18590212064538714
B136,50,0.65,2020-02-19,2020-03-23,-0.21688435227578695
B136,50,0.75,2020-02-19,2020-03-23,-0.24703425753364705
B136,50,0.85,2020-02-19,2020-03-23,-0.276365485554928
