panel,book,gross,turnover_yr,CAGR_at10,mean_risk_gross,binding_leg,bill_at_death,be_L_H1,be_L_H2,be_L_OOS,be_L_DD,be_L_CAGR,be_pass4a,be_pass4b,be_pass4a_b10
U56,CAP2,0.4,2.3155640795305645,0.07164411773972867,0.3771278723863587,L_CAGR,,94.0,inf,inf,inf,-1.0,68.0,-1.0,36.0
U56,CAP2,0.55,2.91952763544232,0.09160999150662752,0.503798610692343,L_CAGR,,89.0,inf,inf,inf,-1.0,52.0,-1.0,28.0
U56,CAP2,0.7,3.3805486157670543,0.11024803230024793,0.6204963562645769,L_CAGR,0.006423042369957404,93.0,inf,inf,inf,19.0,-1.0,19.0,-1.0
U56,CAP2,0.75,3.5063829420832278,0.1162295339930286,0.6560925471605975,L_CAGR,0.011921702003082974,95.0,inf,inf,inf,34.0,-1.0,34.0,-1.0
U56,CAP2,0.85,3.741913359388268,0.12415786072749113,0.715229482099254,L_CAGR,0.019457949468818993,90.0,inf,inf,inf,52.0,-1.0,52.0,-1.0
U56,CAP2,1.0,3.9918738682526254,0.12664176225459833,0.7500522904110477,L_CAGR,0.021556118888564176,81.0,inf,inf,inf,54.0,-1.0,54.0,-1.0
U56,CAND,0.4,2.4818029393564407,0.07312602474087382,0.38991404187978784,L_CAGR,,86.0,inf,inf,inf,-1.0,52.0,-1.0,30.0
U56,CAND,0.55,3.327438957569858,0.09574393009564952,0.5360194905712681,L_CAGR,,78.0,99.0,inf,inf,-1.0,-1.0,-1.0,-1.0
U56,CAND,0.7,4.1333010739385045,0.11839622564934937,0.68206815912072,L_CAGR,0.014466553758784766,73.0,91.0,99.0,inf,35.0,-1.0,35.0,-1.0
U56,CAND,0.75,4.39457281063272,0.12594978357199493,0.7307389305908643,L_CAGR,0.02153340677210033,72.0,89.0,97.0,inf,49.0,-1.0,49.0,-1.0
U56,CAND,0.85,4.908608320438065,0.1410539773913897,0.8280629407031128,L_DD,0.02405218077014652,71.0,86.0,94.0,49.0,72.0,-1.0,49.0,-1.0
U56,CAND,1.0,5.679032812388824,0.1636677374794857,0.9740067395142837,L_DD,,69.0,82.0,90.0,-1.0,98.0,-1.0,-1.0,-1.0
B136,CAP2,0.4,2.7357885503610255,0.06983847718109226,0.393447601758094,L_CAGR,,84.0,69.0,80.0,inf,-1.0,40.0,-1.0,27.0
B136,CAP2,0.55,3.6108719872908903,0.09080415393620456,0.5382124903336577,L_CAGR,,81.0,55.0,67.0,inf,-1.0,-1.0,-1.0,-1.0
B136,CAP2,0.7,4.424730185262534,0.11151799963460385,0.6812431646999293,L_CAGR,0.00929193338905132,80.0,47.0,59.0,82.0,21.0,-1.0,21.0,-1.0
B136,CAP2,0.75,4.675125426436814,0.11820984492984787,0.728325017481858,L_CAGR,0.015427913907241486,80.0,45.0,58.0,66.0,33.0,-1.0,33.0,-1.0
B136,CAP2,0.85,5.160052527634776,0.1314164607069359,0.8208673877426447,L_H2,0.021672220616066058,79.0,42.0,55.0,43.0,54.0,-1.0,42.0,-1.0
B136,CAP2,1.0,5.829629100658773,0.15059502132495428,0.9563154568940531,L_DD,,78.0,39.0,53.0,-1.0,77.0,-1.0,-1.0,-1.0
B136,CAND,0.4,2.772465864216824,0.07007874939363834,0.39572900620411555,L_CAGR,,76.0,72.0,83.0,inf,-1.0,32.0,-1.0,20.0
B136,CAND,0.55,3.7178532239538877,0.0914452552221916,0.5440292141347952,L_CAGR,,68.0,58.0,69.0,inf,-1.0,-1.0,-1.0,-1.0
B136,CAND,0.7,4.616177375127897,0.11277607989604177,0.6922806675717145,L_CAGR,0.010617207962794162,64.0,50.0,61.0,84.0,23.0,-1.0,23.0,-1.0
B136,CAND,0.75,4.906022705624988,0.11987395438602522,0.7416875201479869,L_CAGR,0.017171079469687458,63.0,48.0,59.0,66.0,35.0,-1.0,35.0,-1.0
B136,CAND,0.85,5.473768900512006,0.13404370611817762,0.8404864694167916,L_DD,,62.0,45.0,56.0,-1.0,55.0,-1.0,-1.0,-1.0
B136,CAND,1.0,6.316743996025918,0.15519666371902674,0.9886497425421296,L_DD,,60.0,41.0,52.0,-1.0,78.0,-1.0,-1.0,-1.0
